NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	8
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 12:44:06	610705.74359222
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	L_Hand	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	L_Hand X	L_Hand Y	L_Hand Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1024.614	436.077	919.743	1162.588	616.602	558.676	0.000	0.000	0.000	1039.279	665.497	28.016	1014.392	255.793	632.012	798.832	232.890	474.106	535.996	371.487	519.617	1000.321	450.970	501.424
2	0.00333	1024.640	436.033	919.714	1162.654	616.686	558.737	0.000	0.000	0.000	1039.144	665.371	28.051	1014.484	255.726	631.953	798.995	232.703	474.044	536.329	371.207	520.277	1000.445	450.992	501.383
3	0.00667	1024.672	436.022	919.715	1162.643	616.738	558.712	0.000	0.000	0.000	1038.950	665.345	28.024	1014.625	255.693	631.931	799.175	232.510	473.934	536.694	370.858	521.069	1000.422	450.984	501.412
4	0.01000	1024.703	436.001	919.745	1162.630	616.821	558.729	0.000	0.000	0.000	1038.735	665.336	28.076	1014.795	255.642	631.887	799.357	232.286	473.802	537.320	370.498	522.240	1000.490	450.980	501.393
5	0.01333	1024.719	436.002	919.727	1162.634	616.887	558.736	0.000	0.000	0.000	1038.579	665.448	28.197	1014.957	255.593	631.839	799.603	231.987	473.712	537.832	370.156	523.207	1000.464	450.999	501.456
6	0.01667	1024.746	435.989	919.724	1162.605	616.951	558.694	0.000	0.000	0.000	1038.412	665.436	28.215	1015.137	255.564	631.868	799.760	231.692	473.467	538.281	369.654	524.087	1000.501	450.969	501.447
7	0.02000	1024.774	436.002	919.735	1162.575	617.021	558.690	0.000	0.000	0.000	1038.222	665.410	28.214	1015.221	255.454	631.650	800.042	231.342	473.352	538.790	369.291	524.969	1000.299	451.340	501.842
8	0.02333	1024.278	436.194	919.287	1162.017	616.932	558.200	0.000	0.000	0.000	1037.159	664.013	26.945	1014.995	255.448	631.061	799.754	231.508	472.807	538.994	369.024	525.803	999.208	451.814	501.377
9	0.02667	1024.728	436.151	919.603	1161.990	616.735	557.782	0.000	0.000	0.000	1037.165	664.354	27.235	1015.595	255.326	631.289	800.124	231.244	472.825	539.619	368.565	526.798	998.803	452.085	501.259
10	0.03000	1024.723	436.161	919.597	1161.951	616.808	557.761	0.000	0.000	0.000	1036.982	664.408	27.255	1015.800	255.254	631.252	800.436	230.867	472.683	540.270	368.136	527.845	998.832	452.079	501.348
