NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	8
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 11:59:56	608055.36700120
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	L_Hand	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	L_Hand X	L_Hand Y	L_Hand Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	981.329	428.760	903.091	1184.763	596.524	561.729	0.000	0.000	0.000	1050.598	682.599	42.936	1006.035	247.097	625.974	791.035	230.789	462.679	541.767	372.630	510.727	1007.916	448.936	500.772
2	0.00333	981.277	428.540	903.047	1184.651	596.658	561.755	0.000	0.000	0.000	1050.256	682.660	42.996	1006.341	247.028	625.953	791.325	230.407	462.799	542.240	372.286	511.804	1007.968	448.900	500.833
3	0.00667	981.227	428.307	902.997	1184.525	596.819	561.769	0.000	0.000	0.000	1049.953	682.770	43.246	1006.652	246.942	625.922	791.617	229.972	462.921	542.737	371.857	512.912	1007.994	448.819	500.833
4	0.01000	981.194	428.112	902.977	1184.680	597.770	562.496	0.000	0.000	0.000	1049.597	682.679	43.048	1006.949	246.865	625.902	791.960	229.454	463.017	543.258	371.369	514.013	1008.028	448.772	500.864
5	0.01333	981.144	427.902	902.929	1184.547	597.922	562.501	0.000	0.000	0.000	1049.154	682.648	43.096	1007.265	246.778	625.892	792.283	229.002	463.072	543.858	370.895	515.337	1007.952	448.670	501.043
6	0.01667	981.110	427.706	902.899	1184.419	598.081	562.515	0.000	0.000	0.000	1048.778	682.640	43.154	1007.595	246.668	625.874	792.605	228.450	463.105	544.463	370.368	516.530	1008.005	448.666	500.925
7	0.02000	981.055	427.490	902.837	1184.243	598.225	562.476	0.000	0.000	0.000	1048.380	682.792	43.310	1007.945	246.570	625.910	793.000	227.848	463.197	545.312	369.773	518.203	1007.992	448.567	501.100
8	0.02333	980.529	427.463	902.417	1183.634	598.217	562.023	0.000	0.000	0.000	1047.252	681.560	42.079	1007.972	246.659	625.535	792.943	227.708	462.907	545.738	369.282	519.555	1007.243	448.911	500.700
9	0.02667	980.731	426.916	902.813	1183.446	598.044	561.839	0.000	0.000	0.000	1047.045	681.962	42.323	1008.407	246.368	625.817	793.284	227.492	462.936	546.661	368.418	521.367	1007.310	448.935	500.557
10	0.03000	980.682	426.933	902.629	1183.289	598.338	561.723	0.000	0.000	0.000	1046.586	682.062	42.434	1008.740	246.237	625.816	793.661	226.844	463.005	547.233	367.980	522.431	1007.165	448.951	500.406
11	0.03333	980.609	426.713	902.554	1183.382	598.704	562.387	0.000	0.000	0.000	1046.168	682.091	42.479	1009.534	246.206	626.095	794.606	225.282	463.527	548.046	367.196	523.671	1007.990	448.065	500.963
12	0.03667	980.553	426.526	902.506	1183.219	598.859	562.363	0.000	0.000	0.000	1045.759	682.210	42.711	1010.285	246.255	626.209	795.040	224.528	463.511	548.856	366.472	525.124	1007.992	447.951	500.969
13	0.04000	980.510	426.348	902.478	1183.026	598.993	562.359	0.000	0.000	0.000	1045.340	682.235	42.654	1010.661	246.113	626.166	795.466	223.788	463.467	549.729	365.722	526.679	1007.992	447.879	500.982
14	0.04333	980.451	426.173	902.434	1182.830	599.156	562.326	0.000	0.000	0.000	1044.874	682.022	42.463	1011.040	245.964	626.137	795.922	222.957	463.343	550.736	364.972	528.357	1008.022	447.771	501.009
15	0.04667	980.401	425.989	902.388	1182.647	599.332	562.305	0.000	0.000	0.000	1044.469	682.031	42.522	1011.446	245.788	626.095	796.413	222.088	463.338	551.709	364.136	529.986	1007.990	447.672	501.065
16	0.05000	980.352	425.830	902.362	1182.459	599.502	562.283	0.000	0.000	0.000	1044.089	682.218	42.756	1011.490	245.807	625.944	796.888	221.283	463.238	552.759	363.337	531.717	1008.014	447.558	501.081
17	0.05333	980.313	425.690	902.335	1182.267	599.678	562.286	0.000	0.000	0.000	1043.650	682.211	42.657	1012.056	245.790	626.151	797.430	220.321	463.175	553.829	362.449	533.415	1008.012	447.488	501.080
18	0.05667	980.275	425.558	902.295	1182.052	599.875	562.281	0.000	0.000	0.000	1043.169	682.114	42.543	1012.496	245.668	626.125	797.978	219.376	463.101	554.992	361.565	535.279	1007.985	447.377	501.151
19	0.06000	980.233	425.407	902.254	1181.825	600.078	562.258	0.000	0.000	0.000	1042.761	682.286	42.727	1013.077	245.576	626.294	798.489	218.455	462.970	556.173	360.611	537.051	1007.965	447.258	501.166
20	0.06333	980.184	425.270	902.225	1181.552	600.283	562.211	0.000	0.000	0.000	1042.361	682.435	42.881	1013.404	245.242	626.146	799.076	217.483	462.917	557.386	359.608	538.848	1007.974	447.109	501.195
21	0.06667	980.125	425.113	902.179	1181.310	600.471	562.219	0.000	0.000	0.000	1041.908	682.547	43.016	1013.829	245.063	626.129	799.635	216.447	462.796	558.617	358.570	540.697	1007.963	447.011	501.244
22	0.07000	980.076	424.995	902.127	1181.055	600.679	562.229	0.000	0.000	0.000	1041.431	682.322	42.818	1014.283	244.837	626.130	800.195	215.469	462.637	559.933	357.538	542.525	1007.889	446.848	501.433
23	0.07333	980.032	424.876	902.074	1180.801	600.904	562.242	0.000	0.000	0.000	1041.021	682.198	42.716	1014.353	244.193	625.596	800.835	214.383	462.622	561.312	356.445	544.462	1007.904	446.709	501.476
24	0.07667	979.982	424.768	902.023	1180.537	601.125	562.212	0.000	0.000	0.000	1040.617	682.436	43.012	1014.870	243.993	625.589	801.449	213.301	462.549	562.701	355.345	546.356	1007.894	446.595	501.487
25	0.08000	979.935	424.664	901.981	1180.273	601.320	562.199	0.000	0.000	0.000	1040.196	682.484	42.962	1015.434	243.792	625.619	802.159	212.164	462.593	564.118	354.189	548.266	1007.894	446.448	501.490
26	0.08333	979.898	424.567	901.946	1180.005	601.575	562.244	0.000	0.000	0.000	1039.692	682.467	42.994	1015.941	243.607	625.599	802.809	211.075	462.453	565.591	352.988	550.213	1007.909	446.317	501.500
27	0.08667	979.853	424.460	901.891	1179.676	601.721	562.200	0.000	0.000	0.000	1039.245	682.467	42.982	1016.480	243.425	625.611	803.539	209.962	462.423	567.069	351.732	552.104	1007.877	446.205	501.525
28	0.09000	979.818	424.369	901.847	1179.342	601.929	562.119	0.000	0.000	0.000	1038.811	682.587	43.144	1016.984	243.165	625.544	804.220	208.827	462.330	568.595	350.496	554.056	1007.868	446.066	501.538
29	0.09333	979.778	424.272	901.815	1179.032	602.141	562.120	0.000	0.000	0.000	1038.352	682.746	43.260	1017.544	242.983	625.603	805.007	207.637	462.320	570.140	349.302	555.941	1007.873	445.934	501.536
30	0.09667	979.736	424.192	901.757	1178.735	602.369	562.167	0.000	0.000	0.000	1037.897	682.587	43.025	1018.795	243.593	626.504	805.782	206.447	462.298	571.751	347.948	557.892	1007.860	445.837	501.563
31	0.10000	979.704	424.120	901.716	1178.413	602.616	562.159	0.000	0.000	0.000	1037.502	682.552	42.967	1019.376	243.372	626.522	806.554	205.237	462.215	573.360	346.561	559.748	1007.860	445.661	501.574
32	0.10333	979.687	424.063	901.679	1178.059	602.829	562.131	0.000	0.000	0.000	1037.080	682.483	43.161	1019.653	242.971	626.165	807.409	203.998	462.278	575.020	345.164	561.772	1008.079	445.682	501.382
33	0.10667	979.685	423.998	901.663	1177.713	603.048	562.156	0.000	0.000	0.000	1036.632	682.473	43.154	1020.287	242.756	626.236	808.239	202.753	462.296	576.639	343.707	563.678	1008.045	445.547	501.403
34	0.11000	979.661	423.931	901.628	1177.384	603.272	562.175	0.000	0.000	0.000	1036.145	682.311	42.976	1020.818	242.555	626.251	809.075	201.521	462.317	578.301	342.244	565.626	1008.029	445.415	501.432
35	0.11333	979.635	423.874	901.613	1177.032	603.493	562.100	0.000	0.000	0.000	1035.712	682.402	43.154	1021.444	242.289	626.182	809.881	200.273	462.251	580.023	340.758	567.537	1008.024	445.262	501.457
36	0.11667	979.627	423.805	901.577	1176.683	603.743	562.147	0.000	0.000	0.000	1035.296	682.479	43.248	1022.002	242.024	626.168	810.705	198.999	462.224	581.745	339.166	569.444	1007.987	445.197	501.476
37	0.12000	979.603	423.755	901.554	1176.303	603.944	562.160	0.000	0.000	0.000	1034.803	682.371	43.173	1022.520	241.771	626.133	811.569	197.685	462.211	583.512	337.571	571.371	1007.955	445.002	501.465
38	0.12333	979.605	423.685	901.548	1175.897	604.180	562.111	0.000	0.000	0.000	1034.327	682.305	43.002	1023.077	241.475	626.007	812.510	196.355	462.327	585.261	335.963	573.246	1007.932	444.877	501.490
39	0.12667	979.576	423.632	901.516	1175.526	604.430	562.193	0.000	0.000	0.000	1033.944	682.220	42.871	1023.644	241.187	625.948	813.376	195.030	462.315	587.027	334.299	575.142	1007.873	444.720	501.541
40	0.13000	979.575	423.566	901.478	1175.150	604.638	562.217	0.000	0.000	0.000	1033.551	682.183	43.006	1024.516	241.319	626.486	814.315	193.658	462.366	588.832	332.621	576.987	1007.828	444.547	501.643
41	0.13333	979.558	423.512	901.455	1174.733	604.888	562.244	0.000	0.000	0.000	1033.086	682.115	43.020	1025.110	240.987	626.317	815.253	192.303	462.367	590.663	330.906	578.877	1007.582	444.048	501.809
42	0.13667	979.546	423.474	901.416	1174.321	605.139	562.208	0.000	0.000	0.000	1032.639	681.995	42.904	1025.634	240.734	626.312	816.194	190.941	462.388	592.532	329.164	580.742	1007.714	444.153	501.739
43	0.14000	979.521	423.422	901.392	1173.952	605.375	562.232	0.000	0.000	0.000	1032.227	681.884	42.745	1026.202	240.483	626.268	817.209	189.542	462.431	594.391	327.397	582.555	1007.489	443.668	501.947
44	0.14333	979.521	423.384	901.363	1173.555	605.655	562.266	0.000	0.000	0.000	1031.825	681.882	42.766	1026.927	240.372	626.471	818.202	188.180	462.356	596.264	325.570	584.328	1007.438	443.468	502.113
45	0.14667	979.496	423.343	901.322	1173.137	605.929	562.269	0.000	0.000	0.000	1031.336	681.704	42.673	1027.463	240.144	626.438	819.203	186.804	462.273	598.182	323.698	586.179	1007.403	443.294	502.137
46	0.15000	979.486	423.316	901.298	1172.719	606.148	562.272	0.000	0.000	0.000	1030.908	681.750	42.705	1028.073	239.936	626.431	820.339	185.374	462.273	600.154	321.830	587.943	1007.377	443.132	502.186
47	0.15333	979.479	423.272	901.279	1172.310	606.407	562.292	0.000	0.000	0.000	1030.512	681.629	42.494	1028.683	239.725	626.446	821.515	183.921	462.295	602.097	319.934	589.687	1007.345	442.956	502.197
48	0.15667	979.476	423.231	901.241	1171.905	606.698	562.308	0.000	0.000	0.000	1030.070	681.734	42.599	1029.355	239.584	626.593	822.683	182.554	462.201	604.077	317.998	591.441	1007.296	442.781	502.257
49	0.16000	979.454	423.201	901.221	1171.514	606.921	562.300	0.000	0.000	0.000	1029.606	681.608	42.500	1029.961	239.383	626.580	823.866	181.166	462.045	606.050	316.038	593.127	1007.282	442.604	502.265
50	0.16333	979.452	423.158	901.199	1171.058	607.179	562.322	0.000	0.000	0.000	1029.140	681.488	42.611	1030.642	239.206	626.641	825.182	179.776	461.966	608.157	313.915	595.029	1007.247	442.433	502.305
51	0.16667	979.439	423.122	901.164	1170.587	607.407	562.303	0.000	0.000	0.000	1028.763	681.543	42.604	1031.197	238.952	626.607	826.469	178.434	461.728	610.183	311.891	596.642	1007.199	442.241	502.302
52	0.17000	979.436	423.080	901.154	1170.188	607.661	562.329	0.000	0.000	0.000	1028.344	681.459	42.440	1031.801	238.735	626.602	827.816	177.096	461.532	612.244	309.836	598.262	1007.153	442.071	502.332
53	0.17333	979.436	423.030	901.128	1169.731	607.867	562.330	0.000	0.000	0.000	1027.877	681.203	42.222	1032.434	238.480	626.604	829.198	175.764	461.346	614.293	307.811	599.828	1007.083	441.868	502.446
54	0.17667	979.430	423.000	901.100	1169.281	608.127	562.278	0.000	0.000	0.000	1027.448	681.261	42.306	1033.006	238.183	626.516	830.529	174.489	461.049	616.337	305.704	601.340	1007.022	441.676	502.526
55	0.18000	979.432	422.962	901.082	1168.871	608.351	562.264	0.000	0.000	0.000	1027.069	681.272	42.267	1033.593	237.878	626.444	831.850	173.183	460.795	618.423	303.593	602.832	1006.985	441.525	502.572
56	0.18333	979.431	422.916	901.052	1168.391	608.601	562.260	0.000	0.000	0.000	1026.651	681.139	42.064	1034.333	237.734	626.604	833.104	171.909	460.434	620.506	301.467	604.248	1006.916	441.325	502.578
57	0.18667	979.427	422.879	901.038	1167.931	608.862	562.217	0.000	0.000	0.000	1026.181	681.030	42.017	1035.088	237.642	626.797	834.401	170.516	460.229	622.605	299.278	605.700	1006.853	441.146	502.634
58	0.19000	979.440	422.841	901.015	1167.490	609.091	562.248	0.000	0.000	0.000	1025.775	681.027	41.985	1035.714	237.374	626.753	835.676	168.895	460.039	624.711	297.107	607.083	1006.762	440.893	502.897
59	0.19333	979.440	422.795	900.991	1167.017	609.387	562.230	0.000	0.000	0.000	1025.389	681.044	41.933	1036.329	237.136	626.747	836.874	167.291	459.767	626.784	294.841	608.423	1006.719	440.664	502.925
60	0.19667	979.428	422.750	900.968	1166.530	609.580	562.191	0.000	0.000	0.000	1024.968	680.935	41.670	1036.978	236.924	626.771	838.154	165.613	459.665	628.885	292.658	609.606	1006.644	440.480	502.940
61	0.20000	979.432	422.716	900.944	1166.042	609.819	562.189	0.000	0.000	0.000	1024.501	680.765	41.516	1037.692	236.759	626.857	839.415	163.929	459.427	631.054	290.357	610.880	1006.618	440.312	502.925
62	0.20333	979.432	422.662	900.910	1165.581	610.086	562.162	0.000	0.000	0.000	1024.079	680.830	41.571	1038.284	236.532	626.879	840.777	162.191	459.315	633.139	288.104	612.057	1006.569	440.134	502.949
63	0.20667	979.428	422.622	900.876	1165.153	610.349	562.155	0.000	0.000	0.000	1023.703	680.781	41.743	1038.938	236.304	626.859	842.123	160.547	459.024	635.500	285.911	613.216	1006.521	439.951	503.076
64	0.21000	979.423	422.581	900.873	1164.644	610.628	562.119	0.000	0.000	0.000	1023.230	680.702	41.712	1039.587	236.063	626.822	843.502	158.948	458.794	637.651	283.576	614.240	1006.484	439.786	503.063
65	0.21333	979.425	422.525	900.843	1164.143	610.846	562.101	0.000	0.000	0.000	1022.797	680.483	41.460	1040.251	235.862	626.856	844.952	157.277	458.553	639.878	281.164	615.364	1006.430	439.607	503.017
