NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	7
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 12:00:43	608103.21556576
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1009.770	456.419	913.264	1189.835	589.917	563.108	0.000	0.000	0.000	1088.179	669.410	37.578	1003.307	242.956	630.635	788.506	225.101	466.664	1006.815	445.106	504.347
2	0.00333	1009.703	456.463	913.250	1189.885	589.926	563.153	0.000	0.000	0.000	1088.428	669.380	37.511	1003.351	242.922	630.567	788.665	224.894	466.544	1006.877	445.093	504.397
3	0.00667	1009.628	456.497	913.220	1189.903	589.930	563.182	0.000	0.000	0.000	1088.602	669.301	37.393	1003.388	242.873	630.511	788.829	224.666	466.413	1006.960	445.063	504.381
4	0.01000	1009.554	456.528	913.182	1190.050	590.862	563.979	0.000	0.000	0.000	1088.795	669.437	37.437	1003.454	242.839	630.508	788.985	224.418	466.234	1006.958	445.082	504.397
5	0.01333	1009.492	456.547	913.170	1190.077	590.891	563.975	0.000	0.000	0.000	1088.995	669.538	37.492	1003.533	242.779	630.492	789.152	224.152	466.074	1007.000	445.079	504.420
6	0.01667	1009.426	456.564	913.143	1190.101	590.898	563.986	0.000	0.000	0.000	1089.182	669.642	37.533	1003.631	242.732	630.490	789.327	223.852	465.899	1007.014	445.072	504.447
7	0.02000	1009.346	456.569	913.087	1190.109	590.935	564.006	0.000	0.000	0.000	1089.328	669.784	37.630	1003.736	242.675	630.487	789.519	223.529	465.705	1007.048	445.077	504.450
8	0.02333	1008.832	456.754	912.639	1189.634	590.798	563.585	0.000	0.000	0.000	1088.699	668.639	36.548	1003.554	242.794	630.117	789.217	223.675	465.080	1006.209	445.502	504.184
9	0.02667	1009.029	456.431	913.019	1189.652	590.488	563.384	0.000	0.000	0.000	1089.015	669.134	36.928	1003.784	242.592	630.379	789.505	223.469	465.003	1006.222	445.629	504.006
10	0.03000	1009.003	456.622	912.930	1189.634	590.637	563.264	0.000	0.000	0.000	1089.123	669.231	36.977	1003.903	242.517	630.390	789.770	223.085	464.794	1006.060	445.710	503.841
11	0.03333	1008.928	456.618	912.900	1189.945	591.006	564.061	0.000	0.000	0.000	1089.200	669.312	37.002	1004.161	242.468	630.256	790.512	222.077	464.994	1007.017	444.857	504.503
12	0.03667	1008.871	456.617	912.888	1189.943	591.073	564.058	0.000	0.000	0.000	1089.279	669.431	37.021	1004.315	242.380	630.239	790.790	221.619	464.755	1007.018	444.830	504.560
13	0.04000	1008.830	456.604	912.876	1189.927	591.173	564.103	0.000	0.000	0.000	1089.320	669.459	36.985	1004.474	242.290	630.221	791.077	221.130	464.504	1007.052	444.793	504.583
14	0.04333	1008.766	456.577	912.859	1189.910	591.261	564.114	0.000	0.000	0.000	1089.375	669.558	37.011	1004.643	242.195	630.192	791.391	220.658	464.189	1007.084	444.772	504.587
15	0.04667	1008.718	456.550	912.852	1189.863	591.339	564.112	0.000	0.000	0.000	1089.414	669.607	36.811	1004.820	242.108	630.186	791.727	220.133	463.918	1007.105	444.716	504.583
16	0.05000	1008.671	456.522	912.837	1189.836	591.413	564.102	0.000	0.000	0.000	1089.417	669.744	36.875	1005.006	242.012	630.133	792.086	219.604	463.686	1007.152	444.709	504.565
17	0.05333	1008.613	456.493	912.824	1189.780	591.510	564.101	0.000	0.000	0.000	1089.417	669.828	36.888	1005.208	241.915	630.126	792.489	218.979	463.489	1007.164	444.655	504.590
18	0.05667	1008.567	456.455	912.814	1189.730	591.607	564.093	0.000	0.000	0.000	1089.406	669.865	36.863	1005.416	241.810	630.102	792.867	218.407	463.191	1007.195	444.617	504.573
19	0.06000	1008.525	456.417	912.806	1189.656	591.702	564.062	0.000	0.000	0.000	1089.395	669.975	36.872	1005.631	241.709	630.073	793.239	217.748	462.860	1007.235	444.573	504.571
20	0.06333	1008.480	456.378	912.800	1189.583	591.786	564.059	0.000	0.000	0.000	1089.379	670.004	36.843	1005.854	241.606	630.042	793.654	217.113	462.644	1007.272	444.547	504.559
21	0.06667	1008.435	456.332	912.783	1189.521	591.884	564.071	0.000	0.000	0.000	1089.349	670.064	36.748	1006.088	241.497	629.998	794.097	216.408	462.400	1007.290	444.483	504.572
22	0.07000	1008.391	456.286	912.770	1189.432	591.965	564.051	0.000	0.000	0.000	1089.318	670.084	36.676	1006.332	241.371	629.960	794.541	215.698	462.110	1007.336	444.455	504.565
23	0.07333	1008.365	456.243	912.767	1189.363	592.091	564.053	0.000	0.000	0.000	1089.252	670.137	36.613	1006.580	241.251	629.920	795.004	214.962	461.844	1007.325	444.416	504.555
24	0.07667	1008.310	456.180	912.724	1189.256	592.195	564.060	0.000	0.000	0.000	1089.179	670.207	36.598	1006.838	241.138	629.877	795.523	214.179	461.610	1007.368	444.405	504.576
25	0.08000	1008.279	456.125	912.728	1189.164	592.335	564.055	0.000	0.000	0.000	1089.102	670.339	36.648	1007.122	241.012	629.857	795.942	213.417	461.268	1007.380	444.326	504.570
26	0.08333	1008.241	456.075	912.710	1189.030	592.439	564.017	0.000	0.000	0.000	1088.984	670.552	36.798	1007.419	240.879	629.821	796.506	212.566	461.074	1007.409	444.304	504.569
27	0.08667	1008.208	456.014	912.694	1188.926	592.607	563.988	0.000	0.000	0.000	1088.880	670.637	36.820	1007.707	240.734	629.798	797.037	211.710	460.807	1007.436	444.238	504.552
28	0.09000	1008.169	455.956	912.683	1188.796	592.768	563.989	0.000	0.000	0.000	1088.771	670.772	36.863	1008.063	240.582	629.822	797.580	210.832	460.565	1007.464	444.180	504.538
29	0.09333	1008.134	455.896	912.677	1188.654	592.906	563.960	0.000	0.000	0.000	1088.634	670.918	36.955	1008.627	240.416	630.191	798.137	209.909	460.279	1007.499	444.125	504.512
30	0.09667	1008.090	455.833	912.665	1188.534	593.054	563.960	0.000	0.000	0.000	1088.480	671.122	37.103	1008.619	240.296	629.635	798.668	208.990	459.983	1007.520	444.032	504.520
31	0.10000	1008.057	455.766	912.654	1188.393	593.246	563.927	0.000	0.000	0.000	1088.327	671.261	37.115	1009.190	240.129	629.972	799.266	207.998	459.760	1007.531	443.989	504.517
32	0.10333	1008.033	455.698	912.640	1188.261	593.415	563.907	0.000	0.000	0.000	1088.168	671.276	37.077	1009.512	239.989	629.932	799.863	207.028	459.507	1007.543	443.906	504.502
33	0.10667	1007.996	455.635	912.636	1188.109	593.577	563.876	0.000	0.000	0.000	1087.974	671.280	37.074	1009.854	239.851	629.891	800.477	206.041	459.163	1007.560	443.826	504.518
34	0.11000	1007.967	455.574	912.614	1187.958	593.761	563.839	0.000	0.000	0.000	1087.795	671.267	36.902	1010.204	239.700	629.857	801.130	205.019	458.856	1007.596	443.751	504.529
35	0.11333	1007.931	455.519	912.600	1187.783	593.962	563.813	0.000	0.000	0.000	1087.589	671.119	36.605	1010.576	239.548	629.806	801.799	203.952	458.560	1007.617	443.677	504.525
36	0.11667	1007.889	455.442	912.579	1187.608	594.123	563.769	0.000	0.000	0.000	1087.366	671.361	36.826	1010.957	239.404	629.791	802.508	202.880	458.245	1007.611	443.592	504.515
37	0.12000	1007.867	455.374	912.584	1187.442	594.307	563.789	0.000	0.000	0.000	1087.132	671.600	37.143	1011.341	239.255	629.773	803.287	201.765	457.993	1007.636	443.498	504.524
38	0.12333	1007.828	455.304	912.565	1187.252	594.495	563.800	0.000	0.000	0.000	1086.918	671.699	37.250	1011.421	239.130	629.826	804.037	200.682	457.575	1007.643	443.417	504.547
39	0.12667	1007.807	455.250	912.569	1187.058	594.689	563.774	0.000	0.000	0.000	1086.711	671.744	37.271	1011.826	238.942	629.820	804.871	199.543	457.265	1007.661	443.321	504.514
40	0.13000	1007.766	455.177	912.557	1186.871	594.893	563.747	0.000	0.000	0.000	1086.478	671.828	37.262	1012.197	238.799	629.725	805.691	198.394	456.907	1007.671	443.229	504.571
41	0.13333	1007.741	455.100	912.547	1186.666	595.085	563.703	0.000	0.000	0.000	1086.219	671.807	37.157	1012.601	238.627	629.657	806.578	197.227	456.511	1007.701	443.127	504.543
42	0.13667	1007.693	455.023	912.515	1186.485	595.282	563.680	0.000	0.000	0.000	1085.886	671.770	37.045	1013.028	238.438	629.660	807.512	196.021	456.090	1007.677	443.048	504.597
43	0.14000	1007.679	454.945	912.498	1186.278	595.508	563.638	0.000	0.000	0.000	1085.610	671.826	37.068	1013.425	238.284	629.619	808.501	194.795	455.666	1007.699	442.971	504.597
44	0.14333	1007.647	454.866	912.489	1186.037	595.738	563.607	0.000	0.000	0.000	1085.346	671.923	37.086	1013.911	238.082	629.656	809.561	193.539	455.282	1007.711	442.891	504.637
45	0.14667	1007.625	454.796	912.493	1185.777	595.947	563.528	0.000	0.000	0.000	1085.100	671.985	37.103	1014.409	237.894	629.684	810.636	192.262	454.864	1007.731	442.783	504.682
46	0.15000	1007.597	454.717	912.485	1185.527	596.160	563.482	0.000	0.000	0.000	1084.841	671.942	36.989	1014.846	237.683	629.632	811.734	190.962	454.412	1007.728	442.689	504.693
47	0.15333	1007.576	454.659	912.475	1185.300	596.390	563.454	0.000	0.000	0.000	1084.508	672.011	37.004	1015.903	238.244	630.027	812.855	189.644	453.942	1007.736	442.591	504.663
48	0.15667	1007.547	454.582	912.470	1185.029	596.599	563.425	0.000	0.000	0.000	1084.133	672.019	37.003	1016.362	238.035	629.962	813.972	188.300	453.470	1007.705	442.490	504.809
49	0.16000	1007.527	454.512	912.444	1184.781	596.838	563.345	0.000	0.000	0.000	1083.799	672.098	37.069	1016.835	237.784	629.897	815.165	186.906	453.046	1007.711	442.397	504.827
50	0.16333	1007.488	454.422	912.431	1184.483	597.087	563.351	0.000	0.000	0.000	1083.485	672.204	37.142	1017.283	237.555	629.867	816.319	185.506	452.587	1007.709	442.282	504.821
51	0.16667	1007.466	454.349	912.416	1184.213	597.244	563.272	0.000	0.000	0.000	1083.198	672.339	37.207	1017.759	237.188	629.605	817.452	184.085	452.092	1007.681	442.189	504.918
52	0.17000	1007.438	454.270	912.408	1183.917	597.489	563.215	0.000	0.000	0.000	1082.809	672.336	37.092	1018.322	237.032	629.690	818.661	182.606	451.736	1007.689	442.077	504.887
53	0.17333	1007.400	454.193	912.366	1183.571	597.724	563.131	0.000	0.000	0.000	1082.388	672.482	37.298	1018.869	236.801	629.590	819.780	181.157	451.323	1007.703	441.968	504.908
54	0.17667	1007.358	454.109	912.358	1183.276	597.968	563.094	0.000	0.000	0.000	1082.009	672.522	37.527	1019.383	236.580	629.524	820.935	179.661	450.962	1007.711	441.833	504.884
55	0.18000	1007.329	454.036	912.342	1182.982	598.201	563.086	0.000	0.000	0.000	1081.696	672.584	37.572	1019.912	236.381	629.443	822.066	178.114	450.499	1007.721	441.719	504.885
56	0.18333	1007.299	453.959	912.328	1182.656	598.455	563.058	0.000	0.000	0.000	1081.366	672.508	37.425	1020.397	236.125	629.399	823.286	176.559	450.201	1007.731	441.620	504.885
57	0.18667	1007.264	453.884	912.300	1182.297	598.740	563.033	0.000	0.000	0.000	1080.970	672.547	37.407	1020.936	235.960	629.363	824.432	175.049	449.727	1007.721	441.483	504.879
58	0.19000	1007.212	453.821	912.297	1181.958	598.962	562.986	0.000	0.000	0.000	1080.559	672.498	37.357	1021.489	235.743	629.317	825.660	173.521	449.378	1007.758	441.385	504.885
59	0.19333	1007.172	453.752	912.274	1181.616	599.206	562.946	0.000	0.000	0.000	1080.186	672.578	37.432	1022.082	235.589	629.363	826.888	171.941	448.874	1007.762	441.244	504.877
60	0.19667	1007.121	453.686	912.246	1181.227	599.483	562.916	0.000	0.000	0.000	1079.845	672.538	37.348	1022.646	235.402	629.340	828.198	170.320	448.518	1007.773	441.125	504.872
61	0.20000	1007.084	453.598	912.236	1180.879	599.723	562.850	0.000	0.000	0.000	1079.437	672.591	37.357	1023.281	235.243	629.322	829.535	168.758	448.028	1007.760	440.984	504.851
62	0.20333	1007.041	453.531	912.219	1180.498	599.976	562.808	0.000	0.000	0.000	1079.001	672.669	37.472	1023.835	235.039	629.310	830.920	167.144	447.649	1007.761	440.813	504.911
63	0.20667	1006.984	453.457	912.202	1180.079	600.198	562.718	0.000	0.000	0.000	1078.565	672.806	37.859	1024.382	234.771	629.217	832.282	165.531	447.077	1007.738	440.671	504.910
64	0.21000	1006.917	453.373	912.158	1179.706	600.457	562.682	0.000	0.000	0.000	1078.187	672.841	37.906	1024.910	234.440	629.031	833.798	163.840	446.772	1007.739	440.515	504.904
65	0.21333	1006.861	453.297	912.117	1179.325	600.732	562.625	0.000	0.000	0.000	1077.795	672.798	37.780	1025.519	234.239	629.049	835.261	162.202	446.196	1007.737	440.383	504.903
66	0.21667	1006.813	453.218	912.116	1178.930	601.012	562.594	0.000	0.000	0.000	1077.347	672.733	37.669	1026.070	233.958	628.913	836.733	160.615	445.648	1007.718	440.247	504.930
67	0.22000	1006.754	453.140	912.088	1178.539	601.294	562.566	0.000	0.000	0.000	1076.915	672.775	37.760	1026.660	233.695	628.784	838.300	158.881	445.217	1007.699	440.120	504.927
68	0.22333	1006.692	453.059	912.070	1178.135	601.613	562.525	0.000	0.000	0.000	1076.523	672.776	37.749	1027.239	233.439	628.697	839.832	157.216	444.669	1007.663	439.971	504.929
69	0.22667	1006.646	452.988	912.055	1177.713	601.899	562.455	0.000	0.000	0.000	1076.125	672.754	37.705	1027.832	233.195	628.617	841.429	155.543	444.225	1007.648	439.819	504.915
70	0.23000	1006.586	452.915	912.028	1177.288	602.103	562.400	0.000	0.000	0.000	1075.661	672.662	37.673	1028.426	233.000	628.540	843.049	153.828	443.736	1007.633	439.704	504.916
71	0.23333	1006.534	452.833	912.018	1176.865	602.386	562.358	0.000	0.000	0.000	1075.159	672.718	37.794	1029.029	232.785	628.453	844.622	152.161	443.153	1007.595	439.565	504.931
72	0.23667	1006.475	452.746	911.987	1176.453	602.645	562.268	0.000	0.000	0.000	1074.725	672.809	38.145	1029.804	232.640	628.552	846.292	150.455	442.696	1007.578	439.414	504.907
73	0.24000	1006.423	452.680	911.984	1176.074	602.923	562.247	0.000	0.000	0.000	1074.350	672.616	37.881	1030.518	232.483	628.612	847.994	148.770	442.125	1007.539	439.287	504.957
74	0.24333	1006.360	452.588	911.967	1175.648	603.222	562.259	0.000	0.000	0.000	1073.856	672.588	37.865	1031.104	232.241	628.552	849.753	147.009	441.701	1007.514	439.138	504.994
75	0.24667	1006.305	452.508	911.945	1175.194	603.547	562.132	0.000	0.000	0.000	1073.431	672.540	37.856	1031.725	231.969	628.400	851.453	145.335	441.099	1007.429	439.007	505.102
76	0.25000	1006.240	452.423	911.918	1174.813	603.812	562.128	0.000	0.000	0.000	1073.001	672.559	37.941	1032.330	231.745	628.355	853.216	143.639	440.573	1007.398	438.839	505.113
77	0.25333	1006.174	452.345	911.902	1174.385	604.103	562.106	0.000	0.000	0.000	1072.592	672.461	37.842	1032.943	231.429	628.197	855.028	141.870	440.118	1007.340	438.689	505.121
