NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	8
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 11:31:21	606340.55404414
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	L_Hand	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	L_Hand X	L_Hand Y	L_Hand Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1039.483	431.782	925.243	1163.729	612.377	569.165	0.000	0.000	0.000	1045.549	689.419	41.135	1013.756	247.040	626.855	798.824	228.058	469.880	542.189	362.009	514.681	996.180	451.690	507.372
2	0.00333	1039.471	431.662	925.217	1161.701	612.150	568.175	0.000	0.000	0.000	1045.194	689.255	41.172	1013.544	246.465	626.415	799.088	227.811	469.774	542.645	361.484	515.422	996.297	451.751	507.349
3	0.00667	1039.475	431.592	925.211	1161.610	612.212	568.181	0.000	0.000	0.000	1044.863	689.212	41.194	1013.749	246.373	626.397	799.376	227.547	469.674	543.234	361.044	516.241	996.338	451.663	507.364
4	0.01000	1039.464	431.514	925.211	1163.378	612.610	569.184	0.000	0.000	0.000	1044.541	689.343	41.397	1013.993	246.277	626.371	799.602	227.286	469.438	543.750	360.560	517.068	996.358	451.591	507.345
5	0.01333	1039.456	431.442	925.208	1163.232	612.710	569.203	0.000	0.000	0.000	1044.218	689.616	41.702	1014.236	246.195	626.358	799.949	226.909	469.347	544.323	359.984	517.928	996.355	451.491	507.290
6	0.01667	1039.459	431.378	925.197	1163.097	612.814	569.228	0.000	0.000	0.000	1043.819	689.622	41.862	1014.477	246.115	626.301	800.299	226.526	469.267	545.115	359.392	519.130	996.406	451.431	507.352
7	0.02000	1039.440	431.317	925.188	1162.953	612.919	569.233	0.000	0.000	0.000	1043.423	689.378	41.688	1014.729	246.057	626.293	800.606	226.142	469.012	545.731	358.789	520.144	996.429	451.367	507.338
8	0.02333	1039.012	431.465	924.813	1162.333	612.839	568.734	0.000	0.000	0.000	1042.369	687.834	40.291	1014.651	246.311	626.108	800.502	226.127	468.493	546.096	358.351	520.970	995.645	451.672	507.173
9	0.02667	1039.363	431.357	925.112	1162.118	612.648	568.406	0.000	0.000	0.000	1042.266	688.321	40.631	1015.117	246.042	626.208	800.918	225.673	468.346	546.928	357.748	522.033	995.680	451.829	506.955
10	0.03000	1039.351	431.303	925.106	1161.958	612.747	568.400	0.000	0.000	0.000	1041.947	688.215	40.615	1015.346	245.913	626.165	801.297	225.177	468.101	547.757	357.147	523.112	995.681	451.738	506.963
