NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	7
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 12:40:28	610487.62202283
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1033.412	419.908	919.942	1190.992	590.003	564.987	0.000	0.000	0.000	1091.632	668.173	38.743	1005.544	242.964	629.995	790.769	226.869	475.124	1010.220	443.354	503.055
2	0.00333	1033.415	419.930	919.961	1190.982	590.034	565.021	0.000	0.000	0.000	1091.522	668.358	38.844	1005.585	242.975	629.957	790.873	226.740	475.059	1010.210	443.409	503.085
3	0.00667	1033.405	419.942	919.956	1190.987	590.086	565.039	0.000	0.000	0.000	1091.433	668.448	38.897	1005.640	242.951	629.927	790.965	226.579	474.958	1010.195	443.437	503.103
4	0.01000	1033.406	419.958	919.969	1190.974	590.132	565.056	0.000	0.000	0.000	1091.349	668.595	38.994	1005.676	242.944	629.887	791.098	226.363	474.867	1010.208	443.488	503.126
5	0.01333	1033.390	419.967	919.975	1190.969	590.190	565.105	0.000	0.000	0.000	1091.257	668.707	39.073	1005.751	242.910	629.870	791.218	226.155	474.781	1010.218	443.544	503.215
6	0.01667	1033.371	419.992	919.970	1190.964	590.254	565.106	0.000	0.000	0.000	1091.134	668.934	39.286	1005.817	242.903	629.825	791.341	225.920	474.653	1010.218	443.595	503.232
7	0.02000	1033.346	420.001	919.969	1190.948	590.310	565.140	0.000	0.000	0.000	1091.017	669.006	39.487	1005.899	242.869	629.809	791.458	225.663	474.511	1010.225	443.624	503.250
8	0.02333	1032.852	420.201	919.586	1190.403	590.186	564.659	0.000	0.000	0.000	1090.090	667.701	38.254	1005.437	243.374	629.037	791.013	225.965	473.933	1009.443	443.914	502.900
9	0.02667	1032.822	420.252	919.714	1190.277	590.246	564.564	0.000	0.000	0.000	1090.168	668.187	38.687	1005.610	243.117	629.350	791.179	225.871	473.962	1009.663	444.045	502.696
10	0.03000	1032.763	420.267	919.703	1190.243	590.315	564.585	0.000	0.000	0.000	1090.045	668.217	38.681	1005.710	243.064	629.345	791.345	225.595	473.849	1009.656	444.095	502.701
11	0.03333	1032.978	420.084	919.908	1190.568	590.309	565.145	0.000	0.000	0.000	1089.902	668.250	38.683	1006.043	243.066	629.305	791.892	224.798	474.393	1009.953	443.557	503.386
12	0.03667	1032.922	420.086	919.898	1190.543	590.370	565.164	0.000	0.000	0.000	1089.767	668.313	38.696	1006.177	243.000	629.287	792.122	224.424	474.231	1009.952	443.572	503.438
13	0.04000	1032.874	420.094	919.897	1190.506	590.455	565.185	0.000	0.000	0.000	1089.638	668.376	38.693	1006.313	242.938	629.295	792.410	224.034	474.315	1009.990	443.601	503.464
