NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	8
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 11:59:11	608010.33463250
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	L_Hand	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	L_Hand X	L_Hand Y	L_Hand Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1031.540	432.581	917.867	1166.691	599.560	559.154	0.000	0.000	0.000	1035.729	671.539	30.737	1014.454	239.467	627.512	796.945	225.419	470.573	536.590	367.353	509.811	1001.663	437.427	502.873
2	0.00333	1031.432	432.536	917.877	1166.604	599.652	559.218	0.000	0.000	0.000	1035.556	671.784	30.944	1014.621	239.554	627.610	797.084	225.134	470.455	536.929	367.173	510.417	1001.660	437.438	502.862
3	0.00667	1031.306	432.510	917.856	1166.523	599.724	559.255	1170.091	648.839	252.690	1035.384	671.951	31.069	1014.741	239.545	627.612	797.248	224.820	470.316	537.300	366.945	511.032	1001.648	437.432	502.887
4	0.01000	1031.191	432.460	917.856	1166.459	599.858	559.339	1169.959	648.906	252.676	1035.210	672.172	31.258	1014.888	239.526	627.637	797.419	224.488	470.279	537.790	366.739	511.842	1001.615	437.433	502.921
5	0.01333	1031.082	432.409	917.842	1166.377	599.933	559.359	1169.838	648.962	252.697	1035.052	672.141	31.222	1015.034	239.511	627.609	797.570	224.104	470.121	538.284	366.467	512.632	1001.595	437.420	502.971
6	0.01667	1030.961	432.349	917.828	1166.286	600.015	559.394	1169.705	649.026	252.717	1034.891	672.116	31.206	1015.085	239.340	627.498	797.771	223.721	469.926	538.737	366.201	513.290	1001.550	437.433	503.035
7	0.02000	1030.844	432.296	917.831	1166.190	600.109	559.421	1169.562	649.095	252.735	1034.685	672.202	31.264	1015.228	239.296	627.485	797.982	223.339	469.757	539.268	365.953	514.069	1001.545	437.444	503.078
8	0.02333	1030.275	432.423	917.397	1165.589	600.023	558.958	1169.410	649.172	252.752	1033.674	671.030	30.330	1014.884	239.291	626.970	797.745	223.329	469.262	539.438	365.860	514.664	1000.644	437.915	502.750
9	0.02667	1030.552	432.138	917.781	1165.500	599.817	558.842	1169.248	649.255	252.769	1033.610	671.276	30.510	1015.348	239.254	627.270	798.083	222.867	469.201	540.250	365.413	515.756	1000.454	437.985	502.701
10	0.03000	1030.425	432.081	917.754	1165.361	599.891	558.786	1169.079	649.345	252.785	1033.392	671.254	30.520	1015.385	239.164	626.813	798.373	222.356	469.047	540.899	365.115	516.721	1000.411	437.967	502.724
11	0.03333	1030.166	432.062	917.667	1165.540	600.273	559.508	1168.902	649.442	252.800	1033.162	671.331	30.593	1015.678	239.025	627.136	799.335	221.492	469.832	541.457	364.657	517.365	1001.032	437.442	503.336
12	0.03667	1030.053	432.011	917.657	1165.442	600.380	559.540	1168.719	649.547	252.815	1032.955	671.303	30.640	1015.842	238.924	627.109	799.590	220.981	469.523	542.151	364.263	518.263	1000.975	437.357	503.509
13	0.04000	1029.945	431.969	917.666	1165.331	600.495	559.587	1168.531	649.658	252.829	1032.774	671.295	30.644	1016.057	238.840	627.100	799.927	220.371	469.288	543.214	363.686	519.716	1000.969	437.367	503.502
14	0.04333	1029.836	431.941	917.634	1165.223	600.660	559.641	1168.338	649.777	252.844	1032.535	671.229	30.583	1016.302	238.766	627.102	800.046	219.523	468.509	544.007	363.302	520.858	1000.915	437.341	503.548
15	0.04667	1029.730	431.909	917.621	1165.106	600.813	559.672	1168.141	649.904	252.858	1032.318	671.350	30.676	1016.514	238.662	627.087	800.457	218.807	468.303	544.777	362.841	521.770	1000.878	437.345	503.575
16	0.05000	1029.628	431.874	917.601	1164.975	600.955	559.705	1167.942	650.038	252.873	1032.066	671.321	30.653	1016.988	238.927	627.331	800.802	218.138	467.931	545.514	362.351	522.734	1000.864	437.314	503.598
17	0.05333	1029.498	431.823	917.561	1164.808	601.056	559.723	1167.803	649.918	252.533	1031.808	671.252	30.535	1017.167	238.809	627.301	801.191	217.428	467.583	546.318	361.854	523.696	1000.792	437.232	503.715
18	0.05667	1029.381	431.775	917.537	1164.671	601.189	559.741	1167.632	650.014	252.495	1031.521	671.317	30.628	1017.173	238.350	627.011	801.575	216.656	467.214	547.211	361.270	524.732	1000.761	437.291	503.642
19	0.06000	1029.267	431.750	917.517	1164.527	601.349	559.775	1167.432	650.126	252.462	1031.269	671.359	30.593	1017.708	238.630	627.236	801.948	215.882	466.789	548.107	360.755	525.790	1000.744	437.271	503.665
20	0.06333	1029.145	431.712	917.497	1164.377	601.465	559.791	1167.209	650.250	252.434	1031.034	671.613	30.819	1018.183	238.806	627.496	802.371	215.064	466.451	549.029	360.193	526.847	1000.699	437.241	503.677
21	0.06667	1029.044	431.676	917.482	1164.236	601.617	559.800	1166.969	650.382	252.411	1030.844	671.639	30.808	1017.951	238.066	626.942	802.851	214.184	466.152	549.998	359.575	527.951	1000.641	437.154	503.775
22	0.07000	1028.928	431.652	917.462	1164.080	601.761	559.827	1166.719	650.518	252.391	1030.598	671.632	30.790	1018.179	237.932	626.869	803.200	213.318	465.668	551.031	358.980	529.184	1000.625	437.203	503.710
23	0.07333	1028.825	431.617	917.441	1163.919	601.930	559.854	1166.463	650.654	252.375	1030.292	671.816	31.101	1018.891	238.376	627.268	803.655	212.439	465.336	552.065	358.282	530.331	1000.613	437.165	503.712
24	0.07667	1028.704	431.597	917.411	1163.754	602.080	559.860	1166.208	650.786	252.361	1030.026	671.799	31.072	1018.663	237.511	626.575	804.180	211.474	465.104	553.168	357.588	531.530	1000.584	437.132	503.723
25	0.08000	1028.589	431.580	917.370	1163.557	602.241	559.874	1165.961	650.911	252.348	1029.747	671.778	31.052	1019.003	237.456	626.607	804.595	210.531	464.689	554.260	356.889	532.780	1000.565	437.084	503.705
26	0.08333	1028.472	431.553	917.335	1163.374	602.406	559.904	1165.726	651.024	252.337	1029.464	671.826	31.139	1019.238	237.197	626.441	805.060	209.549	464.386	555.363	356.147	533.941	1000.531	437.045	503.736
27	0.08667	1028.350	431.532	917.299	1163.177	602.542	559.917	1165.511	651.122	252.326	1029.241	671.848	31.178	1019.586	237.092	626.428	805.527	208.569	464.028	556.512	355.338	535.218	1000.500	436.993	503.733
28	0.09000	1028.234	431.529	917.269	1162.953	602.700	559.958	1165.321	651.201	252.315	1029.025	671.822	31.121	1019.882	236.952	626.398	806.051	207.555	463.797	557.681	354.518	536.447	1000.486	436.954	503.741
29	0.09333	1028.111	431.527	917.237	1162.715	602.886	559.968	1165.027	651.365	252.441	1028.820	671.791	31.089	1020.669	237.403	626.787	806.570	206.515	463.563	558.843	353.669	537.632	1000.458	436.908	503.742
30	0.09667	1027.968	431.527	917.187	1162.486	603.065	559.985	0.000	0.000	0.000	1028.548	671.678	30.962	1020.978	237.288	626.754	807.047	205.491	463.272	560.034	352.753	538.850	1000.448	436.876	503.751
31	0.10000	1027.824	431.520	917.111	1162.266	603.243	560.021	0.000	0.000	0.000	1028.241	671.605	30.883	1021.302	237.137	626.688	807.571	204.401	463.050	561.235	351.832	540.069	1000.425	436.813	503.776
32	0.10333	1027.683	431.517	917.074	1162.038	603.408	560.039	0.000	0.000	0.000	1027.973	671.568	30.852	1021.626	236.985	626.654	808.065	203.321	462.750	562.460	350.901	541.316	1000.391	436.757	503.770
33	0.10667	1027.545	431.530	917.047	1161.812	603.602	560.061	0.000	0.000	0.000	1027.719	671.579	30.869	1021.929	236.824	626.619	808.666	202.182	462.613	563.704	349.887	542.583	1000.353	436.718	503.788
34	0.11000	1027.427	431.554	917.010	1161.558	603.781	560.088	0.000	0.000	0.000	1027.469	671.567	30.850	1022.326	236.725	626.597	809.207	201.082	462.352	564.986	348.838	543.821	1000.339	436.629	503.813
35	0.11333	1027.290	431.561	916.984	1161.306	603.970	560.116	0.000	0.000	0.000	1027.229	671.696	30.961	1022.665	236.579	626.545	809.768	199.982	462.060	566.280	347.773	545.079	1000.309	436.580	503.838
36	0.11667	1027.174	431.584	916.959	1161.028	604.112	560.093	0.000	0.000	0.000	1026.968	671.842	31.093	1022.962	236.408	626.500	810.364	198.834	461.829	567.577	346.620	546.320	1000.290	436.524	503.835
37	0.12000	1027.046	431.608	916.926	1160.772	604.305	560.124	0.000	0.000	0.000	1026.661	671.778	31.041	1023.320	236.256	626.451	811.027	197.627	461.629	568.930	345.459	547.562	1000.255	436.460	503.871
38	0.12333	1026.905	431.625	916.902	1160.484	604.483	560.141	0.000	0.000	0.000	1026.317	671.952	31.337	1023.691	236.108	626.448	811.666	196.453	461.382	570.308	344.262	548.818	1000.241	436.383	503.886
39	0.12667	1026.770	431.659	916.875	1160.222	604.718	560.160	0.000	0.000	0.000	1026.032	671.912	31.303	1024.056	235.968	626.461	812.310	195.282	461.122	571.700	343.013	550.082	1000.203	436.292	503.873
40	0.13000	1026.628	431.695	916.850	1159.938	604.924	560.183	0.000	0.000	0.000	1025.844	671.738	31.068	1024.613	236.028	626.658	812.987	194.112	460.848	573.112	341.735	551.305	1000.199	436.228	503.909
41	0.13333	1026.462	431.729	916.820	1159.663	605.139	560.210	0.000	0.000	0.000	1025.571	672.019	31.421	1025.000	235.869	626.636	813.719	192.868	460.602	574.556	340.429	552.494	1000.165	436.148	503.925
42	0.13667	1026.290	431.756	916.768	1159.369	605.347	560.232	0.000	0.000	0.000	1025.310	671.919	31.274	1025.540	235.920	626.892	814.481	191.648	460.357	575.998	339.076	553.719	1000.137	436.084	503.959
43	0.14000	1026.127	431.767	916.742	1159.058	605.561	560.240	0.000	0.000	0.000	1025.010	671.783	31.124	1025.924	235.789	626.879	815.286	190.407	460.086	577.487	337.644	554.945	1000.138	436.004	503.962
44	0.14333	1025.968	431.802	916.699	1158.795	605.789	560.291	0.000	0.000	0.000	1024.689	671.658	30.967	1026.481	235.749	627.047	816.064	189.170	459.713	579.037	336.305	556.162	1000.069	435.920	504.109
45	0.14667	1025.820	431.830	916.651	1158.509	605.989	560.284	0.000	0.000	0.000	1024.436	671.582	30.948	1026.894	235.623	627.044	816.931	187.909	459.408	580.557	334.872	557.335	1000.060	435.840	504.105
