NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	8
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 12:43:09	610648.41581052
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	L_Hand	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	L_Hand X	L_Hand Y	L_Hand Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1066.456	433.980	918.878	1210.998	589.742	549.281	0.000	0.000	0.000	1119.551	664.237	21.016	1001.159	257.700	627.402	781.882	221.575	467.798	534.353	370.384	515.497	1014.039	459.020	502.812
2	0.00333	1066.440	433.945	918.870	1211.073	589.745	549.260	0.000	0.000	0.000	1119.595	664.429	21.230	1001.042	257.702	627.318	781.936	221.491	467.775	534.636	370.231	516.005	1014.166	459.024	502.757
3	0.00667	1066.443	433.953	918.877	1211.074	589.751	549.247	0.000	0.000	0.000	1119.575	664.436	21.230	1001.034	257.721	627.313	781.976	221.441	467.644	534.895	370.049	516.439	1014.104	459.048	502.794
4	0.01000	1066.448	433.945	918.884	1211.414	591.256	550.034	0.000	0.000	0.000	1119.557	664.416	21.202	1001.042	257.597	627.273	782.016	221.393	467.501	535.214	369.859	516.977	1014.160	459.080	502.766
5	0.01333	1066.445	433.948	918.882	1211.439	591.260	550.026	0.000	0.000	0.000	1119.547	664.440	21.227	1000.941	257.604	627.265	782.067	221.323	467.312	535.556	369.719	517.500	1014.095	459.102	502.801
6	0.01667	1066.433	433.958	918.877	1211.452	591.267	550.040	0.000	0.000	0.000	1119.521	664.455	21.217	1000.920	257.604	627.216	782.124	221.237	467.132	535.953	369.511	518.157	1014.104	459.108	502.809
7	0.02000	1066.436	433.956	918.876	1211.481	591.260	550.021	0.000	0.000	0.000	1119.503	664.411	21.212	1000.994	257.590	627.225	782.172	221.159	466.890	536.400	369.289	518.852	1014.133	459.173	502.756
8	0.02333	1065.989	434.314	918.381	1211.151	591.567	549.890	0.000	0.000	0.000	1118.651	662.891	19.803	1000.503	258.095	626.558	781.651	221.954	465.939	536.366	369.309	519.213	1013.336	459.298	502.255
9	0.02667	1065.862	434.269	918.376	1211.284	591.670	549.891	0.000	0.000	0.000	1118.888	663.529	20.264	1000.181	258.089	626.512	781.583	221.981	465.657	536.861	369.159	520.028	1013.524	459.555	501.963
10	0.03000	1066.087	434.466	918.569	1211.274	591.644	549.854	0.000	0.000	0.000	1118.832	663.411	20.197	1000.091	258.149	626.402	781.784	221.859	465.488	537.501	368.991	520.956	1013.488	459.628	501.886
