NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	8
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 12:55:48	611407.62338690
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	L_Hand	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	L_Hand X	L_Hand Y	L_Hand Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1015.066	466.576	907.435	1206.774	582.998	560.106	0.000	0.000	0.000	1089.306	686.640	37.670	998.294	239.907	618.828	783.490	222.103	451.760	536.029	366.247	513.035	1011.823	450.670	502.078
2	0.00333	1015.050	466.549	907.450	1206.744	583.063	560.116	0.000	0.000	0.000	1089.166	686.634	37.654	998.437	239.929	618.923	783.579	222.084	451.805	536.242	366.197	513.407	1011.830	450.673	502.111
3	0.00667	1015.032	466.496	907.455	1206.724	583.126	560.114	0.000	0.000	0.000	1089.039	686.627	37.603	998.477	239.842	618.898	783.667	222.038	451.838	536.517	366.136	513.800	1011.856	450.684	502.117
4	0.01000	1015.004	466.442	907.464	1206.695	583.192	560.096	0.000	0.000	0.000	1088.898	686.686	37.630	998.575	239.842	618.901	783.738	221.998	451.824	536.815	366.073	514.258	1011.851	450.701	502.130
5	0.01333	1015.004	466.383	907.483	1206.655	583.264	560.093	0.000	0.000	0.000	1088.755	686.759	37.637	998.668	239.829	618.906	783.828	221.929	451.789	537.120	366.066	514.756	1011.855	450.703	502.153
6	0.01667	1014.976	466.319	907.495	1206.632	583.352	560.097	0.000	0.000	0.000	1088.630	686.852	37.652	998.770	239.833	618.900	783.943	221.861	451.839	537.429	366.021	515.246	1011.841	450.712	502.168
7	0.02000	1014.970	466.266	907.506	1206.594	583.425	560.085	0.000	0.000	0.000	1088.476	686.879	37.631	998.875	239.820	618.887	784.053	221.783	451.815	537.749	365.951	515.719	1011.859	450.716	502.185
8	0.02333	1014.504	466.369	907.116	1206.009	583.223	559.543	0.000	0.000	0.000	1087.533	685.617	36.431	998.799	239.958	618.685	783.710	222.124	451.427	537.669	366.089	515.860	1011.133	451.006	501.753
9	0.02667	1014.617	465.926	907.539	1206.037	582.757	559.471	0.000	0.000	0.000	1087.592	686.195	36.881	998.774	239.835	618.760	783.691	222.578	451.322	538.204	366.041	516.723	1011.363	451.130	501.539
10	0.03000	1014.595	465.852	907.560	1205.993	582.846	559.468	0.000	0.000	0.000	1087.352	686.148	36.889	998.888	239.792	618.775	783.805	222.477	451.268	538.641	366.031	517.309	1011.355	451.124	501.566
11	0.03333	1014.649	465.991	907.552	1206.024	583.275	559.626	0.000	0.000	0.000	1087.132	686.207	36.992	999.177	239.849	618.717	783.888	222.010	451.066	539.110	366.051	517.986	1010.930	451.551	501.922
12	0.03667	1014.637	465.929	907.563	1205.971	583.354	559.551	0.000	0.000	0.000	1086.897	686.230	37.030	999.306	239.832	618.683	784.016	221.862	450.979	539.578	365.934	518.533	1010.897	451.567	501.957
13	0.04000	1014.635	465.861	907.573	1205.898	583.447	559.538	0.000	0.000	0.000	1086.695	686.222	36.987	999.439	239.816	618.666	784.211	221.654	450.621	540.080	365.675	518.816	1011.141	451.229	501.580
14	0.04333	1014.618	465.792	907.570	1205.820	583.550	559.503	0.000	0.000	0.000	1086.490	686.325	37.049	999.575	239.793	618.652	785.080	220.895	451.717	540.616	365.601	519.453	1011.514	450.839	502.577
15	0.04667	1014.637	465.735	907.582	1205.721	583.671	559.494	0.000	0.000	0.000	1086.301	686.381	36.970	999.723	239.767	618.628	785.306	220.675	451.679	541.413	365.470	520.550	1011.521	450.815	502.612
16	0.05000	1014.660	465.724	907.616	1205.663	583.826	559.495	0.000	0.000	0.000	1086.097	686.406	36.944	999.860	239.725	618.587	785.502	220.416	451.549	541.999	365.316	521.202	1011.511	450.775	502.633
17	0.05333	1014.680	465.677	907.633	1205.565	583.961	559.478	0.000	0.000	0.000	1085.849	686.440	36.912	1000.020	239.713	618.563	785.707	220.115	451.437	542.625	365.269	521.874	1011.510	450.740	502.636
18	0.05667	1014.699	465.623	907.655	1205.491	584.104	559.469	0.000	0.000	0.000	1085.616	686.521	37.010	1000.181	239.678	618.538	785.914	219.850	451.337	543.195	365.143	522.530	1011.492	450.747	502.647
19	0.06000	1014.705	465.600	907.674	1205.415	584.260	559.453	0.000	0.000	0.000	1085.290	686.385	37.031	1000.371	239.643	618.536	786.146	219.553	451.213	543.848	364.987	523.239	1011.494	450.696	502.680
20	0.06333	1014.727	465.533	907.681	1205.317	584.379	559.430	0.000	0.000	0.000	1085.038	686.329	36.975	1000.544	239.630	618.492	786.409	219.226	451.159	544.489	364.863	523.856	1011.487	450.684	502.690
21	0.06667	1014.743	465.496	907.724	1205.217	584.538	559.430	0.000	0.000	0.000	1084.807	686.405	36.959	1000.712	239.580	618.453	786.728	218.816	451.107	545.140	364.738	524.538	1011.478	450.655	502.714
22	0.07000	1014.750	465.452	907.724	1205.090	584.671	559.413	0.000	0.000	0.000	1084.567	686.436	36.884	1000.894	239.531	618.446	786.947	218.507	450.907	545.838	364.566	525.225	1011.454	450.592	502.706
23	0.07333	1014.769	465.402	907.737	1204.978	584.826	559.397	0.000	0.000	0.000	1084.331	686.631	36.922	1001.073	239.477	618.396	787.217	218.177	450.706	546.590	364.401	525.960	1011.436	450.544	502.722
24	0.07667	1014.775	465.363	907.744	1204.829	585.012	559.348	0.000	0.000	0.000	1084.054	686.634	36.929	1001.294	239.427	618.404	787.478	217.813	450.524	547.361	364.267	526.618	1011.437	450.507	502.735
25	0.08000	1014.768	465.321	907.757	1204.648	585.151	559.308	0.000	0.000	0.000	1083.723	686.527	36.884	1001.491	239.374	618.363	787.791	217.386	450.378	548.178	364.070	527.497	1011.429	450.461	502.734
26	0.08333	1014.785	465.278	907.779	1204.487	585.328	559.308	0.000	0.000	0.000	1083.420	686.447	36.803	1001.786	239.383	618.433	788.137	217.020	450.271	549.018	363.892	528.216	1011.410	450.404	502.729
27	0.08667	1014.797	465.238	907.781	1204.231	585.550	559.372	0.000	0.000	0.000	1083.115	686.482	36.703	1001.916	239.241	618.318	788.493	216.605	450.130	549.882	363.731	529.058	1011.401	450.340	502.738
28	0.09000	1014.801	465.203	907.801	1204.080	585.729	559.322	0.000	0.000	0.000	1082.857	686.577	36.703	1002.154	239.234	618.263	788.854	216.154	449.972	550.807	363.542	529.916	1011.377	450.284	502.743
