NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	8
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 12:58:36	611575.31275180
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	L_Hand	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	L_Hand X	L_Hand Y	L_Hand Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1050.202	411.710	921.071	1189.823	601.257	567.355	0.000	0.000	0.000	1057.405	666.714	38.910	1019.610	247.864	628.622	804.161	239.287	467.349	537.797	377.966	510.610	1022.689	446.175	501.394
2	0.00333	1050.087	411.711	921.088	1189.669	601.360	567.376	0.000	0.000	0.000	1057.167	666.632	38.832	1019.770	247.716	628.549	804.509	239.322	467.704	538.311	377.664	511.235	1022.657	446.118	501.435
3	0.00667	1049.972	411.707	921.054	1189.490	601.474	567.386	0.000	0.000	0.000	1056.934	666.562	38.760	1019.959	247.608	628.579	804.748	238.915	467.511	538.884	377.254	511.992	1022.617	446.041	501.468
4	0.01000	1049.856	411.681	921.043	1189.338	601.603	567.406	0.000	0.000	0.000	1056.655	666.549	38.703	1020.180	247.511	628.558	805.082	238.493	467.307	539.455	376.885	512.770	1022.576	445.966	501.512
5	0.01333	1049.743	411.682	921.020	1189.196	601.756	567.446	0.000	0.000	0.000	1056.423	666.549	38.686	1020.503	247.382	628.575	805.501	238.045	467.256	540.158	376.460	513.605	1022.519	445.962	501.528
6	0.01667	1049.599	411.657	920.994	1189.035	601.903	567.448	0.000	0.000	0.000	1056.203	666.496	38.601	1020.754	247.201	628.533	805.813	237.516	467.026	540.872	375.980	514.527	1022.493	445.912	501.571
7	0.02000	1049.493	411.670	920.998	1188.873	602.045	567.460	0.000	0.000	0.000	1055.949	666.682	38.737	1021.061	247.097	628.578	806.238	237.021	466.775	541.645	375.588	515.374	1022.272	445.061	501.913
8	0.02333	1048.890	411.813	920.600	1188.199	602.030	566.993	0.000	0.000	0.000	1054.897	665.292	37.491	1020.355	247.775	627.711	806.236	236.868	466.268	542.023	375.257	516.114	1021.348	445.410	501.512
9	0.02667	1048.948	412.049	920.607	1187.900	602.286	566.726	0.000	0.000	0.000	1054.838	665.643	37.739	1021.286	247.040	627.954	806.763	236.303	466.103	543.080	374.748	517.146	1021.186	445.422	501.150
10	0.03000	1049.202	411.737	920.959	1187.880	602.112	566.676	0.000	0.000	0.000	1054.509	665.702	37.778	1021.544	246.879	627.966	807.255	235.655	465.941	544.289	373.944	518.729	1021.127	445.392	501.163
