NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	8
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 12:56:51	611470.73388205
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	L_Hand	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	L_Hand X	L_Hand Y	L_Hand Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1005.494	462.671	914.232	1171.802	613.884	558.291	0.000	0.000	0.000	1066.135	679.381	34.497	1004.339	261.063	632.601	791.549	234.768	470.822	534.563	380.609	514.914	1001.247	456.179	499.595
2	0.00333	1005.484	462.660	914.271	1171.783	613.954	558.343	1198.343	656.395	251.364	1066.026	679.661	34.700	1004.128	260.938	632.312	791.563	234.718	470.808	534.728	380.562	515.421	1001.426	456.236	499.650
3	0.00667	1005.470	462.647	914.284	1171.801	613.956	558.320	1198.239	656.383	251.361	1065.868	679.682	34.721	1004.164	260.966	632.278	791.592	234.686	470.787	534.895	380.424	515.955	1001.419	456.249	499.662
4	0.01000	1005.461	462.631	914.304	1171.967	614.890	559.132	1198.161	656.315	251.117	1065.695	679.855	34.854	1004.481	261.108	632.616	791.628	234.632	470.746	535.098	380.310	516.488	1001.401	456.310	499.687
5	0.01333	1005.462	462.619	914.325	1171.964	614.942	559.163	1198.088	656.337	251.087	1065.525	680.075	35.090	1004.539	261.126	632.638	791.682	234.574	470.709	535.374	380.209	517.110	1001.388	456.330	499.697
6	0.01667	1005.447	462.598	914.337	1171.957	614.976	559.175	1197.996	656.387	251.085	1065.300	680.194	35.203	1004.576	261.121	632.635	791.740	234.495	470.644	535.694	380.079	517.777	1001.395	456.357	499.738
7	0.02000	1005.430	462.580	914.354	1171.931	615.029	559.203	1197.821	656.475	251.153	1065.095	680.227	35.187	1004.665	261.120	632.654	791.830	234.397	470.608	536.062	379.922	518.422	1001.363	456.399	499.745
8	0.02333	1004.946	462.729	913.960	1171.398	614.906	558.757	1197.707	656.559	251.159	1064.067	678.994	34.046	1004.234	261.149	632.045	791.387	234.782	470.083	536.098	379.944	518.945	1000.538	456.655	499.167
9	0.02667	1005.038	462.333	914.255	1171.379	614.561	558.591	1197.656	656.499	251.313	1064.111	679.397	34.271	1004.712	261.031	632.337	791.388	234.772	469.974	536.581	379.704	519.852	1000.572	456.888	499.182
10	0.03000	1005.001	462.289	914.281	1171.380	614.623	558.632	1197.567	656.560	251.331	1063.909	679.448	34.259	1004.789	261.031	632.369	791.483	234.611	469.816	537.090	379.503	520.697	1000.544	456.929	499.220
11	0.03333	1005.187	462.512	914.364	1171.621	614.980	559.228	1197.360	656.751	251.204	1063.686	679.588	34.378	1004.879	261.029	632.391	792.198	234.095	470.530	537.986	379.296	522.034	1000.884	456.574	499.992
12	0.03667	1005.163	462.531	914.371	1171.616	615.123	559.267	1197.282	656.841	251.184	1063.475	679.632	34.425	1004.965	260.998	632.394	792.360	233.827	470.334	538.676	378.967	523.020	1000.846	456.587	500.032
13	0.04000	1005.144	462.518	914.381	1171.594	615.210	559.276	1197.180	656.943	251.149	1063.234	679.773	34.517	1005.058	260.977	632.400	792.484	233.533	470.071	539.333	378.744	523.941	1000.830	456.583	500.119
