NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	7
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 12:45:42	610801.54074747
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1079.747	414.394	916.324	1166.675	617.342	570.767	0.000	0.000	0.000	1076.212	666.525	31.923	1016.877	257.621	639.821	0.000	0.000	0.000	1003.195	453.487	510.778
2	0.00333	1079.743	414.324	916.341	1166.670	617.383	570.749	0.000	0.000	0.000	1076.087	666.543	31.941	1017.115	257.613	639.824	0.000	0.000	0.000	1003.277	453.437	510.820
3	0.00667	1079.739	414.244	916.332	1166.678	617.465	570.741	0.000	0.000	0.000	1075.987	666.589	31.967	1017.300	257.611	639.787	0.000	0.000	0.000	1003.373	453.442	510.812
4	0.01000	1079.732	414.160	916.321	1166.691	617.546	570.737	0.000	0.000	0.000	1075.865	666.633	31.984	1017.559	257.580	639.821	0.000	0.000	0.000	1003.409	453.448	510.796
5	0.01333	1079.735	414.102	916.322	1166.694	617.631	570.738	0.000	0.000	0.000	1075.732	666.700	32.132	1017.751	257.564	639.794	0.000	0.000	0.000	1003.481	453.425	510.849
6	0.01667	1079.742	414.046	916.324	1166.705	617.715	570.757	0.000	0.000	0.000	1075.607	666.752	32.195	1017.989	257.534	639.791	0.000	0.000	0.000	1003.523	453.436	510.919
7	0.02000	1079.749	413.976	916.314	1166.702	617.816	570.753	0.000	0.000	0.000	1075.429	666.714	32.198	1018.244	257.500	639.789	0.000	0.000	0.000	1003.613	453.444	510.901
8	0.02333	1079.335	414.089	915.938	1166.187	617.740	570.284	0.000	0.000	0.000	1074.420	665.167	30.738	1017.978	257.863	639.064	0.000	0.000	0.000	1002.764	453.856	510.576
9	0.02667	1079.452	414.248	915.987	1165.993	617.914	569.988	0.000	0.000	0.000	1074.497	665.478	31.095	1018.510	257.717	639.435	0.000	0.000	0.000	1002.675	454.010	510.333
10	0.03000	1079.448	414.206	915.954	1165.976	618.006	569.960	0.000	0.000	0.000	1074.339	665.454	31.100	1018.786	257.649	639.422	0.000	0.000	0.000	1002.724	454.024	510.363
