NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	8
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 12:29:55	609854.94019730
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	L_Hand	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	L_Hand X	L_Hand Y	L_Hand Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1043.744	405.687	916.318	1202.434	582.859	574.780	0.000	0.000	0.000	1089.267	656.886	40.826	1011.634	236.699	629.410	797.358	225.434	473.623	538.001	367.552	520.760	1022.924	438.312	504.615
2	0.00333	1043.708	405.577	916.321	1202.362	582.907	574.746	0.000	0.000	0.000	1088.985	656.933	40.812	1011.900	236.606	629.458	797.580	225.102	473.753	538.651	367.153	522.204	1022.963	438.252	504.757
3	0.00667	1043.662	405.460	916.296	1202.316	582.982	574.772	1223.588	629.947	266.874	1088.716	657.147	40.964	1012.240	236.436	629.641	797.835	224.755	473.914	539.137	366.786	523.391	1022.984	438.182	504.826
4	0.01000	1043.620	405.352	916.273	1202.259	583.034	574.724	1223.457	630.023	266.795	1088.485	657.151	40.905	1012.520	236.319	629.700	798.068	224.424	473.977	539.657	366.411	524.601	1023.013	438.123	504.872
5	0.01333	1043.584	405.259	916.276	1202.204	583.120	574.716	1223.236	630.090	266.746	1088.304	657.292	40.948	1012.971	236.132	629.901	798.322	223.959	474.051	540.163	366.006	525.780	1023.034	438.043	504.937
6	0.01667	1043.533	405.142	916.241	1202.142	583.179	574.705	1223.041	630.201	266.753	1088.069	657.269	40.868	1013.301	235.997	629.937	798.568	223.501	474.135	540.691	365.562	526.966	1023.043	437.977	505.002
7	0.02000	1043.486	405.048	916.221	1202.072	583.270	574.690	1222.833	630.286	266.691	1087.801	657.378	40.945	1013.424	235.893	629.661	798.857	223.079	474.182	541.248	365.156	528.255	1022.962	437.878	505.247
8	0.02333	1043.008	405.293	915.701	1201.570	583.401	574.257	1222.614	630.352	266.583	1086.601	656.212	40.035	1013.164	236.586	629.177	798.705	222.980	473.958	541.511	365.045	529.285	1022.212	438.002	504.616
9	0.02667	1042.938	405.211	915.665	1201.319	583.415	573.910	1222.383	630.407	266.451	1086.498	656.736	40.451	1013.458	236.476	629.167	798.996	222.442	473.969	542.297	364.623	530.736	1022.219	438.138	504.322
10	0.03000	1043.064	405.230	915.800	1201.220	583.499	573.853	1222.140	630.458	266.316	1086.247	656.631	40.188	1013.016	237.211	628.248	799.430	221.863	474.142	543.143	364.193	532.281	1022.320	438.070	504.436
11	0.03333	1043.175	404.814	916.076	1201.503	583.552	574.582	1221.885	630.514	266.200	1086.024	656.373	39.828	1014.186	236.026	629.291	799.981	220.981	474.729	543.888	363.619	534.045	1022.725	437.425	505.494
