NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	8
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 11:27:57	606136.76667714
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	L_Hand	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	L_Hand X	L_Hand Y	L_Hand Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1038.013	402.866	922.916	1162.487	584.905	572.151	1165.617	634.014	282.297	916.574	652.297	409.292	1003.133	220.762	621.195	786.592	221.620	443.742	549.526	358.731	513.004	985.693	431.274	508.975
2	0.00333	1037.978	402.859	922.919	1162.364	585.074	572.260	1165.439	634.319	282.611	916.417	652.235	409.385	1003.313	220.747	621.116	786.985	221.095	443.789	550.322	358.272	514.122	985.753	431.270	508.938
3	0.00667	1037.947	402.857	922.917	1162.205	585.233	572.357	1165.322	634.532	282.730	916.241	652.187	409.453	1003.533	220.488	621.035	787.250	220.782	443.547	551.254	357.741	515.676	985.741	431.294	508.970
4	0.01000	1037.923	402.871	922.935	1162.053	585.396	572.444	1165.169	634.738	282.906	916.035	652.137	409.517	1003.724	220.488	620.975	786.790	221.409	441.849	551.999	357.241	516.867	985.721	431.282	508.986
5	0.01333	1037.901	402.896	922.965	1161.904	585.561	572.547	1165.086	634.972	282.945	915.856	652.099	409.589	1003.893	220.459	620.914	787.089	220.915	441.681	552.759	356.676	518.088	985.707	431.282	508.993
6	0.01667	1037.859	402.898	922.948	1161.709	585.721	572.663	1164.870	635.206	283.172	915.685	652.057	409.622	1004.097	220.454	620.875	787.481	220.470	441.517	553.562	356.164	519.373	985.683	431.286	509.033
7	0.02000	1037.908	402.967	923.257	1161.824	585.566	572.802	1164.805	635.433	283.675	915.716	651.599	409.462	1003.873	220.541	620.790	787.578	220.206	441.220	554.240	355.693	520.593	985.335	431.688	509.193
8	0.02333	1037.557	402.917	922.843	1161.199	585.960	572.903	1164.611	635.814	283.524	915.296	652.046	410.042	1004.342	220.529	620.595	788.531	218.785	441.824	554.962	355.046	521.701	985.543	430.937	509.044
9	0.02667	1037.522	402.932	922.866	1160.985	586.147	573.010	1164.533	636.006	283.519	915.116	652.019	410.093	1004.566	220.493	620.495	788.923	218.252	441.622	555.924	354.448	523.025	985.527	430.895	509.049
10	0.03000	1037.485	402.961	922.887	1160.773	586.327	573.100	1164.462	636.149	283.495	914.909	651.957	410.143	1004.793	220.450	620.407	789.411	217.598	441.556	556.929	353.897	524.498	985.511	430.825	509.056
11	0.03333	1037.438	402.996	922.905	1160.546	586.507	573.226	1164.331	636.340	283.525	914.695	651.891	410.178	1005.107	220.439	620.357	789.826	217.072	441.344	558.039	353.213	525.952	985.491	430.781	509.085
12	0.03667	1037.384	403.016	922.907	1160.313	586.685	573.327	1164.109	636.596	283.614	914.485	651.852	410.250	1005.385	220.363	620.251	790.256	216.494	441.054	559.187	352.536	527.535	985.454	430.732	509.102
13	0.04000	1037.321	403.055	922.909	1160.081	586.903	573.416	1163.918	636.800	283.736	914.289	651.810	410.280	1005.661	220.261	620.202	790.605	215.914	440.674	560.369	351.832	529.134	985.430	430.662	509.109
14	0.04333	1037.260	403.071	922.907	1159.829	587.143	573.527	1163.746	636.982	283.861	914.065	651.756	410.355	1005.955	220.160	620.112	791.229	215.280	440.661	561.557	351.118	530.653	985.415	430.595	509.131
15	0.04667	1037.201	403.111	922.908	1159.561	587.345	573.680	1163.583	637.165	283.944	913.855	651.724	410.432	1006.273	220.040	620.044	791.619	214.724	440.324	562.945	350.622	532.313	985.403	430.529	509.138
16	0.05000	1037.142	403.152	922.909	1159.290	587.554	573.834	1163.473	637.365	284.006	913.632	651.674	410.499	1006.580	219.904	619.937	792.155	214.073	440.087	564.219	349.801	533.869	985.358	430.444	509.157
17	0.05333	1037.090	403.187	922.911	1159.048	587.770	573.990	1163.268	637.549	284.210	913.385	651.618	410.534	1006.950	219.769	619.890	792.687	213.490	439.848	565.599	348.948	535.556	985.323	430.382	509.195
18	0.05667	1037.010	403.229	922.897	1158.721	587.982	574.105	1163.007	637.737	284.474	913.130	651.551	410.586	1007.310	219.623	619.814	793.189	212.798	439.493	566.992	348.057	537.188	985.304	430.296	509.242
19	0.06000	1036.958	403.283	922.947	1158.420	588.185	574.221	1162.971	637.958	284.509	912.884	651.497	410.613	1007.659	219.491	619.754	793.768	212.210	439.212	568.464	347.176	538.867	985.273	430.206	509.288
20	0.06333	1036.875	403.325	922.933	1158.126	588.378	574.323	1162.714	638.421	284.943	912.628	651.459	410.654	1008.027	219.351	619.709	794.419	211.414	439.044	569.971	346.273	540.520	985.229	430.119	509.314
21	0.06667	1036.801	403.367	922.927	1157.842	588.585	574.446	1162.503	638.689	285.143	912.395	651.369	410.698	1008.396	219.196	619.632	794.961	210.802	438.522	571.415	345.400	542.115	985.197	430.029	509.352
22	0.07000	1036.718	403.408	922.914	1157.540	588.802	574.531	1162.208	639.321	285.637	912.132	651.288	410.727	1008.805	219.050	619.566	795.636	210.001	438.388	573.088	344.408	543.907	985.171	429.931	509.410
23	0.07333	1036.624	403.472	922.920	1157.217	589.006	574.646	1161.589	639.469	286.385	911.965	651.378	411.007	1009.292	218.924	619.650	796.240	209.281	437.934	574.735	343.376	545.569	985.098	429.795	509.525
24	0.07667	1036.495	403.499	922.882	1156.904	589.237	574.786	1161.818	639.829	285.696	911.658	651.248	411.004	1009.724	218.779	619.620	796.857	208.521	437.457	576.411	342.446	547.300	985.074	429.701	509.547
25	0.08000	1036.381	403.566	922.901	1156.575	589.424	574.900	1161.593	640.082	285.779	911.362	651.162	411.030	1010.140	218.608	619.565	797.675	207.642	437.260	578.112	341.301	548.959	985.054	429.589	509.571
26	0.08333	1036.250	403.619	922.871	1156.225	589.651	574.975	1161.436	640.362	285.731	911.079	651.059	411.058	1010.527	218.469	619.509	798.331	206.899	436.761	579.933	340.223	550.760	985.047	429.462	509.569
27	0.08667	1036.108	403.674	922.850	1155.875	589.885	575.118	1161.191	640.572	285.991	910.759	650.943	411.159	1010.973	218.331	619.481	799.037	205.951	436.384	581.714	339.077	552.414	985.018	429.340	509.606
28	0.09000	1035.967	403.705	922.797	1155.554	590.085	575.283	1160.804	640.826	286.337	910.460	650.848	411.280	1011.434	218.148	619.404	799.747	205.090	435.879	583.546	337.881	554.126	985.002	429.220	509.605
29	0.09333	1035.852	403.763	922.781	1155.213	590.300	575.436	1160.627	641.046	286.470	910.129	650.729	411.319	1011.881	217.963	619.328	800.541	204.217	435.467	585.429	336.701	555.881	984.969	429.104	509.623
