NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	7
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 12:49:05	611004.93585195
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1050.931	411.263	916.952	1166.041	608.547	561.453	0.000	0.000	0.000	1055.935	675.102	27.057	1029.353	243.593	625.151	807.570	233.710	468.406	1010.408	440.131	501.223
2	0.00333	1050.941	411.242	916.942	1166.068	608.570	561.498	0.000	0.000	0.000	1055.905	675.074	27.068	1029.507	243.589	625.181	807.563	233.594	468.353	1010.456	440.110	501.250
3	0.00667	1050.936	411.206	916.912	1166.093	608.588	561.555	0.000	0.000	0.000	1055.856	675.093	27.094	1029.622	243.530	625.187	807.742	233.434	468.066	1010.479	440.088	501.273
4	0.01000	1050.936	411.176	916.912	1166.124	608.616	561.603	0.000	0.000	0.000	1055.845	675.056	27.113	1029.728	243.464	625.209	807.832	233.294	468.109	1010.514	440.087	501.332
5	0.01333	1050.947	411.143	916.894	1166.150	608.635	561.633	0.000	0.000	0.000	1055.819	675.106	27.216	1029.845	243.392	625.191	808.030	233.099	468.167	1010.561	440.044	501.420
6	0.01667	1050.942	411.106	916.884	1166.162	608.652	561.645	0.000	0.000	0.000	1055.777	675.037	27.189	1029.930	243.322	625.203	808.181	232.899	468.052	1010.323	440.333	501.716
7	0.02000	1050.952	411.069	916.861	1166.164	608.664	561.674	0.000	0.000	0.000	1055.741	674.967	27.114	1030.081	243.282	625.246	808.404	232.641	467.970	1010.436	440.381	501.641
8	0.02333	1050.439	411.213	916.433	1165.626	608.543	561.212	0.000	0.000	0.000	1054.837	673.509	25.906	1029.896	243.017	624.717	808.108	232.714	467.368	1009.392	440.875	501.385
9	0.02667	1050.895	411.136	916.721	1165.646	608.245	560.793	0.000	0.000	0.000	1054.936	673.891	26.224	1030.204	242.909	625.256	808.260	232.400	467.068	1008.940	441.011	501.185
10	0.03000	1050.903	411.109	916.703	1165.635	608.273	560.804	0.000	0.000	0.000	1054.899	673.933	26.266	1030.365	242.888	625.248	808.438	232.069	466.780	1008.964	441.001	501.228
11	0.03333	1050.811	411.020	916.685	1166.000	608.775	561.869	0.000	0.000	0.000	1054.858	673.952	26.304	1030.576	242.910	625.225	808.811	231.326	467.573	1009.650	441.172	502.705
12	0.03667	1050.826	410.986	916.670	1166.014	608.833	561.916	0.000	0.000	0.000	1054.787	673.971	26.308	1030.607	242.886	624.787	809.467	230.690	467.282	1010.151	440.401	502.222
13	0.04000	1050.851	410.965	916.671	1166.001	608.880	561.927	0.000	0.000	0.000	1054.704	674.004	26.357	1030.789	242.705	624.521	809.739	230.259	467.194	1010.185	440.335	502.333
14	0.04333	1050.869	410.940	916.638	1165.983	608.931	561.963	0.000	0.000	0.000	1054.605	674.200	26.563	1030.984	242.659	624.516	810.040	229.796	467.053	1010.224	440.283	502.382
15	0.04667	1050.884	410.897	916.595	1165.976	608.987	561.982	0.000	0.000	0.000	1054.508	674.193	26.634	1031.179	242.478	624.710	810.256	229.405	466.807	1010.269	440.272	502.404
16	0.05000	1050.912	410.871	916.578	1165.958	609.036	562.015	0.000	0.000	0.000	1054.412	674.235	26.677	1031.311	242.568	624.470	810.489	228.862	466.568	1010.333	440.230	502.429
17	0.05333	1050.941	410.841	916.561	1165.925	609.101	562.044	0.000	0.000	0.000	1054.328	674.271	26.725	1031.542	242.418	624.675	810.904	228.347	466.617	1010.370	440.176	502.452
18	0.05667	1050.979	410.817	916.535	1165.886	609.140	562.045	0.000	0.000	0.000	1054.189	674.271	26.771	1032.033	242.757	624.638	811.178	227.801	466.407	1010.410	440.131	502.452
19	0.06000	1051.012	410.796	916.519	1165.856	609.215	562.074	0.000	0.000	0.000	1054.104	674.257	26.782	1031.935	242.353	624.563	811.509	227.220	466.159	1010.455	440.083	502.474
20	0.06333	1051.054	410.769	916.492	1165.798	609.279	562.095	0.000	0.000	0.000	1054.013	674.288	26.803	1032.121	242.312	624.553	811.826	226.609	465.927	1010.486	440.033	502.496
21	0.06667	1051.098	410.745	916.461	1165.756	609.339	562.101	0.000	0.000	0.000	1053.885	674.157	26.759	1032.369	242.302	624.533	812.208	225.965	465.790	1010.524	439.989	502.508
22	0.07000	1051.141	410.730	916.439	1165.710	609.414	562.137	0.000	0.000	0.000	1053.772	674.137	26.762	1032.527	242.201	624.509	812.585	225.308	465.645	1010.546	439.910	502.501
23	0.07333	1051.181	410.711	916.396	1165.651	609.483	562.148	0.000	0.000	0.000	1053.634	674.142	26.770	1032.801	242.204	624.530	812.994	224.609	465.417	1010.587	439.837	502.527
24	0.07667	1051.225	410.689	916.368	1165.587	609.561	562.180	0.000	0.000	0.000	1053.535	674.135	26.720	1033.042	242.138	624.551	813.320	223.889	465.092	1010.620	439.761	502.572
25	0.08000	1051.279	410.672	916.358	1165.511	609.635	562.186	0.000	0.000	0.000	1053.437	674.039	26.631	1033.267	242.030	624.533	813.782	223.144	464.871	1010.611	439.645	502.717
26	0.08333	1051.322	410.656	916.332	1165.440	609.719	562.199	0.000	0.000	0.000	1053.316	673.966	26.547	1033.531	241.970	624.584	814.161	222.317	464.556	1010.668	439.603	502.714
27	0.08667	1051.365	410.646	916.301	1165.353	609.803	562.224	0.000	0.000	0.000	1053.231	673.950	26.526	1033.798	241.899	624.620	814.633	221.559	464.286	1010.702	439.491	502.740
28	0.09000	1051.394	410.624	916.258	1165.255	609.898	562.238	0.000	0.000	0.000	1053.115	673.828	26.473	1034.103	241.847	624.659	815.127	220.731	464.043	1010.743	439.413	502.804
29	0.09333	1051.448	410.608	916.239	1165.156	609.986	562.245	0.000	0.000	0.000	1053.020	673.908	26.505	1034.559	242.074	624.784	815.611	219.807	463.679	1010.784	439.355	502.813
30	0.09667	1051.495	410.607	916.214	1165.052	610.070	562.247	0.000	0.000	0.000	1052.912	673.929	26.447	1034.849	241.975	624.794	816.093	218.923	463.236	1010.808	439.271	502.882
31	0.10000	1051.548	410.609	916.194	1164.945	610.180	562.260	0.000	0.000	0.000	1052.827	673.917	26.435	1035.096	241.882	624.777	816.679	218.040	462.888	1010.855	439.158	502.917
32	0.10333	1051.599	410.593	916.170	1164.818	610.299	562.243	0.000	0.000	0.000	1052.713	673.952	26.424	1035.356	241.654	624.762	817.260	217.087	462.636	1010.915	439.071	502.965
33	0.10667	1051.663	410.596	916.173	1164.688	610.406	562.254	0.000	0.000	0.000	1052.606	673.934	26.400	1035.626	241.537	624.764	817.776	216.116	462.119	1010.954	438.980	502.958
34	0.11000	1051.703	410.594	916.140	1164.530	610.518	562.262	0.000	0.000	0.000	1052.465	673.932	26.405	1035.928	241.432	624.781	819.293	216.007	463.425	1011.021	438.912	502.993
35	0.11333	1051.760	410.605	916.129	1164.405	610.628	562.251	0.000	0.000	0.000	1052.351	673.931	26.413	1036.608	241.845	625.130	819.755	215.034	462.831	1011.055	438.814	503.022
36	0.11667	1051.805	410.609	916.101	1164.280	610.744	562.249	0.000	0.000	0.000	1052.181	674.087	26.712	1036.897	241.667	625.060	820.285	213.976	462.195	1011.090	438.714	503.029
37	0.12000	1051.853	410.615	916.090	1164.152	610.864	562.222	0.000	0.000	0.000	1052.032	674.033	26.657	1037.245	241.608	625.101	820.817	212.907	461.570	1011.133	438.619	503.129
38	0.12333	1051.921	410.629	916.069	1164.002	610.953	562.224	0.000	0.000	0.000	1051.871	674.027	26.649	1037.604	241.478	625.097	821.376	211.836	460.984	1011.163	438.487	503.149
39	0.12667	1051.979	410.639	916.057	1163.868	611.070	562.213	0.000	0.000	0.000	1051.714	674.131	26.787	1037.940	241.311	625.086	821.985	210.737	460.376	1011.218	438.395	503.129
40	0.13000	1052.032	410.650	916.037	1163.710	611.203	562.204	0.000	0.000	0.000	1051.583	674.084	26.748	1038.279	241.087	624.978	822.537	209.669	459.693	1011.276	438.271	503.130
41	0.13333	1052.096	410.675	916.021	1163.534	611.348	562.175	0.000	0.000	0.000	1051.439	673.956	26.645	1038.615	240.890	624.930	823.175	208.511	459.090	1011.289	438.233	503.157
42	0.13667	1052.158	410.704	916.016	1163.369	611.471	562.168	0.000	0.000	0.000	1051.351	673.842	26.529	1038.952	240.697	624.901	823.851	207.321	458.445	1011.361	438.099	503.128
43	0.14000	1052.216	410.715	915.994	1163.203	611.589	562.140	0.000	0.000	0.000	1051.239	673.824	26.539	1039.326	240.545	624.882	824.530	206.141	457.946	1011.408	438.000	503.152
44	0.14333	1052.303	410.748	915.985	1163.028	611.705	562.111	0.000	0.000	0.000	1051.141	673.789	26.481	1039.380	239.880	624.511	825.197	204.924	457.185	1011.420	437.933	503.154
45	0.14667	1052.369	410.770	915.956	1162.838	611.843	562.090	0.000	0.000	0.000	1051.009	673.772	26.488	1039.714	239.699	624.496	825.924	203.668	456.567	1011.805	437.507	502.712
46	0.15000	1052.443	410.796	915.943	1162.657	611.967	562.053	0.000	0.000	0.000	1050.875	673.786	26.476	1040.078	239.478	624.429	826.642	202.438	455.930	1011.820	437.377	502.773
47	0.15333	1052.526	410.830	915.926	1162.450	612.094	562.015	0.000	0.000	0.000	1050.702	673.851	26.581	1040.474	239.372	624.499	827.403	201.148	455.279	1011.799	437.213	502.906
48	0.15667	1052.604	410.861	915.912	1162.260	612.238	561.993	0.000	0.000	0.000	1050.549	673.792	26.553	1040.835	239.173	624.439	828.232	199.802	454.648	1011.816	437.114	502.937
49	0.16000	1052.699	410.888	915.918	1162.080	612.386	561.976	0.000	0.000	0.000	1050.394	673.898	26.658	1041.630	239.485	624.839	829.007	198.472	453.822	1011.823	437.015	502.986
50	0.16333	1052.781	410.916	915.901	1161.878	612.502	561.931	0.000	0.000	0.000	1050.212	673.727	26.514	1041.988	239.267	624.780	829.877	197.096	453.175	1011.863	436.897	502.998
51	0.16667	1052.864	410.939	915.889	1161.682	612.627	561.910	0.000	0.000	0.000	1050.034	673.666	26.480	1042.419	239.076	624.832	830.766	195.711	452.497	1011.898	436.791	503.043
52	0.17000	1052.963	410.990	915.878	1161.463	612.781	561.892	0.000	0.000	0.000	1049.854	673.738	26.567	1042.785	238.890	624.828	831.638	194.311	451.648	1011.912	436.673	503.067
53	0.17333	1053.055	411.012	915.879	1161.201	612.908	561.830	0.000	0.000	0.000	1049.754	673.389	26.232	1043.247	238.725	624.806	832.539	192.938	450.864	1011.933	436.559	503.090
54	0.17667	1053.145	411.053	915.867	1161.000	613.036	561.817	0.000	0.000	0.000	1049.598	673.327	26.165	1043.691	238.551	624.797	833.507	191.510	450.068	1011.923	436.453	503.108
55	0.18000	1053.242	411.081	915.860	1160.782	613.144	561.764	0.000	0.000	0.000	1049.479	673.356	26.151	1044.167	238.462	624.899	834.602	190.007	449.351	1011.916	436.319	503.155
56	0.18333	1053.361	411.112	915.876	1160.561	613.297	561.743	0.000	0.000	0.000	1049.327	673.317	26.087	1044.576	238.284	624.903	835.599	188.604	448.405	1011.927	436.224	503.198
57	0.18667	1053.468	411.150	915.875	1160.324	613.440	561.733	0.000	0.000	0.000	1049.169	673.459	26.249	1044.999	238.080	624.881	836.678	187.144	447.516	1011.944	436.082	503.208
58	0.19000	1053.571	411.186	915.864	1160.069	613.578	561.694	0.000	0.000	0.000	1048.993	673.388	26.200	1045.433	237.856	624.875	837.799	185.708	446.596	1011.931	435.984	503.257
59	0.19333	1053.687	411.225	915.884	1159.808	613.722	561.664	0.000	0.000	0.000	1048.820	673.303	26.101	1045.831	237.630	624.823	839.043	184.231	445.694	1011.946	435.859	503.243
60	0.19667	1053.814	411.272	915.886	1159.570	613.856	561.642	0.000	0.000	0.000	1048.651	673.241	26.059	1046.271	237.399	624.811	840.238	182.820	444.697	1011.933	435.737	503.288
61	0.20000	1053.934	411.303	915.880	1159.319	613.972	561.593	0.000	0.000	0.000	1048.488	673.129	25.972	1046.723	237.184	624.811	841.525	181.379	443.805	1011.919	435.630	503.307
62	0.20333	1054.059	411.335	915.875	1159.061	614.136	561.569	0.000	0.000	0.000	1048.297	673.002	25.867	1047.127	236.898	624.759	842.836	179.926	442.901	1011.909	435.483	503.433
63	0.20667	1054.191	411.384	915.888	1158.806	614.298	561.537	0.000	0.000	0.000	1048.140	672.934	25.828	1047.569	236.636	624.684	844.145	178.523	441.909	1011.902	435.324	503.530
64	0.21000	1054.309	411.404	915.897	1158.558	614.443	561.516	0.000	0.000	0.000	1047.929	673.140	26.172	1048.011	236.450	624.709	845.466	177.125	440.846	1011.863	435.171	503.628
65	0.21333	1054.436	411.451	915.916	1158.290	614.580	561.491	0.000	0.000	0.000	1047.789	673.161	26.240	1048.594	236.280	624.731	846.898	175.720	439.921	1011.850	435.072	503.689
66	0.21667	1054.552	411.481	915.910	1157.978	614.716	561.423	0.000	0.000	0.000	1047.621	673.184	26.245	1049.076	236.033	624.688	848.338	174.318	438.943	1011.855	434.925	503.741
67	0.22000	1054.673	411.541	915.905	1157.677	614.880	561.388	0.000	0.000	0.000	1047.464	672.969	26.100	1049.700	235.896	624.830	849.762	172.965	437.783	1011.851	434.780	503.779
68	0.22333	1054.807	411.588	915.911	1157.394	615.019	561.334	0.000	0.000	0.000	1047.282	672.890	26.042	1050.215	235.670	624.799	851.333	171.572	436.810	1011.855	434.641	503.807
69	0.22667	1054.913	411.631	915.931	1157.134	615.189	561.347	0.000	0.000	0.000	1047.113	672.777	25.963	1050.691	235.441	624.729	852.896	170.250	435.721	1011.852	434.492	503.843
70	0.23000	1055.026	411.688	915.918	1156.838	615.365	561.329	0.000	0.000	0.000	1046.905	672.608	25.785	1051.089	235.114	624.590	854.484	168.920	434.624	1011.841	434.376	503.909
71	0.23333	1055.142	411.723	915.917	1156.518	615.523	561.311	0.000	0.000	0.000	1046.733	672.522	25.717	1051.595	234.922	624.547	856.061	167.645	433.473	1012.345	433.637	503.589
72	0.23667	1055.245	411.763	915.903	1156.206	615.706	561.331	0.000	0.000	0.000	1046.557	672.467	25.661	1052.098	234.641	624.452	857.713	166.363	432.304	1012.328	433.502	503.630
73	0.24000	1055.353	411.817	915.896	1155.923	615.848	561.307	0.000	0.000	0.000	1046.406	672.430	25.663	1052.639	234.465	624.449	859.405	165.093	431.190	1012.299	433.401	503.699
74	0.24333	1055.475	411.859	915.902	1155.633	616.001	561.279	0.000	0.000	0.000	1046.250	672.570	25.822	1053.155	234.221	624.375	861.121	163.792	430.027	1012.290	433.277	503.729
75	0.24667	1055.594	411.901	915.892	1155.321	616.214	561.284	0.000	0.000	0.000	1046.100	672.504	25.814	1053.683	233.968	624.309	862.908	162.519	428.842	1012.265	433.267	503.614
76	0.25000	1055.703	411.927	915.880	1154.986	616.351	561.257	0.000	0.000	0.000	1045.963	672.373	25.702	1054.194	233.710	624.172	864.733	161.247	427.634	1012.263	433.162	503.654
77	0.25333	1055.831	411.973	915.873	1154.639	616.508	561.226	0.000	0.000	0.000	1045.833	672.313	25.674	1054.733	233.411	624.012	866.667	159.943	426.462	1012.228	432.957	503.656
78	0.25667	1055.960	412.024	915.863	1154.337	616.683	561.192	0.000	0.000	0.000	1045.660	672.234	25.608	1055.293	233.111	623.843	868.535	158.710	425.203	1012.226	432.808	503.708
79	0.26000	1056.085	412.082	915.852	1153.999	616.885	561.143	0.000	0.000	0.000	1045.480	672.180	25.552	1055.811	232.835	623.715	870.441	157.442	423.975	1012.222	432.640	503.743
80	0.26333	1056.217	412.132	915.867	1153.642	617.050	561.130	0.000	0.000	0.000	1045.312	672.057	25.452	1056.375	232.628	623.590	872.374	156.157	422.781	1012.198	432.501	503.779
81	0.26667	1056.326	412.179	915.851	1153.297	617.152	561.081	0.000	0.000	0.000	1045.125	671.876	25.265	1056.907	232.371	623.421	874.281	154.907	421.499	1012.189	432.317	503.857
82	0.27000	1056.451	412.237	915.876	1152.933	617.280	561.053	0.000	0.000	0.000	1045.000	671.803	25.216	1057.469	232.155	623.305	876.251	153.635	420.261	1012.178	432.210	503.963
83	0.27333	1056.550	412.283	915.869	1152.592	617.464	561.026	0.000	0.000	0.000	1044.858	671.719	25.143	1058.010	231.846	623.066	878.217	152.508	419.035	1012.126	432.021	503.996
84	0.27667	1056.657	412.329	915.863	1152.262	617.604	560.995	0.000	0.000	0.000	1044.718	671.785	25.216	1058.531	231.626	622.965	880.297	151.198	417.909	1012.112	431.845	504.057
85	0.28000	1056.751	412.357	915.852	1151.888	617.754	561.009	0.000	0.000	0.000	1044.570	671.704	25.186	1059.086	231.311	622.732	882.366	149.920	416.768	1012.108	431.755	504.121
86	0.28333	1056.852	412.401	915.845	1151.509	617.900	560.995	0.000	0.000	0.000	1044.455	671.600	25.089	1059.626	231.050	622.581	884.460	148.708	415.555	1012.103	431.593	504.164
87	0.28667	1056.948	412.427	915.837	1151.135	618.071	560.989	0.000	0.000	0.000	1044.337	671.516	25.049	1060.151	230.808	622.402	886.601	147.474	414.356	1012.094	431.482	504.196
88	0.29000	1057.046	412.466	915.841	1150.809	618.238	560.996	0.000	0.000	0.000	1044.194	671.446	25.028	1060.762	230.582	622.235	888.750	146.294	413.126	1012.085	431.332	504.191
89	0.29333	1057.129	412.497	915.824	1150.438	618.330	560.954	0.000	0.000	0.000	1044.014	671.398	25.017	1061.354	230.286	622.000	890.980	145.055	412.004	1012.053	431.177	504.222
90	0.29667	1057.222	412.539	915.826	1150.018	618.500	560.924	0.000	0.000	0.000	1043.801	671.515	25.304	1061.915	230.129	621.892	893.181	143.904	410.729	1012.035	431.078	504.285
91	0.30000	1057.322	412.572	915.819	1149.649	618.663	560.869	0.000	0.000	0.000	1043.642	671.327	25.201	1062.537	229.887	621.752	895.446	142.704	409.472	1012.024	430.940	504.299
92	0.30333	1057.417	412.602	915.824	1149.327	618.829	560.874	0.000	0.000	0.000	1043.493	671.245	25.168	1063.090	229.620	621.607	897.745	141.506	408.191	1012.028	430.796	504.346
93	0.30667	1057.526	412.639	915.821	1148.976	619.003	560.883	0.000	0.000	0.000	1043.366	671.145	25.113	1063.669	229.367	621.390	900.094	140.266	407.010	1012.015	430.627	504.401
