NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	8
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 12:30:43	609903.11375043
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	L_Hand	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	L_Hand X	L_Hand Y	L_Hand Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1048.534	356.372	912.265	1200.094	572.125	585.882	0.000	0.000	0.000	1125.329	660.335	56.285	1010.407	223.845	618.873	0.000	0.000	0.000	541.895	380.685	512.085	1020.744	430.251	508.463
2	0.00333	1048.365	356.354	912.227	1200.151	572.155	585.857	0.000	0.000	0.000	1125.122	660.298	56.224	1010.791	223.793	619.006	0.000	0.000	0.000	542.182	380.398	512.816	1020.823	430.207	508.477
3	0.00667	1048.233	356.358	912.217	1200.193	572.140	585.776	0.000	0.000	0.000	1124.961	660.370	56.290	1010.991	223.786	619.003	0.000	0.000	0.000	542.516	380.142	513.527	1020.902	430.150	508.509
4	0.01000	1048.076	356.349	912.206	1200.248	572.165	585.698	0.000	0.000	0.000	1122.278	654.384	52.104	1011.159	223.689	618.917	0.000	0.000	0.000	542.930	379.869	514.385	1020.957	430.092	508.523
5	0.01333	1047.908	356.345	912.196	1200.317	572.213	585.666	0.000	0.000	0.000	1122.075	654.455	52.136	1011.403	223.609	618.985	0.000	0.000	0.000	543.401	379.518	515.191	1021.048	430.035	508.571
6	0.01667	1047.764	356.347	912.206	1200.365	572.244	585.615	0.000	0.000	0.000	1121.844	654.457	52.102	1012.066	223.017	619.670	0.000	0.000	0.000	543.954	379.218	516.114	1021.132	429.981	508.640
7	0.02000	1047.610	356.341	912.207	1200.411	572.269	585.510	0.000	0.000	0.000	1121.573	654.518	52.142	1012.377	222.902	619.744	0.000	0.000	0.000	544.521	378.953	517.025	1021.215	429.923	508.659
8	0.02333	1046.947	356.465	911.798	1199.918	572.119	584.947	0.000	0.000	0.000	1120.448	653.047	50.799	1011.837	224.001	619.060	0.000	0.000	0.000	544.996	378.772	518.130	1020.862	429.835	507.977
9	0.02667	1047.133	356.372	912.033	1199.970	571.842	584.430	0.000	0.000	0.000	1120.402	653.633	51.246	1012.490	223.489	619.650	0.000	0.000	0.000	545.916	378.210	519.442	1020.482	430.129	508.071
10	0.03000	1046.936	356.355	912.005	1200.388	572.205	585.349	0.000	0.000	0.000	1120.105	653.632	51.252	1012.574	223.693	619.412	0.000	0.000	0.000	546.617	377.873	520.472	1020.980	429.606	509.033
11	0.03333	1046.642	356.261	911.980	1200.436	572.255	585.309	0.000	0.000	0.000	1119.847	653.635	51.239	1012.913	223.421	619.257	0.000	0.000	0.000	547.368	377.643	521.836	1021.031	429.516	509.067
12	0.03667	1046.388	356.229	911.955	1200.467	572.286	585.238	0.000	0.000	0.000	1119.564	653.749	51.331	1013.476	223.057	619.533	0.000	0.000	0.000	548.140	377.228	522.914	1020.768	430.467	509.887
13	0.04000	1046.133	356.196	911.927	1200.502	572.329	585.142	0.000	0.000	0.000	1119.227	653.881	51.381	1013.779	222.961	619.536	0.000	0.000	0.000	549.069	376.852	524.093	1020.773	430.403	509.935
14	0.04333	1045.916	356.182	911.919	1200.533	572.398	585.078	0.000	0.000	0.000	1118.836	654.061	51.526	1013.926	223.025	619.308	0.000	0.000	0.000	550.031	376.305	525.030	1021.078	429.633	509.435
15	0.04667	1045.692	356.165	911.895	1200.555	572.460	584.998	0.000	0.000	0.000	1118.464	653.847	51.374	1014.257	222.955	619.326	0.000	0.000	0.000	551.060	375.884	526.240	1021.129	429.542	509.451
16	0.05000	1045.458	356.146	911.858	1200.564	572.468	584.873	0.000	0.000	0.000	1118.129	653.809	51.339	1014.798	222.657	619.588	0.000	0.000	0.000	552.192	375.577	527.611	1021.190	429.462	509.479
17	0.05333	1045.222	356.140	911.793	1200.579	572.531	584.749	0.000	0.000	0.000	1117.830	653.988	51.338	1015.205	222.446	619.608	0.000	0.000	0.000	553.417	375.155	529.044	1021.259	429.375	509.505
18	0.05667	1044.951	356.154	911.758	1200.589	572.594	584.621	0.000	0.000	0.000	1117.495	654.063	51.322	1015.519	222.380	619.575	0.000	0.000	0.000	554.671	374.758	530.507	1021.290	429.294	509.535
19	0.06000	1044.665	356.177	911.715	1200.582	572.684	584.506	0.000	0.000	0.000	1117.091	654.073	51.359	1015.930	222.218	619.560	0.000	0.000	0.000	555.973	374.341	531.914	1021.344	429.217	509.586
20	0.06333	1044.387	356.198	911.676	1200.594	572.775	584.378	0.000	0.000	0.000	1116.708	653.954	51.206	1016.312	222.065	619.546	0.000	0.000	0.000	557.335	373.948	533.427	1021.409	429.143	509.604
21	0.06667	1044.129	356.217	911.644	1200.568	572.852	584.271	0.000	0.000	0.000	1116.382	653.964	51.121	1016.739	221.912	619.500	0.000	0.000	0.000	558.763	373.555	534.995	1021.460	429.068	509.627
22	0.07000	1043.870	356.259	911.584	1200.564	572.979	584.162	0.000	0.000	0.000	1116.049	654.145	51.161	1017.199	221.676	619.571	0.000	0.000	0.000	560.215	373.138	536.490	1021.534	428.995	509.661
23	0.07333	1043.566	356.293	911.516	1200.530	573.067	584.089	0.000	0.000	0.000	1115.668	654.250	51.173	1017.650	221.479	619.560	0.000	0.000	0.000	561.734	372.713	538.099	1021.575	428.902	509.689
24	0.07667	1043.206	356.348	911.428	1200.497	573.191	584.022	0.000	0.000	0.000	1115.287	654.269	51.159	1018.110	221.244	619.544	0.000	0.000	0.000	563.348	372.256	539.688	1021.620	428.815	509.714
25	0.08000	1042.861	356.407	911.351	1200.451	573.300	583.939	0.000	0.000	0.000	1114.893	654.113	50.959	1018.574	221.044	619.499	0.000	0.000	0.000	565.046	371.768	541.334	1021.684	428.682	509.743
26	0.08333	1042.571	356.474	911.300	1200.436	573.425	583.795	0.000	0.000	0.000	1114.571	654.144	50.911	1019.109	220.901	619.515	0.000	0.000	0.000	566.818	371.301	543.101	1021.749	428.585	509.750
27	0.08667	1042.247	356.535	911.212	1200.378	573.548	583.704	0.000	0.000	0.000	1114.212	654.341	50.924	1019.636	220.685	619.515	0.000	0.000	0.000	568.643	370.761	544.853	1021.809	428.471	509.758
28	0.09000	1041.857	356.610	911.123	1200.326	573.674	583.577	0.000	0.000	0.000	1113.808	654.596	51.166	1020.110	220.510	619.485	0.000	0.000	0.000	570.542	370.218	546.590	1021.891	428.362	509.761
29	0.09333	1041.473	356.700	911.026	1200.253	573.819	583.480	0.000	0.000	0.000	1113.402	654.469	51.107	1020.625	220.243	619.415	0.000	0.000	0.000	572.491	369.725	548.374	1021.994	428.234	509.746
30	0.09667	1041.144	356.786	910.965	1200.189	573.959	583.335	0.000	0.000	0.000	1113.000	654.465	51.076	1021.139	220.038	619.393	0.000	0.000	0.000	574.505	369.161	550.138	1022.092	428.121	509.745
31	0.10000	1040.826	356.872	910.888	1200.116	574.109	583.231	0.000	0.000	0.000	1112.664	654.562	51.016	1021.635	219.808	619.377	0.000	0.000	0.000	576.545	368.630	551.926	1022.195	428.007	509.707
32	0.10333	1040.410	356.995	910.795	1200.047	574.238	583.125	0.000	0.000	0.000	1112.323	654.820	51.048	1022.155	219.621	619.177	0.000	0.000	0.000	578.716	368.033	553.777	1022.274	427.872	509.700
33	0.10667	1039.995	357.120	910.693	1199.954	574.391	583.050	0.000	0.000	0.000	1111.934	654.821	51.138	1022.717	219.340	619.125	0.000	0.000	0.000	580.944	367.448	555.561	1022.367	427.750	509.679
34	0.11000	1039.652	357.223	910.611	1199.857	574.549	582.957	0.000	0.000	0.000	1111.496	654.564	50.915	1023.228	219.150	619.132	0.000	0.000	0.000	583.193	366.834	557.438	1022.454	427.602	509.646
35	0.11333	1039.259	357.346	910.516	1199.730	574.689	582.912	0.000	0.000	0.000	1111.135	654.610	50.844	1023.800	218.892	619.080	0.000	0.000	0.000	585.540	366.135	559.344	1022.572	427.462	509.614
