NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	8
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 12:01:37	608157.06447398
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	L_Hand	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	L_Hand X	L_Hand Y	L_Hand Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1007.138	443.624	912.535	1168.196	599.609	553.684	0.000	0.000	0.000	1042.184	672.363	28.101	1007.078	243.675	630.388	790.928	219.898	461.641	534.127	363.125	509.908	998.528	441.091	502.292
2	0.00333	1007.040	443.588	912.499	1168.150	599.677	553.735	0.000	0.000	0.000	1042.146	672.550	28.220	1007.052	243.644	630.255	790.982	219.868	461.694	534.355	362.976	510.643	998.114	440.996	501.556
3	0.00667	1006.971	443.586	912.481	1168.095	599.711	553.744	0.000	0.000	0.000	1042.046	672.657	28.295	1007.096	243.645	630.233	791.058	219.824	461.742	534.482	362.895	511.389	998.108	441.012	501.563
4	0.01000	1006.910	443.583	912.469	1168.260	600.629	554.570	0.000	0.000	0.000	1041.918	672.786	28.348	1007.165	243.647	630.237	791.140	219.764	461.787	534.595	362.721	512.136	998.596	441.131	502.240
5	0.01333	1006.822	443.576	912.450	1168.189	600.676	554.574	0.000	0.000	0.000	1041.810	672.814	28.378	1007.328	243.688	630.360	791.213	219.713	461.807	534.764	362.587	512.807	998.591	441.125	502.234
6	0.01667	1006.758	443.552	912.447	1168.147	600.739	554.599	0.000	0.000	0.000	1041.695	672.868	28.358	1007.398	243.648	630.338	791.298	219.637	461.831	534.975	362.386	513.609	998.587	441.135	502.253
7	0.02000	1006.684	443.543	912.437	1168.084	600.805	554.617	0.000	0.000	0.000	1041.561	672.944	28.380	1007.400	243.619	630.231	791.420	219.534	461.861	535.214	362.171	514.424	998.566	441.145	502.267
8	0.02333	1006.144	443.681	912.020	1167.491	600.694	554.137	0.000	0.000	0.000	1040.653	671.988	27.456	1007.207	243.798	629.888	791.007	219.929	461.467	535.017	362.162	514.856	997.666	441.554	502.070
9	0.02667	1006.145	443.306	912.278	1167.408	600.451	553.951	0.000	0.000	0.000	1040.676	672.395	27.683	1007.332	243.667	630.052	791.027	219.977	461.413	535.411	361.874	516.002	997.640	441.670	501.959
10	0.03000	1006.243	443.321	912.407	1167.383	600.583	554.013	0.000	0.000	0.000	1040.495	672.471	27.690	1007.492	243.619	630.203	791.254	219.865	461.536	535.841	361.677	516.891	997.603	441.669	501.987
