NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	8
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 13:00:20	611679.73935666
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	L_Hand	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	L_Hand X	L_Hand Y	L_Hand Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1021.687	435.261	914.657	1187.073	595.727	557.238	0.000	0.000	0.000	1093.694	659.190	22.039	1007.356	245.816	628.061	0.000	0.000	0.000	542.790	367.707	512.128	1011.716	442.532	497.278
2	0.00333	1021.705	435.384	914.672	1187.105	595.888	557.253	0.000	0.000	0.000	1093.769	659.308	21.974	1007.531	245.887	628.070	0.000	0.000	0.000	543.220	367.368	512.757	1011.754	442.627	497.377
3	0.00667	1021.725	435.488	914.682	1187.122	596.033	557.281	0.000	0.000	0.000	1093.833	659.371	21.954	1007.901	246.003	628.305	0.000	0.000	0.000	543.702	366.999	513.470	1011.825	442.678	497.384
4	0.01000	1021.734	435.602	914.671	1187.125	596.156	557.250	0.000	0.000	0.000	1093.886	659.445	21.962	1008.071	246.065	628.263	0.000	0.000	0.000	544.249	366.631	514.264	1011.878	442.731	497.376
5	0.01333	1021.745	435.703	914.669	1187.120	596.324	557.258	0.000	0.000	0.000	1093.931	659.554	21.981	1008.068	246.057	627.979	0.000	0.000	0.000	544.821	366.282	514.990	1011.946	442.852	497.372
6	0.01667	1021.740	435.802	914.667	1187.131	596.487	557.264	0.000	0.000	0.000	1094.001	659.642	21.989	1008.259	246.091	627.946	0.000	0.000	0.000	545.478	365.874	515.889	1012.017	442.870	497.330
7	0.02000	1021.729	435.903	914.646	1187.123	596.634	557.223	0.000	0.000	0.000	1094.021	659.780	22.033	1008.457	246.120	627.927	0.000	0.000	0.000	546.138	365.475	516.690	1012.071	442.956	497.372
8	0.02333	1021.310	436.181	914.270	1186.576	596.645	556.809	0.000	0.000	0.000	1093.205	658.541	20.780	1008.460	246.294	627.633	0.000	0.000	0.000	546.719	365.113	517.824	1011.312	443.282	496.963
9	0.02667	1021.314	435.869	914.510	1186.538	596.482	556.566	0.000	0.000	0.000	1093.420	659.105	21.148	1008.379	246.317	627.442	0.000	0.000	0.000	547.669	364.345	519.254	1011.575	443.416	496.743
10	0.03000	1021.590	436.298	914.561	1186.505	596.819	556.408	0.000	0.000	0.000	1093.488	658.898	20.681	1008.739	246.290	627.635	0.000	0.000	0.000	548.347	364.202	519.884	1011.531	443.422	496.501
11	0.03333	1021.586	436.415	914.539	1186.786	597.335	557.168	0.000	0.000	0.000	1093.472	658.978	20.679	1009.380	246.410	627.865	0.000	0.000	0.000	549.216	363.781	520.986	1012.004	442.975	497.497
12	0.03667	1021.598	436.519	914.524	1186.758	597.524	557.185	0.000	0.000	0.000	1093.441	659.060	20.671	1009.612	246.418	627.799	0.000	0.000	0.000	550.109	363.315	521.999	1012.049	442.996	497.531
13	0.04000	1021.605	436.646	914.522	1186.721	597.714	557.180	0.000	0.000	0.000	1093.373	659.235	20.705	1010.310	246.668	628.019	0.000	0.000	0.000	551.052	362.807	522.988	1012.101	443.011	497.537
14	0.04333	1021.611	436.752	914.511	1186.656	597.902	557.193	0.000	0.000	0.000	1093.243	659.804	21.044	1010.553	246.658	627.979	0.000	0.000	0.000	552.075	362.134	523.741	1012.147	443.031	497.554
15	0.04667	1021.614	436.857	914.490	1186.589	598.087	557.193	0.000	0.000	0.000	1093.182	659.920	21.034	1010.826	246.629	627.918	0.000	0.000	0.000	553.115	361.601	524.820	1012.213	443.051	497.551
16	0.05000	1021.620	436.968	914.472	1186.524	598.272	557.172	0.000	0.000	0.000	1093.101	660.013	21.011	1011.107	246.586	627.846	0.000	0.000	0.000	554.267	361.007	526.028	1012.263	443.058	497.574
17	0.05333	1021.633	437.080	914.470	1186.428	598.470	557.163	0.000	0.000	0.000	1093.119	659.670	20.452	1011.081	246.461	627.253	0.000	0.000	0.000	555.486	360.415	527.188	1012.304	443.091	497.604
18	0.05667	1021.655	437.182	914.457	1186.342	598.693	557.102	0.000	0.000	0.000	1092.994	659.737	20.373	1011.387	246.423	627.192	0.000	0.000	0.000	556.774	359.793	528.465	1012.346	443.091	497.625
19	0.06000	1021.669	437.284	914.427	1186.247	598.912	557.079	0.000	0.000	0.000	1092.873	660.019	20.461	1011.710	246.377	627.103	0.000	0.000	0.000	558.042	359.184	529.622	1012.293	443.441	497.868
20	0.06333	1021.694	437.418	914.428	1186.192	599.162	557.061	0.000	0.000	0.000	1092.729	660.228	20.523	1012.046	246.315	627.071	0.000	0.000	0.000	559.399	358.477	530.829	1012.347	443.442	497.893
21	0.06667	1021.718	437.523	914.415	1186.086	599.424	556.998	0.000	0.000	0.000	1092.621	660.289	20.509	1011.942	246.003	627.014	0.000	0.000	0.000	560.837	357.839	532.077	1012.389	443.458	497.929
22	0.07000	1021.747	437.637	914.420	1185.990	599.603	556.971	0.000	0.000	0.000	1092.475	660.317	20.461	1012.248	245.910	626.954	0.000	0.000	0.000	562.284	357.144	533.349	1012.421	443.403	497.919
23	0.07333	1021.756	437.754	914.397	1185.846	599.820	556.935	0.000	0.000	0.000	1092.281	660.703	20.534	1012.606	245.867	626.902	0.000	0.000	0.000	563.776	356.364	534.597	1012.470	443.380	497.919
24	0.07667	1021.784	437.873	914.377	1185.711	600.050	556.896	0.000	0.000	0.000	1092.122	660.712	20.463	1013.012	245.816	626.890	0.000	0.000	0.000	565.249	355.668	535.816	1012.498	443.371	497.983
25	0.08000	1021.817	437.985	914.363	1185.560	600.274	556.850	0.000	0.000	0.000	1091.943	660.684	20.363	1013.427	245.722	626.896	0.000	0.000	0.000	566.822	354.922	537.108	1012.553	443.361	497.994
26	0.08333	1021.858	438.097	914.359	1185.447	600.532	556.837	0.000	0.000	0.000	1091.801	660.575	20.246	1014.642	246.513	627.912	0.000	0.000	0.000	568.440	354.115	538.375	1012.592	443.319	498.009
27	0.08667	1021.897	438.211	914.356	1185.318	600.792	556.818	0.000	0.000	0.000	1091.588	660.748	20.273	1015.083	246.380	627.913	0.000	0.000	0.000	570.119	353.284	539.666	1012.627	443.312	498.047
28	0.09000	1021.935	438.313	914.353	1185.178	601.044	556.806	0.000	0.000	0.000	1091.385	660.955	20.413	1015.494	246.169	627.782	0.000	0.000	0.000	571.847	352.476	540.973	1012.678	443.336	498.103
29	0.09333	1021.984	438.445	914.341	1185.019	601.312	556.750	0.000	0.000	0.000	1091.202	660.886	20.318	1015.908	245.980	627.689	0.000	0.000	0.000	573.664	351.735	542.225	1012.729	443.263	498.100
