NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	8
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 12:09:05	608604.70165641
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	L_Hand	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	L_Hand X	L_Hand Y	L_Hand Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	993.883	434.917	910.305	1177.983	597.443	560.068	0.000	0.000	0.000	1077.555	669.875	35.464	1011.429	241.394	627.821	794.608	225.145	472.516	533.820	363.700	515.815	1003.222	443.517	505.579
2	0.00333	993.868	434.912	910.295	1177.877	597.536	560.039	0.000	0.000	0.000	1077.472	669.909	35.241	1011.653	241.339	627.802	794.879	224.859	472.449	534.238	363.310	516.614	1003.227	443.524	505.583
3	0.00667	993.870	434.903	910.302	1177.757	597.687	560.057	0.000	0.000	0.000	1077.377	669.841	35.093	1011.936	241.327	627.848	795.142	224.551	472.393	534.696	362.941	517.449	1003.237	443.479	505.566
4	0.01000	993.854	434.891	910.284	1177.730	598.784	560.860	0.000	0.000	0.000	1077.285	669.897	35.082	1012.121	241.201	627.694	795.455	224.227	472.359	535.206	362.591	518.344	1003.232	443.457	505.579
5	0.01333	993.834	434.875	910.286	1177.571	598.905	560.811	0.000	0.000	0.000	1077.143	669.948	35.045	1012.358	241.156	627.675	795.676	223.892	472.182	535.741	362.183	519.226	1003.235	443.445	505.585
6	0.01667	993.798	434.860	910.258	1177.450	599.036	560.793	0.000	0.000	0.000	1076.995	669.894	34.927	1012.761	241.123	627.608	795.958	223.508	472.033	536.313	361.717	520.104	1003.221	443.407	505.590
7	0.02000	993.793	434.864	910.272	1177.322	599.204	560.768	0.000	0.000	0.000	1076.844	670.009	34.988	1013.704	241.896	628.373	796.305	223.084	471.998	536.926	361.322	521.062	1003.230	443.381	505.613
8	0.02333	993.540	434.831	910.008	1176.670	599.183	560.271	0.000	0.000	0.000	1075.816	668.653	33.677	1013.972	241.813	628.381	796.588	222.622	471.830	537.671	360.765	522.334	1002.610	443.462	505.456
9	0.02667	993.260	435.012	909.815	1176.380	599.320	560.075	0.000	0.000	0.000	1075.859	669.207	34.038	1013.909	242.122	628.232	796.416	222.658	471.269	538.200	360.328	523.328	1002.313	443.812	505.250
10	0.03000	993.710	434.931	910.109	1176.389	599.241	559.926	0.000	0.000	0.000	1075.669	669.399	34.302	1014.405	241.787	628.322	796.917	222.181	471.360	538.874	359.834	524.395	1002.243	443.902	505.127
11	0.03333	993.632	434.916	910.102	1176.514	599.717	560.619	0.000	0.000	0.000	1075.468	669.558	34.465	1013.936	240.725	627.375	797.896	221.213	472.098	539.556	359.210	525.169	1003.019	443.023	505.777
12	0.03667	993.612	434.936	910.100	1176.343	599.877	560.620	0.000	0.000	0.000	1075.307	669.596	34.489	1014.401	240.835	627.494	798.263	220.686	471.989	540.295	358.665	526.265	1003.016	442.985	505.780
13	0.04000	993.579	434.943	910.086	1176.170	600.048	560.583	0.000	0.000	0.000	1075.180	669.453	34.130	1014.549	240.560	627.361	798.451	219.953	471.440	541.018	358.129	527.280	1002.998	442.919	505.790
14	0.04333	993.561	434.962	910.066	1175.959	600.211	560.536	0.000	0.000	0.000	1074.969	669.433	34.000	1014.846	240.458	627.323	798.827	219.360	471.205	541.799	357.554	528.353	1002.982	442.849	505.799
15	0.04667	993.539	434.984	910.059	1175.724	600.360	560.432	0.000	0.000	0.000	1074.758	669.323	33.781	1015.220	240.431	627.362	799.259	218.676	471.109	542.635	356.989	529.449	1002.957	442.795	505.806
16	0.05000	993.515	434.998	910.034	1175.518	600.521	560.379	0.000	0.000	0.000	1074.491	669.396	33.709	1015.562	240.331	627.335	799.707	218.045	470.978	543.502	356.419	530.560	1002.943	442.739	505.802
17	0.05333	993.494	435.028	910.012	1175.301	600.688	560.281	0.000	0.000	0.000	1074.236	669.513	33.961	1015.868	240.215	627.311	800.141	217.323	470.796	544.444	355.736	531.778	1002.919	442.676	505.826
18	0.05667	993.459	435.060	909.983	1175.074	600.851	560.215	0.000	0.000	0.000	1073.998	669.706	34.151	1016.193	240.096	627.310	800.564	216.662	470.562	545.425	355.111	533.027	1002.929	442.607	505.821
19	0.06000	993.440	435.088	909.969	1174.840	601.045	560.184	0.000	0.000	0.000	1073.795	669.749	34.153	1016.552	240.026	627.348	801.051	215.889	470.416	546.390	354.410	534.226	1002.916	442.524	505.828
20	0.06333	993.409	435.124	909.943	1174.586	601.234	560.150	0.000	0.000	0.000	1073.581	669.767	34.134	1016.891	239.914	627.345	801.500	215.177	470.162	547.422	353.716	535.469	1002.894	442.484	505.859
21	0.06667	993.373	435.159	909.920	1174.319	601.403	560.092	0.000	0.000	0.000	1073.360	669.721	34.060	1017.297	239.813	627.361	801.989	214.397	469.973	548.541	353.001	536.735	1002.877	442.379	505.830
22	0.07000	993.350	435.191	909.914	1174.071	601.613	560.081	0.000	0.000	0.000	1073.124	669.590	33.779	1017.724	239.762	627.381	802.498	213.601	469.756	549.657	352.197	538.055	1002.847	442.298	505.838
23	0.07333	993.307	435.234	909.873	1173.798	601.816	560.054	0.000	0.000	0.000	1072.828	669.626	33.748	1018.068	239.638	627.368	802.985	212.806	469.484	550.820	351.411	539.295	1002.826	442.211	505.853
24	0.07667	993.269	435.277	909.852	1173.516	602.019	560.011	0.000	0.000	0.000	1072.589	669.687	33.726	1018.420	239.479	627.342	803.519	211.955	469.293	551.968	350.605	540.524	1002.810	442.144	505.852
25	0.08000	993.243	435.320	909.839	1173.230	602.263	559.976	0.000	0.000	0.000	1072.331	669.768	33.784	1018.789	239.372	627.346	804.065	211.105	469.046	553.153	349.749	541.782	1002.779	442.040	505.841
26	0.08333	993.198	435.361	909.813	1172.959	602.456	559.888	0.000	0.000	0.000	1072.089	669.774	33.724	1019.194	239.177	627.300	804.562	210.232	468.741	554.373	348.867	542.950	1002.744	441.982	505.857
27	0.08667	993.168	435.400	909.795	1172.675	602.674	559.874	0.000	0.000	0.000	1071.876	669.580	33.491	1019.612	239.067	627.305	805.106	209.342	468.459	555.670	347.972	544.270	1002.713	441.882	505.851
28	0.09000	993.124	435.443	909.772	1172.360	602.888	559.811	0.000	0.000	0.000	1071.581	669.686	33.523	1020.069	238.944	627.328	805.683	208.414	468.218	556.978	347.021	545.554	1002.673	441.766	505.840
29	0.09333	993.073	435.490	909.745	1172.049	603.104	559.764	0.000	0.000	0.000	1071.265	669.611	33.392	1021.200	239.622	628.181	806.294	207.469	467.951	558.325	346.084	546.803	1002.645	441.659	505.839
30	0.09667	993.037	435.530	909.721	1171.764	603.303	559.697	0.000	0.000	0.000	1070.938	669.637	33.376	1021.457	239.349	627.994	806.901	206.502	467.675	559.692	345.074	548.059	1002.591	441.494	505.861
31	0.10000	993.004	435.582	909.711	1171.474	603.520	559.660	0.000	0.000	0.000	1070.664	669.804	33.472	1021.899	239.232	628.012	807.502	205.575	467.378	561.084	344.079	549.285	1002.564	441.395	505.888
32	0.10333	992.955	435.623	909.690	1171.126	603.789	559.605	0.000	0.000	0.000	1070.409	669.904	33.491	1022.283	239.048	627.983	808.176	204.555	467.085	562.544	343.035	550.566	1002.533	441.311	505.885
33	0.10667	992.927	435.684	909.674	1170.817	604.000	559.552	0.000	0.000	0.000	1070.126	669.900	33.380	1022.678	238.907	628.001	808.858	203.561	466.750	564.031	341.942	551.850	1002.503	441.177	505.894
34	0.11000	992.880	435.730	909.647	1170.475	604.212	559.501	0.000	0.000	0.000	1069.828	669.913	33.361	1023.067	238.715	627.957	809.576	202.555	466.466	565.518	340.867	553.041	1002.451	441.084	505.915
35	0.11333	992.852	435.782	909.627	1170.134	604.466	559.452	0.000	0.000	0.000	1069.503	669.942	33.348	1023.486	238.615	627.986	810.243	201.572	466.025	567.068	339.741	554.260	1002.402	440.957	505.889
36	0.11667	992.799	435.845	909.573	1169.817	604.721	559.378	0.000	0.000	0.000	1069.154	669.866	33.226	1023.983	238.531	628.058	811.019	200.483	465.706	568.612	338.574	555.508	1002.383	440.820	505.880
