NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	8
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 12:51:35	611154.74725523
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	L_Hand	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	L_Hand X	L_Hand Y	L_Hand Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1034.332	433.450	916.171	1194.800	598.859	565.194	0.000	0.000	0.000	1098.047	669.198	34.037	1014.827	243.617	625.759	0.000	0.000	0.000	543.582	361.079	511.090	1014.141	451.272	503.258
2	0.00333	1034.421	433.431	916.207	1194.900	598.867	565.200	0.000	0.000	0.000	1098.012	669.178	34.064	1015.054	243.552	625.721	0.000	0.000	0.000	544.023	360.823	511.782	1014.192	451.304	503.336
3	0.00667	1034.502	433.404	916.196	1194.988	598.891	565.212	0.000	0.000	0.000	1097.980	669.231	34.115	1016.264	244.841	624.646	0.000	0.000	0.000	544.446	360.536	512.386	1014.290	451.299	503.361
4	0.01000	1034.584	433.396	916.203	1195.069	598.923	565.213	0.000	0.000	0.000	1097.976	669.278	34.145	1016.417	244.769	624.553	0.000	0.000	0.000	544.966	360.281	513.047	1014.408	451.332	503.427
5	0.01333	1034.675	433.372	916.210	1195.157	598.963	565.231	0.000	0.000	0.000	1097.921	669.378	34.259	1018.363	246.051	625.148	0.000	0.000	0.000	545.420	359.953	513.655	1014.512	451.299	503.386
6	0.01667	1034.767	433.369	916.214	1195.210	598.975	565.210	0.000	0.000	0.000	1097.904	669.466	34.336	1018.855	246.207	625.045	0.000	0.000	0.000	545.991	359.602	514.381	1014.632	451.334	503.417
7	0.02000	1034.853	433.356	916.211	1195.273	599.047	565.224	0.000	0.000	0.000	1097.892	669.548	34.389	1016.891	244.256	624.509	0.000	0.000	0.000	546.552	359.333	515.055	1014.736	451.267	503.528
8	0.02333	1034.730	433.328	915.971	1194.793	598.914	564.794	0.000	0.000	0.000	1097.053	668.338	33.336	1017.164	244.267	624.518	0.000	0.000	0.000	547.024	358.999	515.796	1014.312	451.383	503.263
9	0.02667	1034.578	433.516	915.823	1194.686	598.956	564.612	0.000	0.000	0.000	1097.224	668.830	33.720	1016.839	243.524	623.481	0.000	0.000	0.000	547.727	358.758	516.830	1014.120	451.734	503.092
10	0.03000	1035.131	433.256	916.239	1194.877	598.630	564.618	0.000	0.000	0.000	1097.188	668.875	33.752	1018.808	245.200	625.032	0.000	0.000	0.000	548.687	358.156	518.106	1014.200	451.700	503.067
11	0.03333	1035.137	433.415	916.126	1195.232	599.131	565.313	0.000	0.000	0.000	1097.160	668.912	33.778	1018.839	244.904	624.812	0.000	0.000	0.000	549.093	357.918	518.372	1015.028	450.929	503.589
12	0.03667	1035.236	433.420	916.123	1195.280	599.255	565.357	0.000	0.000	0.000	1097.108	668.854	33.700	1019.249	245.172	625.087	0.000	0.000	0.000	549.771	357.592	519.113	1015.163	450.892	503.639
13	0.04000	1035.335	433.424	916.144	1195.283	599.340	565.367	0.000	0.000	0.000	1097.056	668.893	33.806	1018.086	243.684	623.876	0.000	0.000	0.000	550.519	357.219	519.938	1015.267	450.858	503.710
14	0.04333	1035.441	433.417	916.151	1195.299	599.454	565.365	0.000	0.000	0.000	1097.008	668.978	33.835	1018.303	243.562	623.775	0.000	0.000	0.000	551.230	356.944	520.754	1015.357	450.798	503.708
15	0.04667	1035.529	433.426	916.152	1195.302	599.568	565.345	0.000	0.000	0.000	1096.949	668.935	33.824	1018.591	243.574	623.693	0.000	0.000	0.000	552.022	356.608	521.585	1015.454	450.726	503.690
16	0.05000	1035.623	433.421	916.156	1195.298	599.690	565.342	0.000	0.000	0.000	1096.926	668.926	33.728	1018.904	243.881	623.364	0.000	0.000	0.000	552.837	356.244	522.379	1015.569	450.638	503.721
17	0.05333	1035.714	433.426	916.165	1195.266	599.804	565.295	0.000	0.000	0.000	1096.850	668.991	33.808	1019.190	243.829	623.291	0.000	0.000	0.000	553.739	355.880	523.279	1015.650	450.596	503.738
18	0.05667	1035.805	433.436	916.170	1195.254	599.924	565.292	0.000	0.000	0.000	1096.784	668.903	33.733	1019.497	243.627	623.558	0.000	0.000	0.000	554.689	355.512	524.224	1015.743	450.510	503.737
19	0.06000	1035.875	433.435	916.151	1195.235	600.063	565.268	0.000	0.000	0.000	1096.733	668.989	33.816	1019.813	243.608	623.503	0.000	0.000	0.000	555.665	355.132	525.127	1015.873	450.471	503.782
20	0.06333	1035.964	433.445	916.164	1195.199	600.171	565.253	0.000	0.000	0.000	1096.673	669.031	33.788	1020.130	243.625	623.487	0.000	0.000	0.000	556.698	354.686	526.018	1015.973	450.380	503.755
21	0.06667	1036.045	433.466	916.146	1195.157	600.276	565.229	0.000	0.000	0.000	1096.618	669.007	33.770	1020.436	243.613	623.426	0.000	0.000	0.000	557.801	354.267	527.116	1016.086	450.343	503.769
22	0.07000	1036.132	433.479	916.155	1195.107	600.388	565.196	0.000	0.000	0.000	1096.553	669.069	33.819	1020.755	243.630	623.379	0.000	0.000	0.000	558.867	353.887	527.966	1016.209	450.277	503.782
23	0.07333	1036.208	433.496	916.142	1195.047	600.500	565.178	0.000	0.000	0.000	1096.471	669.053	33.787	1021.117	243.656	623.370	0.000	0.000	0.000	560.013	353.429	528.962	1016.332	450.182	503.746
24	0.07667	1036.276	433.515	916.138	1194.994	600.604	565.150	0.000	0.000	0.000	1096.404	669.099	33.808	1021.958	244.334	623.798	0.000	0.000	0.000	561.215	352.952	529.979	1016.434	450.101	503.736
25	0.08000	1036.356	433.532	916.128	1194.934	600.729	565.129	0.000	0.000	0.000	1096.305	669.194	33.872	1022.240	244.259	623.741	0.000	0.000	0.000	562.380	352.551	530.905	1016.523	450.007	503.737
26	0.08333	1036.419	433.532	916.114	1194.862	600.866	565.116	0.000	0.000	0.000	1096.238	669.216	33.871	1022.578	244.201	623.678	0.000	0.000	0.000	563.625	352.093	531.936	1016.613	449.928	503.733
27	0.08667	1036.487	433.550	916.087	1194.787	600.988	565.063	0.000	0.000	0.000	1096.146	669.290	33.890	1022.921	244.126	623.576	0.000	0.000	0.000	564.912	351.592	532.877	1016.690	449.846	503.751
28	0.09000	1036.570	433.567	916.093	1194.699	601.128	565.025	0.000	0.000	0.000	1096.043	669.389	33.970	1023.267	244.035	623.480	0.000	0.000	0.000	566.222	351.041	533.903	1016.775	449.767	503.769
29	0.09333	1036.639	433.579	916.081	1194.609	601.260	564.979	0.000	0.000	0.000	1095.921	669.550	34.180	1023.573	243.844	623.345	0.000	0.000	0.000	567.547	350.587	534.838	1016.867	449.690	503.778
30	0.09667	1036.706	433.584	916.056	1194.528	601.442	564.963	0.000	0.000	0.000	1095.800	669.722	34.304	1023.931	243.802	623.378	0.000	0.000	0.000	568.888	350.206	535.746	1016.949	449.600	503.786
31	0.10000	1036.781	433.603	916.035	1194.413	601.602	564.929	0.000	0.000	0.000	1095.698	669.798	34.305	1024.258	243.545	623.088	0.000	0.000	0.000	570.318	349.681	536.778	1017.029	449.532	503.788
32	0.10333	1036.843	433.615	916.031	1194.301	601.738	564.811	0.000	0.000	0.000	1095.593	669.782	34.095	1024.623	243.415	623.028	0.000	0.000	0.000	571.772	349.163	537.730	1017.077	449.416	503.784
33	0.10667	1036.915	433.626	916.008	1194.202	601.889	564.771	0.000	0.000	0.000	1095.451	669.785	34.195	1025.172	243.488	623.198	0.000	0.000	0.000	573.289	348.602	538.724	1017.185	449.281	503.739
34	0.11000	1036.986	433.650	915.996	1194.101	602.076	564.768	0.000	0.000	0.000	1095.383	669.602	33.775	1025.739	243.536	623.318	0.000	0.000	0.000	574.813	348.076	539.711	1017.279	449.103	503.755
35	0.11333	1037.051	433.652	915.985	1193.972	602.231	564.732	0.000	0.000	0.000	1095.252	669.624	33.751	1026.162	243.412	623.217	0.000	0.000	0.000	576.377	347.546	540.771	1017.365	449.010	503.754
36	0.11667	1037.125	433.666	915.966	1193.834	602.428	564.717	0.000	0.000	0.000	1095.095	669.629	33.688	1026.586	243.330	623.203	0.000	0.000	0.000	577.965	347.025	541.782	1017.475	448.881	503.731
37	0.12000	1037.192	433.678	915.957	1193.684	602.606	564.696	0.000	0.000	0.000	1094.926	669.727	33.679	1027.014	243.169	623.125	0.000	0.000	0.000	579.568	346.466	542.727	1017.575	448.804	503.752
38	0.12333	1037.259	433.677	915.928	1193.526	602.776	564.658	0.000	0.000	0.000	1094.764	669.776	33.689	1027.486	243.022	623.109	0.000	0.000	0.000	581.183	345.899	543.698	1017.665	448.698	503.739
39	0.12667	1037.334	433.694	915.914	1193.367	602.957	564.623	0.000	0.000	0.000	1094.614	669.899	33.750	1027.936	242.865	622.997	0.000	0.000	0.000	582.858	345.298	544.693	1017.738	448.606	503.758
40	0.13000	1037.415	433.704	915.902	1193.229	603.142	564.600	0.000	0.000	0.000	1094.422	670.197	34.051	1028.275	242.558	622.799	0.000	0.000	0.000	584.548	344.665	545.700	1017.824	448.518	503.792
41	0.13333	1037.484	433.717	915.885	1193.063	603.324	564.578	0.000	0.000	0.000	1094.291	670.342	34.129	1028.690	242.363	622.716	0.000	0.000	0.000	586.281	344.063	546.754	1017.889	448.419	503.796
42	0.13667	1037.552	433.722	915.862	1192.900	603.536	564.512	0.000	0.000	0.000	1094.128	670.385	34.090	1029.453	242.386	622.966	0.000	0.000	0.000	588.026	343.434	547.748	1017.996	448.305	503.803
43	0.14000	1037.633	433.733	915.837	1192.720	603.723	564.468	0.000	0.000	0.000	1093.976	670.483	34.097	1029.942	242.244	622.920	0.000	0.000	0.000	589.787	342.790	548.730	1018.059	448.177	503.800
44	0.14333	1037.705	433.759	915.826	1192.523	603.920	564.384	0.000	0.000	0.000	1093.874	670.323	33.737	1030.410	242.031	622.828	0.000	0.000	0.000	591.572	342.121	549.682	1018.140	448.069	503.816
45	0.14667	1037.793	433.763	915.811	1192.367	604.095	564.311	0.000	0.000	0.000	1093.683	670.312	33.686	1030.865	241.787	622.739	0.000	0.000	0.000	593.405	341.361	550.714	1018.242	447.973	503.830
46	0.15000	1037.871	433.780	915.793	1192.192	604.308	564.317	0.000	0.000	0.000	1093.464	670.439	33.713	1031.347	241.522	622.573	0.000	0.000	0.000	595.253	340.630	551.667	1018.311	447.838	503.808
