NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	7
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 12:02:23	608202.36398695
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1053.232	433.829	916.712	1120.604	626.503	569.108	0.000	0.000	0.000	1045.558	657.723	29.901	1007.569	255.387	647.212	0.000	0.000	0.000	974.814	446.193	513.543
2	0.00333	1053.302	433.783	916.736	1120.597	626.535	569.167	0.000	0.000	0.000	1045.378	657.795	30.113	1007.768	255.381	647.440	0.000	0.000	0.000	974.807	446.186	513.710
3	0.00667	1053.374	433.723	916.748	1120.569	627.504	570.033	0.000	0.000	0.000	1045.253	657.756	30.131	1007.868	255.409	647.432	0.000	0.000	0.000	974.852	446.172	513.730
4	0.01000	1053.445	433.692	916.782	1120.553	627.579	570.087	0.000	0.000	0.000	1045.145	657.749	30.154	1007.946	255.427	647.420	0.000	0.000	0.000	974.854	446.175	513.758
5	0.01333	1053.526	433.657	916.804	1120.522	627.624	570.098	0.000	0.000	0.000	1045.036	657.648	30.124	1008.051	255.444	647.447	0.000	0.000	0.000	974.909	446.203	513.783
6	0.01667	1053.594	433.607	916.811	1120.516	627.694	570.153	0.000	0.000	0.000	1044.896	657.534	30.067	1008.134	255.467	647.446	0.000	0.000	0.000	974.935	446.185	513.790
7	0.02000	1053.647	433.549	916.783	1120.494	627.744	570.181	0.000	0.000	0.000	1044.770	657.478	30.083	1008.242	255.473	647.434	0.000	0.000	0.000	974.959	446.202	513.807
8	0.02333	1053.228	433.693	916.357	1119.961	627.650	569.712	0.000	0.000	0.000	1043.827	656.172	28.966	1008.000	255.770	647.108	0.000	0.000	0.000	974.068	446.665	513.447
9	0.02667	1053.421	433.871	916.419	1119.713	627.708	569.389	0.000	0.000	0.000	1043.848	656.522	29.293	1008.410	255.736	647.567	0.000	0.000	0.000	973.682	446.876	513.311
10	0.03000	1053.475	433.842	916.426	1119.680	627.751	569.384	0.000	0.000	0.000	1043.744	656.652	29.398	1008.460	255.746	647.426	0.000	0.000	0.000	973.671	446.899	513.324
11	0.03333	1053.849	433.512	916.745	1120.265	628.020	570.398	0.000	0.000	0.000	1043.623	656.651	29.454	1008.597	255.764	647.506	0.000	0.000	0.000	974.615	446.444	514.245
12	0.03667	1053.922	433.483	916.758	1120.262	628.095	570.446	0.000	0.000	0.000	1043.498	656.619	29.483	1008.670	255.776	647.401	0.000	0.000	0.000	974.640	446.429	514.260
13	0.04000	1054.015	433.459	916.792	1120.229	628.129	570.460	0.000	0.000	0.000	1043.349	656.556	29.484	1008.792	255.774	647.386	0.000	0.000	0.000	974.683	446.457	514.291
14	0.04333	1054.088	433.428	916.811	1120.211	628.184	570.474	0.000	0.000	0.000	1043.208	656.466	29.458	1008.926	255.780	647.394	0.000	0.000	0.000	974.702	446.468	514.341
15	0.04667	1054.175	433.400	916.825	1120.180	628.253	570.525	0.000	0.000	0.000	1043.072	656.403	29.427	1009.028	255.800	647.333	0.000	0.000	0.000	974.763	446.480	514.380
16	0.05000	1054.266	433.387	916.862	1120.166	628.312	570.556	0.000	0.000	0.000	1042.908	656.376	29.427	1009.139	255.795	647.300	0.000	0.000	0.000	974.781	446.498	514.403
17	0.05333	1054.361	433.351	916.875	1120.171	628.371	570.573	0.000	0.000	0.000	1042.742	656.395	29.462	1009.266	255.779	647.241	0.000	0.000	0.000	974.812	446.553	514.479
18	0.05667	1054.454	433.354	916.886	1120.154	628.472	570.618	0.000	0.000	0.000	1042.566	656.333	29.415	1009.415	255.762	647.222	0.000	0.000	0.000	974.841	446.588	514.518
19	0.06000	1054.558	433.340	916.910	1120.124	628.549	570.615	0.000	0.000	0.000	1042.407	656.344	29.395	1009.580	255.739	647.177	0.000	0.000	0.000	974.884	446.602	514.534
20	0.06333	1054.670	433.324	916.926	1120.109	628.627	570.656	0.000	0.000	0.000	1042.244	656.316	29.472	1009.751	255.702	647.177	0.000	0.000	0.000	974.920	446.645	514.560
21	0.06667	1054.787	433.316	916.947	1120.079	628.705	570.675	0.000	0.000	0.000	1042.132	656.330	29.556	1009.935	255.666	647.125	0.000	0.000	0.000	974.951	446.636	514.599
22	0.07000	1054.893	433.314	916.957	1120.060	628.765	570.682	0.000	0.000	0.000	1041.999	656.271	29.572	1010.112	255.623	647.079	0.000	0.000	0.000	974.986	446.660	514.612
23	0.07333	1055.010	433.309	916.966	1120.019	628.854	570.709	0.000	0.000	0.000	1041.872	656.214	29.588	1010.293	255.584	647.034	0.000	0.000	0.000	975.022	446.685	514.605
24	0.07667	1055.116	433.293	916.989	1119.987	628.932	570.716	0.000	0.000	0.000	1041.743	656.097	29.540	1010.476	255.546	646.970	0.000	0.000	0.000	975.035	446.676	514.723
25	0.08000	1055.233	433.295	917.000	1119.942	629.005	570.725	0.000	0.000	0.000	1041.480	656.624	30.154	1010.673	255.500	646.929	0.000	0.000	0.000	975.079	446.694	514.742
26	0.08333	1055.358	433.304	917.007	1119.902	629.090	570.734	0.000	0.000	0.000	1041.339	656.633	30.175	1010.843	255.435	646.853	0.000	0.000	0.000	975.121	446.696	514.752
27	0.08667	1055.471	433.310	917.005	1119.858	629.159	570.725	0.000	0.000	0.000	1041.194	656.538	30.088	1011.406	255.298	647.477	0.000	0.000	0.000	975.158	446.703	514.781
28	0.09000	1055.580	433.322	916.994	1119.812	629.243	570.761	0.000	0.000	0.000	1041.031	656.429	29.991	1011.606	255.224	647.402	0.000	0.000	0.000	975.219	446.714	514.789
29	0.09333	1055.694	433.330	916.984	1119.752	629.320	570.758	0.000	0.000	0.000	1040.863	656.279	29.913	1011.850	255.173	647.388	0.000	0.000	0.000	975.256	446.691	514.801
30	0.09667	1055.828	433.355	916.997	1119.699	629.396	570.777	0.000	0.000	0.000	1040.704	656.275	29.910	1012.083	255.238	646.797	0.000	0.000	0.000	975.306	446.731	514.843
31	0.10000	1055.946	433.368	916.998	1119.657	629.476	570.798	0.000	0.000	0.000	1040.521	656.226	29.895	1012.075	255.174	646.334	0.000	0.000	0.000	975.335	446.680	514.823
