NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	8
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 12:36:25	610245.17614970
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	L_Hand	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	L_Hand X	L_Hand Y	L_Hand Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1049.554	438.051	925.907	1196.917	591.336	571.529	0.000	0.000	0.000	1077.511	682.037	50.910	998.510	244.065	636.477	782.852	222.985	470.126	537.372	360.493	513.297	1003.225	453.285	513.135
2	0.00333	1049.426	438.075	925.920	1196.835	591.432	571.534	0.000	0.000	0.000	1077.220	682.073	50.912	998.715	244.024	636.470	783.051	222.847	470.149	537.728	360.265	514.197	1003.266	453.296	513.121
3	0.00667	1049.259	438.073	925.914	1196.898	591.654	571.876	0.000	0.000	0.000	1076.980	682.205	50.992	998.774	243.945	636.281	783.258	222.630	470.141	538.143	359.936	515.119	1003.250	453.261	513.183
4	0.01000	1049.121	438.097	925.916	1196.742	591.677	571.656	0.000	0.000	0.000	1076.733	682.257	51.020	998.971	243.896	636.253	783.473	222.397	470.120	538.549	359.593	516.182	1003.244	453.248	513.202
5	0.01333	1048.985	438.107	925.914	1196.624	591.784	571.583	0.000	0.000	0.000	1076.418	682.177	50.930	999.201	243.839	636.270	783.700	222.138	470.114	539.063	359.262	517.198	1003.241	453.242	513.221
6	0.01667	1048.837	438.120	925.899	1196.553	591.900	571.598	0.000	0.000	0.000	1076.115	682.340	51.020	999.419	243.771	636.244	783.927	221.851	470.021	539.618	358.844	518.323	1003.292	453.245	513.269
7	0.02000	1048.703	438.131	925.903	1196.480	592.021	571.593	0.000	0.000	0.000	1075.813	682.490	51.140	999.625	243.698	636.182	784.212	221.521	470.008	540.211	358.451	519.472	1003.279	453.197	513.268
8	0.02333	1048.111	438.334	925.513	1195.854	591.917	571.115	0.000	0.000	0.000	1074.682	681.114	49.835	999.358	244.147	635.459	783.879	221.664	469.391	540.711	358.174	520.890	1002.559	453.580	513.023
9	0.02667	1048.002	438.373	925.643	1195.698	592.040	570.963	0.000	0.000	0.000	1074.609	681.651	50.165	999.595	243.974	635.587	784.205	221.410	469.378	541.603	357.715	522.370	1002.618	453.697	512.887
10	0.03000	1047.910	438.617	925.538	1195.698	592.457	571.003	0.000	0.000	0.000	1074.234	681.668	50.139	999.853	243.775	635.632	784.492	221.035	469.242	542.062	357.449	523.154	1002.610	453.771	512.854
