NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	8
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 11:27:03	606082.91331285
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	L_Hand	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	L_Hand X	L_Hand Y	L_Hand Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1053.876	409.421	923.888	1150.378	610.587	576.909	891.625	650.733	308.768	568.186	681.262	312.734	1026.818	240.267	622.921	812.549	239.363	478.258	544.465	365.941	511.691	998.794	440.245	504.699
2	0.00333	1053.820	409.425	923.889	1150.315	610.651	576.987	891.650	650.670	308.637	568.184	681.264	312.727	1027.083	240.401	623.016	812.726	239.133	478.249	544.768	365.549	512.584	998.793	440.215	504.763
3	0.00667	1053.761	409.408	923.872	1150.247	610.702	577.020	891.637	650.728	308.799	568.187	681.258	312.722	1027.093	240.222	622.910	812.925	238.870	478.253	545.136	365.124	513.526	998.816	440.179	504.788
4	0.01000	1053.708	409.413	923.861	1150.166	610.764	577.041	891.637	650.747	308.780	568.179	681.257	312.724	1027.327	240.327	622.991	813.132	238.605	478.221	545.516	364.566	514.469	999.160	440.101	504.525
5	0.01333	1053.655	409.406	923.874	1150.103	610.813	577.063	891.632	650.761	308.781	568.177	681.255	312.730	1027.420	240.174	622.885	813.335	238.304	478.190	545.928	364.091	515.491	999.157	440.069	504.557
6	0.01667	1053.602	409.409	923.864	1150.033	610.883	577.082	891.674	650.708	308.689	568.170	681.251	312.714	1027.685	240.257	622.988	813.569	237.968	478.141	546.400	363.570	516.542	999.131	440.102	504.698
7	0.02000	1053.411	409.623	923.833	1149.954	610.951	577.104	891.676	650.701	308.714	568.180	681.259	312.722	1027.501	240.434	622.727	813.399	238.059	477.758	546.851	363.139	517.880	998.801	440.423	504.770
8	0.02333	1053.361	409.534	923.759	1149.756	611.028	577.289	891.594	650.628	308.796	568.004	681.404	312.658	1027.750	240.231	622.740	814.407	237.183	478.803	547.211	362.363	518.748	998.779	440.010	504.910
9	0.02667	1053.319	409.558	923.771	1149.684	611.153	577.356	891.495	650.702	308.939	567.994	681.414	312.646	1027.935	240.198	622.750	814.400	236.547	478.143	547.831	361.799	519.967	998.736	439.995	504.973
10	0.03000	1053.267	409.574	923.761	1149.608	611.223	577.381	891.575	650.604	308.851	568.004	681.431	312.661	1028.117	240.107	622.722	814.705	236.103	477.991	548.391	361.180	521.118	998.725	439.934	505.007
