NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	8
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 11:56:40	607859.60668473
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	L_Hand	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	L_Hand X	L_Hand Y	L_Hand Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1019.589	437.292	915.998	1156.799	603.071	576.313	0.000	0.000	0.000	1068.928	667.259	42.058	996.955	242.460	640.441	788.789	218.019	472.557	535.115	368.768	514.106	988.475	442.876	512.357
2	0.00333	1019.534	437.289	915.947	1156.763	603.094	576.349	0.000	0.000	0.000	1069.101	667.187	41.826	996.896	242.469	640.431	788.811	217.993	472.455	535.081	368.469	514.652	988.455	442.901	512.382
3	0.00667	1019.535	437.288	915.984	1156.743	602.198	575.523	0.000	0.000	0.000	1069.203	667.222	41.842	996.888	242.482	640.445	788.857	217.937	472.385	535.057	368.112	515.202	988.404	442.936	512.434
4	0.01000	1019.492	437.280	915.935	1156.704	603.168	576.438	0.000	0.000	0.000	1069.277	667.258	41.838	996.901	242.483	640.467	788.936	217.857	472.294	535.092	367.753	515.869	988.366	442.967	512.466
5	0.01333	1019.483	437.272	915.934	1156.657	603.203	576.485	0.000	0.000	0.000	1069.345	667.295	41.873	996.884	242.487	640.466	788.979	217.761	472.185	535.148	367.351	516.489	988.224	442.959	512.534
6	0.01667	1019.459	437.273	915.923	1156.592	603.227	576.496	0.000	0.000	0.000	1069.393	667.328	41.894	996.907	242.481	640.494	789.051	217.653	472.020	535.257	366.888	517.204	988.217	442.985	512.572
7	0.02000	1019.451	437.268	915.922	1156.541	603.275	576.548	0.000	0.000	0.000	1069.437	667.401	41.901	996.927	242.471	640.484	789.149	217.513	471.954	535.362	366.423	517.832	988.100	442.965	512.647
8	0.02333	1018.992	437.438	915.527	1155.981	603.134	576.097	0.000	0.000	0.000	1068.669	666.056	40.637	996.731	242.619	640.279	788.772	217.847	471.506	535.085	366.180	518.270	987.177	443.419	512.330
9	0.02667	1019.302	437.310	915.814	1155.867	602.908	575.810	0.000	0.000	0.000	1068.851	666.538	40.956	996.711	242.455	640.430	788.934	217.890	471.497	535.440	365.568	519.345	987.045	443.587	512.141
10	0.03000	1019.251	437.273	915.791	1155.800	602.959	575.809	0.000	0.000	0.000	1068.842	666.633	41.043	996.771	242.411	640.477	789.062	217.715	471.361	535.676	365.074	520.116	986.968	443.633	512.173
11	0.03333	1019.247	437.264	915.791	1156.032	603.389	576.713	0.000	0.000	0.000	1068.802	666.745	41.137	997.003	242.459	640.496	789.683	216.712	471.656	535.919	364.406	520.607	987.663	442.869	512.791
12	0.03667	1019.263	437.267	915.819	1155.944	603.467	576.749	0.000	0.000	0.000	1068.751	666.752	41.154	997.077	242.441	640.523	789.833	216.465	471.499	536.306	363.819	521.448	987.601	442.837	512.832
13	0.04000	1019.238	437.243	915.787	1155.857	603.525	576.801	0.000	0.000	0.000	1068.674	666.831	41.194	997.154	242.408	640.540	789.950	216.169	471.264	536.972	363.126	522.773	987.526	442.836	512.903
14	0.04333	1019.257	437.232	915.807	1155.766	603.610	576.858	0.000	0.000	0.000	1068.613	666.948	41.293	997.219	242.356	640.540	790.142	215.830	471.050	537.397	362.496	523.652	987.450	442.800	512.959
15	0.04667	1019.265	437.221	915.802	1155.704	603.714	576.930	0.000	0.000	0.000	1068.480	667.070	41.450	997.363	242.319	640.640	790.339	215.481	470.801	537.910	361.799	524.641	987.382	442.796	513.012
16	0.05000	1019.283	437.217	915.826	1155.623	603.818	576.994	0.000	0.000	0.000	1068.360	667.211	41.748	997.446	242.268	640.634	790.602	215.082	470.570	538.417	361.134	525.598	987.255	442.826	513.209
17	0.05333	1019.282	437.205	915.818	1155.538	603.906	577.035	0.000	0.000	0.000	1068.240	667.253	41.813	997.551	242.215	640.631	790.835	214.619	470.308	538.993	360.468	526.556	987.178	442.808	513.287
18	0.05667	1019.301	437.190	915.826	1155.438	603.980	577.075	0.000	0.000	0.000	1068.102	667.262	41.823	997.650	242.151	640.627	791.102	214.182	470.061	539.582	359.768	527.481	987.102	442.838	513.336
19	0.06000	1019.314	437.176	915.843	1155.338	604.068	577.062	0.000	0.000	0.000	1067.947	667.232	41.804	997.762	242.101	640.614	791.371	213.688	469.703	540.274	359.034	528.518	987.016	442.830	513.370
20	0.06333	1019.328	437.158	915.861	1155.225	604.155	577.066	0.000	0.000	0.000	1067.795	667.209	41.791	997.879	242.033	640.601	791.652	213.171	469.336	541.007	358.291	529.518	986.951	442.817	513.423
21	0.06667	1019.341	437.136	915.850	1155.090	604.276	577.140	0.000	0.000	0.000	1067.631	667.211	41.761	998.010	241.966	640.611	791.965	212.622	468.913	541.810	357.530	530.588	986.876	442.835	513.494
22	0.07000	1019.371	437.126	915.898	1154.945	604.383	577.138	0.000	0.000	0.000	1067.446	667.195	41.709	998.152	241.883	640.600	792.319	212.025	468.610	542.728	356.731	531.817	986.812	442.789	513.530
23	0.07333	1019.395	437.114	915.915	1154.818	604.476	577.148	0.000	0.000	0.000	1067.270	667.232	41.732	998.301	241.795	640.582	792.745	211.389	468.234	543.661	355.898	532.948	986.740	442.801	513.571
24	0.07667	1019.410	437.094	915.919	1154.678	604.571	577.172	0.000	0.000	0.000	1067.082	667.412	41.865	998.444	241.718	640.557	793.087	210.782	467.720	544.619	355.067	534.089	986.659	442.745	513.639
25	0.08000	1019.446	437.085	915.938	1154.546	604.657	577.174	0.000	0.000	0.000	1066.892	667.494	41.915	998.610	241.634	640.515	793.499	210.128	467.303	545.661	354.232	535.313	986.606	442.708	513.653
26	0.08333	1019.469	437.064	915.953	1154.415	604.755	577.201	0.000	0.000	0.000	1066.664	667.483	41.906	998.767	241.534	640.447	793.960	209.466	466.818	546.719	353.330	536.438	986.524	442.663	513.680
27	0.08667	1019.490	437.048	915.956	1154.290	604.862	577.229	0.000	0.000	0.000	1066.470	667.335	41.743	998.946	241.405	640.407	794.413	208.761	466.305	547.894	352.376	537.715	986.449	442.621	513.707
28	0.09000	1019.526	437.031	915.972	1154.121	604.963	577.224	0.000	0.000	0.000	1066.161	667.545	41.957	999.132	241.298	640.385	794.923	208.066	465.871	549.090	351.419	538.900	986.365	442.578	513.853
29	0.09333	1019.561	437.025	915.985	1153.960	605.086	577.234	0.000	0.000	0.000	1065.889	667.427	41.851	999.307	241.174	640.286	795.387	207.336	465.243	550.301	350.451	540.041	986.276	442.517	513.860
30	0.09667	1019.596	437.011	915.993	1153.771	605.230	577.208	0.000	0.000	0.000	1065.613	667.504	41.937	999.500	241.047	640.236	795.953	206.570	464.747	551.580	349.419	541.247	986.202	442.500	513.932
31	0.10000	1019.620	436.999	916.009	1153.603	605.354	577.186	0.000	0.000	0.000	1065.360	667.576	42.021	999.714	240.919	640.204	796.494	205.825	464.203	552.857	348.404	542.333	986.117	442.455	513.950
32	0.10333	1019.664	437.001	916.021	1153.442	605.485	577.230	0.000	0.000	0.000	1065.064	667.861	42.322	999.962	240.772	640.226	796.984	205.038	463.519	554.219	347.282	543.534	986.039	442.395	514.010
33	0.10667	1019.699	436.988	916.033	1153.268	605.592	577.266	0.000	0.000	0.000	1064.773	667.917	42.598	1000.182	240.622	640.175	797.575	204.214	463.022	555.587	346.185	544.622	985.963	442.395	514.073
34	0.11000	1019.733	436.990	916.046	1153.095	605.689	577.265	0.000	0.000	0.000	1064.452	667.876	42.551	1000.433	240.469	640.158	798.128	203.388	462.361	557.009	345.051	545.783	985.901	442.404	514.052
35	0.11333	1019.777	436.987	916.059	1152.911	605.864	577.305	0.000	0.000	0.000	1064.076	667.668	42.378	1000.662	240.335	640.091	798.672	202.517	461.758	558.456	343.877	546.931	985.826	442.358	514.111
