NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	8
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 12:10:41	608700.98443672
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	L_Hand	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	L_Hand X	L_Hand Y	L_Hand Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1023.366	424.212	926.528	1167.124	606.516	562.358	0.000	0.000	0.000	1045.847	676.980	40.472	1003.331	248.057	637.521	783.148	237.741	479.875	530.410	375.057	515.265	989.465	451.597	513.282
2	0.00333	1023.307	424.197	926.519	1167.121	608.277	563.361	0.000	0.000	0.000	1045.598	676.927	40.559	1003.512	248.034	637.554	783.377	237.651	479.837	530.640	374.739	515.862	989.472	451.548	513.353
3	0.00667	1023.248	424.161	926.504	1167.033	608.362	563.379	0.000	0.000	0.000	1045.368	676.866	40.486	1003.668	248.019	637.380	783.562	237.535	479.716	530.923	374.410	516.411	989.498	451.534	513.353
4	0.01000	1023.172	424.144	926.481	1166.948	608.444	563.392	0.000	0.000	0.000	1045.100	676.807	40.448	1003.875	247.978	637.455	783.780	237.394	479.593	531.265	374.016	517.113	989.537	451.497	513.346
5	0.01333	1023.108	424.122	926.456	1166.829	608.531	563.409	0.000	0.000	0.000	1044.832	676.837	40.491	1004.219	247.962	637.525	784.011	237.178	479.501	531.644	373.610	517.799	989.542	451.475	513.362
6	0.01667	1023.022	424.110	926.430	1166.734	608.623	563.418	0.000	0.000	0.000	1044.586	676.928	40.749	1004.241	247.878	637.283	784.239	236.985	479.349	532.064	373.217	518.586	989.562	451.443	513.360
7	0.02000	1022.948	424.097	926.413	1166.633	608.719	563.432	0.000	0.000	0.000	1044.385	676.983	40.893	1004.462	247.830	637.253	784.484	236.766	479.165	532.496	372.774	519.397	989.590	451.406	513.367
8	0.02333	1022.422	424.234	926.028	1166.024	608.545	562.986	0.000	0.000	0.000	1043.435	675.737	39.825	1004.471	247.923	636.977	784.173	237.254	478.482	532.560	372.503	519.956	988.824	451.796	513.317
9	0.02667	1022.345	423.992	926.079	1166.140	608.695	563.231	0.000	0.000	0.000	1043.425	676.174	40.192	1004.378	247.899	636.966	784.315	236.972	478.315	533.138	371.922	521.052	989.186	452.198	513.654
10	0.03000	1022.525	424.145	926.266	1166.025	608.783	563.225	0.000	0.000	0.000	1043.183	675.987	40.104	1004.802	247.795	637.100	784.981	236.555	478.614	533.852	371.487	522.173	989.212	452.132	513.658
