NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	7
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 12:31:39	609958.81288460
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1058.568	422.508	926.429	1194.584	589.972	568.681	0.000	0.000	0.000	1096.755	666.852	45.269	1008.296	240.260	633.308	790.589	227.015	470.058	1010.750	443.389	508.870
2	0.00333	1058.557	422.497	926.438	1194.641	590.004	568.694	0.000	0.000	0.000	1096.589	667.100	45.446	1008.137	240.419	632.781	790.737	226.867	470.062	1010.817	443.328	508.976
3	0.00667	1058.540	422.490	926.434	1194.655	590.054	568.707	0.000	0.000	0.000	1096.375	667.212	45.489	1008.290	240.368	632.708	790.892	226.696	470.035	1010.712	443.685	509.220
4	0.01000	1058.519	422.493	926.408	1194.669	590.077	568.699	0.000	0.000	0.000	1096.170	667.299	45.594	1008.501	240.306	632.686	791.058	226.522	470.027	1010.741	443.677	509.261
5	0.01333	1058.506	422.492	926.437	1194.682	590.107	568.693	0.000	0.000	0.000	1095.939	667.301	45.579	1008.689	240.214	632.604	791.210	226.342	469.950	1010.841	443.616	509.272
6	0.01667	1058.473	422.500	926.428	1194.687	590.149	568.688	0.000	0.000	0.000	1095.689	667.263	45.532	1009.078	240.114	632.773	791.416	226.102	469.939	1010.886	443.625	509.310
7	0.02000	1058.448	422.500	926.424	1194.704	590.173	568.670	0.000	0.000	0.000	1095.414	667.290	45.552	1009.290	240.052	632.737	791.616	225.901	469.887	1010.975	443.622	509.319
8	0.02333	1057.968	422.698	926.076	1194.160	590.018	568.197	0.000	0.000	0.000	1094.345	666.011	44.367	1008.839	240.459	631.841	791.357	226.149	469.465	1010.169	443.985	509.077
9	0.02667	1057.824	422.775	925.995	1194.064	590.162	567.993	0.000	0.000	0.000	1094.269	666.497	44.676	1008.950	240.286	631.909	791.419	226.210	469.249	1010.284	444.109	508.876
10	0.03000	1057.949	422.930	926.114	1194.053	590.222	567.941	0.000	0.000	0.000	1093.996	666.668	44.852	1009.362	240.061	632.201	791.755	226.009	469.243	1010.283	444.057	508.842
11	0.03333	1058.108	422.620	926.347	1194.408	590.205	568.567	0.000	0.000	0.000	1093.733	666.842	45.076	1009.798	240.029	632.021	792.589	224.832	469.711	1011.014	443.171	509.335
12	0.03667	1058.083	422.645	926.351	1194.402	590.266	568.544	0.000	0.000	0.000	1093.452	666.897	45.152	1010.034	239.928	631.975	792.878	224.508	469.642	1011.009	443.113	509.470
13	0.04000	1058.061	422.674	926.352	1194.405	590.328	568.548	0.000	0.000	0.000	1093.151	666.908	45.145	1010.423	239.773	632.136	793.196	224.164	469.572	1011.073	443.062	509.511
14	0.04333	1058.033	422.700	926.345	1194.393	590.387	568.525	0.000	0.000	0.000	1092.801	666.852	45.034	1010.561	239.685	631.897	793.562	223.762	469.438	1011.132	443.014	509.562
15	0.04667	1058.000	422.738	926.350	1194.348	590.454	568.524	0.000	0.000	0.000	1092.507	666.865	44.933	1010.830	239.550	631.898	793.932	223.320	469.350	1011.153	442.953	509.630
16	0.05000	1057.970	422.764	926.338	1194.324	590.516	568.500	0.000	0.000	0.000	1092.234	666.996	45.019	1011.108	239.422	631.878	794.247	222.907	469.095	1011.218	442.882	509.658
17	0.05333	1057.944	422.813	926.330	1194.284	590.586	568.483	0.000	0.000	0.000	1091.957	667.043	45.231	1011.543	239.166	632.105	794.630	222.393	468.924	1011.268	442.824	509.734
18	0.05667	1057.914	422.851	926.341	1194.244	590.668	568.450	0.000	0.000	0.000	1091.694	667.067	45.283	1011.849	239.017	632.092	794.963	221.900	468.641	1011.315	442.742	509.764
19	0.06000	1057.907	422.904	926.332	1194.205	590.752	568.441	0.000	0.000	0.000	1091.382	667.046	45.240	1012.168	238.845	632.079	795.383	221.374	468.425	1011.359	442.612	509.839
20	0.06333	1057.887	422.958	926.326	1194.160	590.833	568.420	0.000	0.000	0.000	1091.052	667.011	45.144	1012.505	238.672	632.053	795.817	220.745	468.204	1011.406	442.544	509.868
21	0.06667	1057.871	423.009	926.320	1194.089	590.933	568.399	0.000	0.000	0.000	1090.724	667.115	45.126	1012.831	238.547	631.979	796.252	220.155	467.944	1011.479	442.425	509.874
22	0.07000	1057.880	423.074	926.307	1194.006	591.009	568.375	0.000	0.000	0.000	1090.453	667.406	45.357	1013.092	237.752	632.356	796.728	219.440	467.692	1011.538	442.338	509.892
23	0.07333	1057.866	423.128	926.291	1193.929	591.115	568.342	0.000	0.000	0.000	1090.138	667.513	45.604	1013.543	237.564	632.438	797.106	218.863	467.264	1011.608	442.229	509.888
24	0.07667	1057.870	423.187	926.278	1193.848	591.199	568.285	0.000	0.000	0.000	1089.893	667.598	45.666	1013.852	237.432	632.357	797.597	218.111	466.987	1011.665	442.136	509.901
25	0.08000	1057.870	423.268	926.257	1193.745	591.270	568.250	0.000	0.000	0.000	1089.578	667.685	45.695	1014.265	237.177	632.346	798.129	217.427	466.591	1011.713	442.019	509.886
26	0.08333	1057.876	423.326	926.245	1193.665	591.346	568.222	0.000	0.000	0.000	1089.210	667.530	45.453	1014.658	236.965	632.322	798.614	216.661	466.206	1011.763	441.930	509.908
27	0.08667	1057.889	423.395	926.226	1193.575	591.454	568.194	0.000	0.000	0.000	1088.917	667.629	45.451	1015.048	236.761	632.286	799.210	215.839	465.914	1011.825	441.837	509.934
28	0.09000	1057.912	423.475	926.238	1193.473	591.555	568.122	0.000	0.000	0.000	1088.651	667.770	45.587	1015.400	236.624	632.248	799.688	215.140	465.372	1011.852	441.673	509.923
29	0.09333	1057.933	423.546	926.223	1193.381	591.674	568.082	0.000	0.000	0.000	1088.393	667.853	45.709	1015.785	236.436	632.213	800.263	214.269	464.975	1011.903	441.564	509.923
30	0.09667	1057.951	423.621	926.223	1193.269	591.798	568.009	0.000	0.000	0.000	1088.176	667.815	45.791	1016.744	236.211	631.914	800.850	213.497	464.563	1011.952	441.453	509.963
31	0.10000	1057.979	423.705	926.193	1193.161	591.956	567.959	0.000	0.000	0.000	1087.870	667.788	45.694	1017.210	235.952	631.825	801.401	212.580	464.128	1012.004	441.336	509.974
32	0.10333	1057.981	423.785	926.177	1193.014	592.092	567.911	0.000	0.000	0.000	1087.559	667.760	45.609	1017.624	235.683	631.732	801.956	211.703	463.623	1012.057	441.209	509.991
33	0.10667	1058.015	423.855	926.161	1192.906	592.212	567.865	0.000	0.000	0.000	1087.272	667.776	45.354	1018.212	235.351	631.427	802.546	210.881	463.153	1012.106	441.084	509.988
34	0.11000	1058.031	423.938	926.153	1192.783	592.353	567.843	0.000	0.000	0.000	1087.037	667.790	45.536	1018.709	235.159	631.649	803.143	209.918	462.684	1012.171	440.973	510.004
35	0.11333	1058.054	424.009	926.127	1192.648	592.502	567.822	0.000	0.000	0.000	1086.809	667.823	45.567	1019.951	234.646	630.873	803.765	208.978	462.195	1012.236	440.847	510.009
36	0.11667	1058.071	424.085	926.112	1192.514	592.638	567.806	0.000	0.000	0.000	1086.599	667.802	45.545	1020.572	234.413	630.738	804.404	208.128	461.697	1012.299	440.755	510.034
37	0.12000	1058.091	424.166	926.087	1192.347	592.805	567.774	0.000	0.000	0.000	1086.354	667.888	45.484	1021.287	234.368	630.919	805.105	207.108	461.275	1012.357	440.594	510.045
38	0.12333	1058.130	424.233	926.070	1192.190	592.955	567.749	0.000	0.000	0.000	1086.099	667.838	45.451	1021.973	234.576	631.418	805.828	206.073	460.907	1012.422	440.460	510.056
39	0.12667	1058.148	424.312	926.054	1191.994	593.113	567.705	0.000	0.000	0.000	1085.826	667.793	45.279	1022.345	234.492	631.375	806.498	205.107	460.299	1012.465	440.218	510.087
