NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	8
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 12:34:38	610138.06572702
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	L_Hand	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	L_Hand X	L_Hand Y	L_Hand Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1038.625	456.163	913.815	1192.731	610.891	562.560	0.000	0.000	0.000	1103.612	671.305	29.476	1012.178	262.202	637.295	798.049	230.710	469.914	541.414	371.633	518.022	0.000	0.000	0.000
2	0.00333	1038.527	456.193	913.852	1192.657	610.969	562.552	0.000	0.000	0.000	1103.465	671.417	29.499	1012.852	262.097	638.630	798.173	230.646	469.868	541.665	371.410	518.616	0.000	0.000	0.000
3	0.00667	1038.420	456.213	913.852	1192.600	611.047	562.566	0.000	0.000	0.000	1103.320	671.467	29.521	1012.928	262.103	638.635	798.319	230.558	469.815	542.179	371.200	519.578	0.000	0.000	0.000
4	0.01000	1038.320	456.225	913.837	1192.539	611.158	562.570	0.000	0.000	0.000	1103.181	671.600	29.595	1012.948	262.118	638.379	798.457	230.400	469.703	542.523	371.023	520.264	0.000	0.000	0.000
5	0.01333	1038.243	456.255	913.852	1192.477	611.237	562.565	0.000	0.000	0.000	1103.000	671.691	29.668	1012.794	262.031	636.960	798.640	230.241	469.610	542.918	370.787	520.934	0.000	0.000	0.000
6	0.01667	1038.135	456.254	913.842	1192.413	611.337	562.576	0.000	0.000	0.000	1102.831	671.804	29.713	1013.143	262.100	637.209	798.815	230.049	469.465	543.317	370.518	521.639	0.000	0.000	0.000
7	0.02000	1038.041	456.278	913.846	1192.333	611.433	562.582	0.000	0.000	0.000	1102.703	671.757	29.640	1013.673	262.092	637.913	798.952	229.835	469.239	543.773	370.306	522.375	0.000	0.000	0.000
8	0.02333	1037.479	456.476	913.417	1191.716	611.318	562.057	0.000	0.000	0.000	1101.642	670.361	28.316	1013.429	262.189	637.336	798.574	230.145	468.627	543.927	370.266	522.994	0.000	0.000	0.000
9	0.02667	1037.490	456.772	913.482	1191.511	611.568	561.813	0.000	0.000	0.000	1101.724	670.872	28.657	1014.241	262.058	637.528	798.838	230.001	468.597	544.504	370.247	523.611	0.000	0.000	0.000
10	0.03000	1037.625	456.376	913.796	1191.835	611.573	562.578	0.000	0.000	0.000	1101.527	670.961	28.704	1013.712	262.185	637.876	799.626	229.278	469.353	545.137	369.756	524.765	0.000	0.000	0.000
