NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	8
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 11:41:23	606942.95210503
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	L_Hand	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	L_Hand X	L_Hand Y	L_Hand Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1047.134	420.206	915.914	1147.835	607.677	573.867	0.000	0.000	0.000	1030.557	665.394	39.849	1018.839	238.862	634.983	805.611	226.877	474.307	532.275	360.866	504.297	991.045	438.442	514.893
2	0.00333	1047.089	420.204	915.912	1147.884	607.635	573.897	0.000	0.000	0.000	1030.702	665.226	39.749	1019.003	238.949	635.153	805.711	226.694	474.156	532.561	360.720	505.002	991.065	438.431	514.902
3	0.00667	1047.060	420.221	915.916	1147.933	607.633	573.923	0.000	0.000	0.000	1030.769	665.101	39.665	1019.006	238.909	635.158	805.827	226.489	473.974	532.871	360.498	505.669	991.031	438.445	514.979
4	0.01000	1047.013	420.216	915.924	1148.013	608.644	574.835	0.000	0.000	0.000	1030.862	665.119	39.725	1018.800	238.600	634.952	805.959	226.256	473.793	533.185	360.344	506.353	991.054	438.452	515.008
5	0.01333	1046.969	420.219	915.904	1148.059	608.609	574.872	0.000	0.000	0.000	1030.956	665.065	39.730	1019.034	238.804	635.106	806.106	225.996	473.651	533.555	360.165	507.049	991.041	438.479	515.069
6	0.01667	1046.923	420.241	915.883	1148.098	608.622	574.906	0.000	0.000	0.000	1031.007	665.060	39.821	1019.102	238.838	635.146	806.249	225.742	473.489	533.947	359.971	507.849	991.046	438.488	515.094
7	0.02000	1046.868	420.264	915.878	1148.127	608.619	574.931	0.000	0.000	0.000	1031.075	664.981	39.767	1019.109	238.758	635.130	806.343	225.446	473.209	534.364	359.783	508.604	991.060	438.493	515.149
8	0.02333	1046.394	420.466	915.464	1147.693	608.451	574.469	0.000	0.000	0.000	1030.373	663.531	38.508	1018.860	238.778	634.866	806.025	225.599	472.510	534.462	359.765	509.239	990.196	438.953	514.968
9	0.02667	1046.725	420.278	915.840	1147.694	608.126	574.253	0.000	0.000	0.000	1030.603	663.985	38.755	1019.274	238.867	635.263	806.290	225.263	472.432	535.198	359.409	510.434	989.957	439.107	514.805
10	0.03000	1046.714	420.417	915.799	1147.681	608.170	574.165	0.000	0.000	0.000	1030.690	663.995	38.759	1019.415	238.913	635.396	806.524	224.908	472.248	535.738	359.183	511.354	989.932	439.152	514.747
11	0.03333	1046.531	420.352	915.806	1148.021	608.515	575.017	0.000	0.000	0.000	1030.759	663.912	38.747	1019.274	238.679	635.157	807.523	224.119	473.207	536.200	358.865	511.970	990.815	438.467	515.416
12	0.03667	1046.466	420.367	915.799	1148.045	608.550	575.045	0.000	0.000	0.000	1030.800	663.869	38.718	1019.338	238.631	635.143	807.751	223.717	473.008	536.800	358.630	512.958	990.821	438.477	515.448
13	0.04000	1046.425	420.391	915.803	1148.069	608.582	575.062	0.000	0.000	0.000	1030.836	663.867	38.711	1019.404	238.591	635.166	808.000	223.307	472.738	537.453	358.334	513.961	990.828	438.467	515.499
14	0.04333	1046.370	420.417	915.786	1148.077	608.590	575.073	0.000	0.000	0.000	1030.852	663.834	38.671	1019.474	238.533	635.246	808.011	222.703	471.976	538.185	358.079	514.995	990.853	438.439	515.519
15	0.04667	1046.336	420.456	915.786	1148.075	608.638	575.088	0.000	0.000	0.000	1030.894	663.856	38.643	1019.539	238.501	635.273	808.287	222.232	471.716	538.892	357.771	516.066	990.860	438.433	515.542
16	0.05000	1046.290	420.489	915.778	1148.059	608.686	575.107	0.000	0.000	0.000	1030.908	663.870	38.629	1019.619	238.474	635.281	808.567	221.778	471.439	539.674	357.441	517.215	990.877	438.416	515.567
17	0.05333	1046.247	420.523	915.759	1148.055	608.714	575.102	0.000	0.000	0.000	1030.933	663.784	38.655	1019.781	238.477	635.323	808.846	221.299	471.143	540.464	357.131	518.332	990.917	438.414	515.591
18	0.05667	1046.214	420.563	915.754	1148.044	608.769	575.105	0.000	0.000	0.000	1030.937	663.784	38.602	1019.870	238.422	635.339	809.127	220.783	470.773	541.658	356.663	520.043	990.933	438.398	515.609
19	0.06000	1046.184	420.625	915.743	1148.041	608.856	575.124	0.000	0.000	0.000	1030.952	663.760	38.585	1019.956	238.322	635.314	809.428	220.255	470.446	542.557	356.229	521.309	990.961	438.389	515.653
20	0.06333	1046.151	420.677	915.712	1148.040	608.972	575.136	0.000	0.000	0.000	1030.941	663.724	38.547	1020.045	238.269	635.306	809.735	219.715	470.092	543.437	355.787	522.410	990.989	438.360	515.658
21	0.06667	1046.127	420.733	915.702	1147.994	608.974	575.091	0.000	0.000	0.000	1030.912	663.729	38.563	1020.123	238.204	635.313	810.045	219.164	469.670	544.317	355.412	523.532	991.013	438.329	515.672
22	0.07000	1046.094	420.784	915.686	1147.960	609.050	575.099	0.000	0.000	0.000	1030.928	663.746	38.557	1020.219	238.146	635.325	810.414	218.544	469.349	545.216	354.956	524.624	991.026	438.299	515.677
23	0.07333	1046.068	420.845	915.688	1147.928	609.144	575.124	0.000	0.000	0.000	1030.880	663.726	38.536	1020.341	238.086	635.340	810.788	217.973	468.932	546.192	354.520	525.793	991.069	438.267	515.686
24	0.07667	1046.043	420.896	915.676	1147.885	609.163	575.090	0.000	0.000	0.000	1030.877	663.707	38.503	1020.455	237.928	635.196	811.148	217.328	468.549	547.205	354.037	526.934	991.095	438.219	515.688
25	0.08000	1046.004	420.943	915.658	1147.844	609.211	575.077	0.000	0.000	0.000	1030.837	663.628	38.446	1020.603	237.866	635.157	811.530	216.700	468.070	548.339	353.569	528.198	991.093	438.201	515.731
26	0.08333	1045.977	421.019	915.653	1147.790	609.286	575.068	0.000	0.000	0.000	1030.786	663.599	38.414	1020.752	237.785	635.155	811.937	216.006	467.635	549.515	353.051	529.510	991.136	438.141	515.729
27	0.08667	1045.927	421.072	915.643	1147.746	609.370	575.073	0.000	0.000	0.000	1030.755	663.564	38.381	1020.936	237.739	635.145	812.337	215.344	467.139	550.730	352.416	530.800	991.162	438.092	515.734
28	0.09000	1045.911	421.146	915.640	1147.677	609.442	575.059	0.000	0.000	0.000	1030.703	663.573	38.365	1021.102	237.648	635.118	812.763	214.618	466.701	552.011	351.818	532.117	991.175	438.025	515.741
29	0.09333	1045.856	421.213	915.614	1147.617	609.507	575.051	0.000	0.000	0.000	1030.660	663.594	38.473	1021.301	237.575	635.053	813.201	213.899	466.186	553.336	351.169	533.464	991.208	437.965	515.744
30	0.09667	1045.817	421.278	915.612	1147.552	609.578	575.024	0.000	0.000	0.000	1030.617	663.559	38.439	1021.510	237.505	635.066	813.623	213.147	465.717	554.673	350.505	534.740	991.217	437.877	515.794
31	0.10000	1045.778	421.358	915.606	1147.473	609.666	574.973	0.000	0.000	0.000	1030.556	663.557	38.439	1021.731	237.425	635.030	814.150	212.373	465.289	556.042	349.792	535.991	991.250	437.791	515.862
