NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	8
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 11:32:09	606388.68574232
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	L_Hand	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	L_Hand X	L_Hand Y	L_Hand Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1041.881	412.173	920.495	1159.461	602.150	569.290	0.000	0.000	0.000	1051.048	672.765	33.414	1018.857	235.526	621.983	808.234	224.879	478.709	535.607	357.240	511.368	1001.987	436.158	501.933
2	0.00333	1041.926	412.057	920.492	1159.370	602.204	569.337	0.000	0.000	0.000	1050.818	672.638	33.336	1018.982	235.485	621.951	808.337	224.838	478.900	535.678	357.139	511.951	1002.000	436.138	501.953
3	0.00667	1041.973	411.956	920.503	1159.305	602.251	569.387	0.000	0.000	0.000	1050.562	672.706	33.400	1019.138	235.562	622.074	808.430	224.781	479.066	535.840	357.069	512.705	1001.905	436.599	500.836
4	0.01000	1042.026	411.867	920.529	1159.238	602.331	569.450	0.000	0.000	0.000	1050.348	672.776	33.534	1019.256	235.518	622.086	808.549	224.694	479.237	536.001	356.860	513.418	1001.980	436.112	502.052
5	0.01333	1042.091	411.773	920.561	1159.170	602.388	569.488	0.000	0.000	0.000	1050.147	672.753	33.577	1019.473	235.583	622.217	808.698	224.590	479.460	536.176	356.715	514.117	1001.966	436.110	502.123
6	0.01667	1042.131	411.674	920.551	1159.083	602.443	569.508	0.000	0.000	0.000	1049.930	672.701	33.569	1019.560	235.427	622.144	808.818	224.473	479.568	536.357	356.466	514.909	1001.962	436.090	502.178
7	0.02000	1042.184	411.585	920.579	1159.025	602.543	569.627	0.000	0.000	0.000	1049.676	672.641	33.504	1019.715	235.418	622.198	808.980	224.346	479.743	536.610	356.294	515.731	1001.949	436.102	502.187
8	0.02333	1041.784	411.698	920.185	1158.443	602.460	569.107	0.000	0.000	0.000	1048.668	671.078	32.079	1019.581	235.658	622.057	808.638	224.663	479.510	536.503	356.259	516.376	1001.134	436.601	501.855
9	0.02667	1042.148	411.560	920.530	1158.362	602.246	568.871	0.000	0.000	0.000	1048.535	671.544	32.420	1019.923	235.589	622.218	808.952	224.456	479.793	537.032	355.775	517.551	1000.924	436.727	501.696
10	0.03000	1042.187	411.469	920.549	1158.254	602.326	568.893	0.000	0.000	0.000	1048.305	671.612	32.465	1020.073	235.600	622.244	809.142	224.213	479.895	537.378	355.440	518.446	1000.900	436.717	501.762
11	0.03333	1042.215	411.360	920.556	1158.441	602.703	569.723	0.000	0.000	0.000	1048.026	671.598	32.562	1019.881	235.200	621.800	809.862	223.563	480.734	537.629	355.012	519.049	1001.526	436.101	502.502
