NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	8
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 12:54:57	611357.02846373
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	L_Hand	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	L_Hand X	L_Hand Y	L_Hand Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1026.732	430.308	917.000	1169.371	618.191	564.571	0.000	0.000	0.000	1100.919	676.522	25.555	1018.472	256.235	628.518	808.182	228.404	470.574	535.156	359.207	509.693	1006.740	453.610	502.489
2	0.00333	1026.846	430.254	916.984	1169.459	618.226	564.633	0.000	0.000	0.000	1100.908	676.606	25.579	1018.676	256.223	628.530	808.144	228.337	470.587	535.279	359.119	510.090	1006.869	453.549	502.489
3	0.00667	1026.956	430.213	916.971	1169.537	618.210	564.617	0.000	0.000	0.000	1100.891	676.646	25.650	1018.873	256.203	628.541	808.304	228.349	470.680	535.419	359.031	510.466	1007.024	453.535	502.533
4	0.01000	1027.067	430.156	916.953	1169.641	618.244	564.658	0.000	0.000	0.000	1100.861	676.759	25.719	1019.093	256.162	628.546	808.487	228.322	470.802	535.543	358.940	510.932	1007.126	453.502	502.551
5	0.01333	1027.173	430.095	916.935	1169.731	618.237	564.685	0.000	0.000	0.000	1100.815	676.797	25.758	1019.338	256.140	628.543	808.697	228.289	470.895	535.721	358.832	511.351	1007.279	453.460	502.571
6	0.01667	1027.311	430.026	916.922	1169.821	618.236	564.698	0.000	0.000	0.000	1100.782	676.883	25.860	1019.561	256.061	628.533	808.877	228.253	470.978	535.918	358.728	511.719	1007.425	453.436	502.566
7	0.02000	1027.439	429.947	916.933	1169.911	618.262	564.726	0.000	0.000	0.000	1100.712	676.958	25.919	1019.335	255.481	628.014	809.108	228.184	471.101	536.191	358.591	512.219	1007.561	453.393	502.623
8	0.02333	1027.048	430.044	916.512	1169.447	618.111	564.253	0.000	0.000	0.000	1099.855	675.749	24.956	1018.987	255.446	627.477	808.782	228.570	470.737	536.048	358.662	512.511	1006.602	453.836	502.321
9	0.02667	1027.646	429.710	916.965	1169.595	617.702	564.050	0.000	0.000	0.000	1099.947	676.230	25.362	1019.606	255.409	627.834	809.146	228.508	470.983	536.593	358.448	513.306	1006.440	453.937	502.351
10	0.03000	1027.771	429.790	916.821	1169.672	617.845	563.930	0.000	0.000	0.000	1099.901	676.160	25.168	1019.852	255.354	627.837	809.384	228.416	471.018	536.947	358.275	513.848	1006.551	453.918	502.213
