NO_OF_SAMPLES	25200
FREQUENCY	120
TIME_STAMP	2022-05-12, 13:37:31	6831.34175375
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Bertec
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	1323.089957
FORCE_PLATE_CORNER_POSX_POSY_Y	1076.650023
FORCE_PLATE_CORNER_POSX_POSY_Z	-186.304003
FORCE_PLATE_CORNER_NEGX_POSY_X	1284.020066
FORCE_PLATE_CORNER_NEGX_POSY_Y	1345.040083
FORCE_PLATE_CORNER_NEGX_POSY_Z	-195.163995
FORCE_PLATE_CORNER_NEGX_NEGY_X	1663.060069
FORCE_PLATE_CORNER_NEGX_NEGY_Y	1387.670040
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-201.503992
FORCE_PLATE_CORNER_POSX_NEGY_X	1698.449969
FORCE_PLATE_CORNER_POSX_NEGY_Y	1124.019980
FORCE_PLATE_CORNER_POSX_NEGY_Z	-190.853000
FORCE_PLATE_LENGTH	600.000000
FORCE_PLATE_WIDTH	400.000000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
45	0.36667	-12.663929	-9.786259	601.438356	28.891484	48.269245	-1.390358	-80.256346	48.037316	0.000000	
46	0.37500	-12.701364	-9.422390	601.437648	28.864187	48.277974	-1.412776	-80.270955	47.991985	0.000000	
47	0.38333	-12.785268	-8.786443	601.432657	28.714290	48.175079	-1.399345	-80.100537	47.743151	0.000000	
48	0.39167	-12.816088	-9.702111	601.432036	28.774796	48.027573	-1.460082	-79.855362	47.843804	0.000000	
49	0.40000	-12.899394	-9.329529	601.427126	28.586358	47.908377	-1.429828	-79.657825	47.530877	0.000000	
50	0.40833	-12.994524	-8.826868	601.421230	28.409273	47.766544	-1.437295	-79.422776	47.236897	0.000000	
51	0.41667	-12.523153	-9.496845	601.412555	28.348390	47.675998	-1.473223	-79.273367	47.136345	0.000000	
52	0.42500	-11.841428	-9.121537	601.393191	28.096108	47.486202	-1.412073	-78.960325	46.718368	0.000000	
53	0.43333	-11.659862	-9.358546	601.386435	28.084627	47.333239	-1.442426	-78.706863	46.699801	0.000000	
54	0.44167	-11.314318	-9.309315	601.373875	27.873424	47.163667	-1.459221	-78.426531	46.349576	0.000000	
55	0.45000	-11.374777	-9.201962	601.367972	27.742228	46.976347	-1.442720	-78.115812	46.131869	0.000000	
56	0.45833	-10.858125	-9.499502	601.355023	27.547340	46.834976	-1.419145	-77.882406	45.808780	0.000000	
57	0.46667	-10.495208	-9.934909	601.346859	27.432354	46.724030	-1.346202	-77.698968	45.618188	0.000000	
58	0.47500	-9.882779	-9.905862	601.332901	27.314965	46.615111	-1.349037	-77.519642	45.424033	0.000000	
59	0.48333	-9.594996	-10.323612	601.326826	27.193286	46.563985	-1.388148	-77.435402	45.222139	0.000000	
60	0.49167	-9.546352	-10.259002	601.322559	27.120994	46.452279	-1.290855	-77.250185	45.102240	0.000000	
61	0.50000	-9.436508	-10.362122	601.319210	26.991384	46.429342	-1.297069	-77.212471	44.886949	0.000000	
62	0.50833	-8.901156	-10.785121	601.312202	26.949928	46.437738	-1.260065	-77.227333	44.818528	0.000000	
63	0.51667	-8.380322	-11.067854	601.304247	26.890109	46.426692	-1.223465	-77.209985	44.719640	0.000000	
64	0.52500	-8.418892	-10.883252	601.303239	26.754671	46.438794	-1.233734	-77.230240	44.494473	0.000000	
65	0.53333	-8.493561	-11.592687	601.306226	26.896236	46.361870	-1.166645	-77.101930	44.729681	0.000000	
66	0.54167	-7.925066	-11.749301	601.297974	26.912753	46.368664	-1.196986	-77.114286	44.757765	0.000000	
67	0.55000	-8.304742	-11.972465	601.304619	26.984211	46.337947	-1.168564	-77.062349	44.876109	0.000000	
68	0.55833	-8.461178	-12.106893	601.305016	26.984233	46.267895	-1.248765	-76.945799	44.876115	0.000000	
69	0.56667	-8.291374	-11.816805	601.301373	27.055704	46.230400	-1.198035	-76.883910	44.995247	0.000000	
70	0.57500	-8.496112	-12.220101	601.306308	27.180564	46.188026	-1.122921	-76.812807	45.202526	0.000000	
71	0.58333	-8.398801	-11.904648	601.302128	27.218549	46.130540	-1.188359	-76.717740	45.266012	0.000000	
72	0.59167	-8.695223	-11.837635	601.306264	27.305639	46.094758	-1.209781	-76.657704	45.410535	0.000000	
73	0.60000	-8.097773	-11.820632	601.296691	27.350910	46.066763	-1.175246	-76.612368	45.486547	0.000000	
74	0.60833	-8.549572	-11.806863	601.302841	27.385704	46.011160	-1.116276	-76.519113	45.543945	0.000000	
75	0.61667	-8.698982	-11.575193	601.303805	27.571802	45.928167	-1.131936	-76.380969	45.853364	0.000000	
76	0.62500	-9.072879	-11.491496	601.308726	27.700311	45.855872	-1.110143	-76.260115	46.066704	0.000000	
77	0.63333	-8.560941	-11.688326	601.300019	27.604903	45.848958	-1.138733	-76.249720	45.908702	0.000000	
78	0.64167	-8.036189	-11.456409	601.290953	27.797334	45.786072	-1.169634	-76.146285	46.229423	0.000000	
79	0.65000	-7.961828	-11.436527	601.291877	28.019331	45.771273	-1.100367	-76.121555	46.598553	0.000000	
80	0.65833	-8.465706	-11.424583	601.298589	28.125220	45.712079	-1.182581	-76.022262	46.774132	0.000000	
81	0.66667	-8.276634	-11.632224	601.296591	28.273424	45.664818	-1.145760	-75.943917	47.020763	0.000000	
82	0.67500	-8.022613	-11.240107	601.291002	28.397992	45.599378	-1.098959	-75.835790	47.228367	0.000000	
83	0.68333	-8.233729	-10.972815	601.294126	28.604797	45.577098	-1.219020	-75.798342	47.572055	0.000000	
84	0.69167	-8.347624	-10.743950	601.295800	28.819473	45.524779	-1.216974	-75.711121	47.928944	0.000000	
85	0.70000	-8.014735	-11.296880	601.294719	29.042119	45.532171	-1.212329	-75.723551	48.299309	0.000000	
86	0.70833	-7.883985	-11.197433	601.294031	29.252122	45.509187	-1.164337	-75.685412	48.648615	0.000000	
87	0.71667	-8.279343	-10.641765	601.297970	29.508933	45.408359	-1.187167	-75.517234	49.075391	0.000000	
88	0.72500	-7.282826	-10.708435	601.285652	29.741648	45.454435	-1.266002	-75.595410	49.463425	0.000000	
89	0.73333	-7.845769	-10.562519	601.293920	29.899900	45.391580	-1.240722	-75.489836	49.725932	0.000000	
90	0.74167	-7.069947	-9.922675	601.282541	30.037669	45.445941	-1.255659	-75.581674	49.955997	0.000000	
91	0.75000	-7.428640	-10.515679	601.290937	30.170763	45.430366	-1.246130	-75.554716	50.176647	0.000000	
92	0.75833	-7.157723	-9.949830	601.285497	30.273897	45.428816	-1.307898	-75.552822	50.348624	0.000000	
93	0.76667	-6.960524	-9.741624	601.286565	30.474686	45.518230	-1.255403	-75.701392	50.682466	0.000000	
94	0.77500	-7.538587	-9.510323	601.292412	30.580467	45.400828	-1.284232	-75.505407	50.857896	0.000000	
95	0.78333	-7.098239	-9.264507	601.287487	30.703081	45.460643	-1.308123	-75.605503	51.062231	0.000000	
96	0.79167	-7.419955	-9.259306	601.291956	30.777276	45.418314	-1.320503	-75.534544	51.185245	0.000000	
97	0.80000	-7.444130	-9.133714	601.292969	30.953106	45.395155	-1.323870	-75.495903	51.477578	0.000000	
98	0.80833	-7.820004	-9.230475	601.300318	31.076806	45.396138	-1.337125	-75.496615	51.682671	0.000000	
99	0.81667	-7.063416	-9.322885	601.291979	31.150211	45.475168	-1.292268	-75.629095	51.805465	0.000000	
100	0.82500	-7.340273	-9.092495	601.295312	31.200859	45.453719	-1.319743	-75.593003	51.889409	0.000000	
101	0.83333	-7.627821	-8.543857	601.299596	31.357148	45.444796	-1.280909	-75.577627	52.148959	0.000000	
102	0.84167	-8.373180	-8.781151	601.312049	31.466615	45.415409	-1.315452	-75.527189	52.329926	0.000000	
103	0.85000	-8.251509	-8.799313	601.311809	31.522017	45.445069	-1.277613	-75.576546	52.422081	0.000000	
104	0.85833	-8.567624	-8.689084	601.316487	31.620929	45.421269	-1.313582	-75.536377	52.586167	0.000000	
105	0.86667	-8.741349	-8.939990	601.321289	31.704114	45.443712	-1.340065	-75.573097	52.724084	0.000000	
106	0.87500	-9.101131	-8.788438	601.327634	31.768858	45.458773	-1.319942	-75.597345	52.831196	0.000000	
107	0.88333	-9.048399	-8.769502	601.327379	31.774769	45.478809	-1.319490	-75.630697	52.841049	0.000000	
108	0.89167	-9.192270	-8.493857	601.330114	31.885667	45.474481	-1.254502	-75.623156	53.025229	0.000000	
