NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	8
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 12:08:20	608559.85366347
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	L_Hand	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	L_Hand X	L_Hand Y	L_Hand Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1024.552	421.939	916.354	1203.288	588.507	565.307	0.000	0.000	0.000	1065.232	664.620	115.586	1002.202	245.853	627.574	785.115	224.592	454.548	533.457	369.505	519.951	1013.104	451.137	505.541
2	0.00333	1024.405	421.923	916.293	1203.268	588.619	565.499	0.000	0.000	0.000	1064.317	665.323	117.911	1002.360	245.801	627.556	785.294	224.501	454.527	533.697	369.337	520.720	1013.085	451.178	505.654
3	0.00667	1024.283	421.909	916.273	1203.276	588.703	565.674	0.000	0.000	0.000	1063.615	665.119	119.552	1002.503	245.743	627.548	785.486	224.405	454.561	533.954	369.095	521.438	1013.046	451.206	505.639
4	0.01000	1024.156	421.885	916.269	1203.255	588.785	565.807	0.000	0.000	0.000	1063.083	663.902	120.270	1002.675	245.677	627.540	785.676	224.289	454.572	534.274	368.829	522.218	1013.045	451.211	505.657
5	0.01333	1024.035	421.875	916.241	1203.218	588.858	565.948	0.000	0.000	0.000	1062.226	664.652	122.694	1002.852	245.573	627.526	785.862	224.156	454.546	534.615	368.595	523.005	1013.035	451.206	505.685
6	0.01667	1023.908	421.868	916.226	1203.203	588.952	566.089	0.000	0.000	0.000	1061.392	665.036	124.812	1003.049	245.506	627.536	786.060	224.000	454.536	535.188	368.236	524.229	1012.989	451.221	505.731
7	0.02000	1023.795	421.856	916.202	1203.152	589.039	566.220	0.000	0.000	0.000	1060.589	664.780	126.565	1003.230	245.422	627.514	786.272	223.820	454.532	535.604	367.918	525.105	1012.940	451.196	505.817
8	0.02333	1023.501	422.028	916.116	1203.101	589.124	566.429	0.000	0.000	0.000	1060.089	663.079	127.154	1002.883	245.860	626.724	785.989	224.102	454.154	535.853	367.768	525.941	1012.748	451.330	505.775
9	0.02667	1023.132	422.054	915.930	1202.562	589.025	566.175	0.000	0.000	0.000	1058.462	662.048	128.015	1003.210	245.509	627.176	786.209	224.195	454.186	536.244	367.538	526.895	1012.106	451.526	505.481
10	0.03000	1023.031	422.265	915.768	1202.543	589.314	566.367	0.000	0.000	0.000	1057.479	662.927	130.885	1003.450	245.390	627.207	786.429	223.995	454.093	536.620	367.362	527.522	1011.834	451.953	505.972
11	0.03333	1023.148	421.837	916.056	1202.707	589.430	567.195	0.000	0.000	0.000	1056.807	663.227	133.169	1003.882	245.356	627.140	787.107	223.042	454.734	537.360	366.910	528.952	1012.329	452.091	507.159
12	0.03667	1023.007	421.817	916.020	1202.654	589.546	567.378	0.000	0.000	0.000	1055.899	663.612	135.259	1004.147	245.256	627.155	787.474	222.728	454.769	537.974	366.519	529.907	1012.331	452.029	507.165
13	0.04000	1022.880	421.785	915.996	1202.598	589.738	567.588	0.000	0.000	0.000	1054.969	663.790	137.388	1004.427	245.118	627.201	787.967	222.256	454.580	538.662	365.971	530.613	1012.413	451.251	506.595
14	0.04333	1022.732	421.749	915.951	1202.507	589.833	567.725	0.000	0.000	0.000	1054.051	663.820	139.446	1004.689	244.960	627.215	788.302	221.891	454.450	539.417	365.546	531.703	1012.397	451.194	506.635
15	0.04667	1022.598	421.719	915.933	1202.413	589.953	567.871	0.000	0.000	0.000	1053.113	663.953	141.607	1004.972	244.840	627.208	788.653	221.522	454.286	540.226	365.155	532.868	1012.368	451.124	506.661
16	0.05000	1022.453	421.660	915.880	1202.313	590.096	568.039	0.000	0.000	0.000	1052.238	663.742	143.500	1005.258	244.706	627.221	789.008	221.110	454.131	541.093	364.728	534.072	1012.365	451.096	506.689
17	0.05333	1022.307	421.639	915.840	1202.223	590.199	568.176	0.000	0.000	0.000	1051.348	663.348	145.449	1005.588	244.562	627.286	789.388	220.652	453.907	541.989	364.329	535.242	1012.315	450.970	506.772
18	0.05667	1022.154	421.596	915.799	1202.121	590.326	568.291	0.000	0.000	0.000	1050.347	663.484	147.865	1005.891	244.407	627.274	789.829	220.149	453.748	542.984	363.895	536.520	1012.290	450.924	506.831
19	0.06000	1022.001	421.569	915.804	1202.017	590.474	568.443	0.000	0.000	0.000	1049.414	663.202	149.776	1006.198	244.261	627.267	790.254	219.639	453.560	544.030	363.415	537.777	1012.280	450.842	506.893
20	0.06333	1021.857	421.526	915.747	1201.897	590.594	568.680	0.000	0.000	0.000	1048.460	663.083	152.170	1006.502	244.095	627.231	790.734	219.061	453.383	545.106	362.912	539.112	1012.310	450.725	506.925
21	0.06667	1021.698	421.494	915.721	1201.780	590.726	568.868	0.000	0.000	0.000	1047.468	662.769	154.093	1006.857	243.905	627.279	791.237	218.439	453.194	546.247	362.404	540.469	1012.319	450.703	506.940
22	0.07000	1021.555	421.457	915.694	1201.663	590.865	569.010	0.000	0.000	0.000	1046.542	662.264	155.978	1007.165	243.750	627.190	791.694	217.818	452.970	547.467	361.881	541.846	1012.249	450.531	507.025
23	0.07333	1021.400	421.427	915.648	1201.527	591.000	569.139	0.000	0.000	0.000	1045.519	662.181	158.475	1007.512	243.565	627.150	792.182	217.152	452.685	548.707	361.351	543.128	1012.230	450.442	507.121
24	0.07667	1021.262	421.399	915.626	1201.411	591.143	569.267	0.000	0.000	0.000	1044.543	661.818	160.390	1008.062	243.248	627.424	792.694	216.444	452.410	550.043	360.783	544.544	1012.191	450.345	507.173
25	0.08000	1021.114	421.375	915.575	1201.273	591.321	569.404	0.000	0.000	0.000	1043.509	661.579	163.033	1008.759	242.852	627.604	793.217	215.690	452.142	551.415	360.240	545.901	1012.152	450.294	507.230
26	0.08333	1020.981	421.345	915.518	1201.155	591.544	569.612	0.000	0.000	0.000	1042.557	661.276	164.876	1009.222	242.506	627.861	793.827	214.862	451.964	552.871	359.665	547.309	1012.080	450.197	507.327
27	0.08667	1020.843	421.314	915.500	1201.012	591.677	569.734	0.000	0.000	0.000	1041.524	661.141	167.490	1009.388	242.331	627.489	794.364	214.068	451.666	554.426	359.109	548.775	1012.019	450.125	507.444
28	0.09000	1020.706	421.287	915.432	1200.856	591.805	569.888	0.000	0.000	0.000	1040.527	660.826	169.407	1009.773	242.106	627.441	794.870	213.220	451.275	556.053	358.618	550.154	1011.953	449.995	507.570
