NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	8
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 12:35:40	610199.64319787
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	L_Hand	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	L_Hand X	L_Hand Y	L_Hand Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1021.019	426.763	918.128	1175.095	600.374	559.698	0.000	0.000	0.000	1074.103	667.366	28.381	1010.045	244.009	629.183	795.511	223.278	466.014	533.589	361.200	509.969	1004.174	442.706	501.190
2	0.00333	1020.815	426.629	917.972	1175.137	600.381	559.673	1203.199	636.268	252.895	1073.965	667.499	28.727	1010.119	243.969	629.186	795.564	223.259	465.958	533.727	361.124	510.402	1004.627	443.945	503.555
3	0.00667	1020.777	426.623	917.966	1175.165	600.380	559.667	1203.165	636.290	252.876	1073.798	667.699	28.936	1010.064	243.941	629.064	795.619	223.278	465.904	533.858	361.074	510.810	1004.655	443.935	503.540
4	0.01000	1020.747	426.603	917.950	1175.207	600.409	559.679	1203.171	636.263	252.846	1073.636	667.672	28.946	1010.126	243.940	629.057	795.672	223.276	465.835	534.029	361.008	511.293	1004.712	443.405	501.410
5	0.01333	1020.708	426.592	917.928	1175.219	600.418	559.659	1203.065	636.345	252.846	1073.503	667.560	28.849	1010.175	243.937	629.074	795.731	223.255	465.754	534.248	360.913	511.765	1004.747	443.424	501.406
6	0.01667	1020.678	426.589	917.914	1175.239	600.441	559.662	1203.030	636.362	252.839	1073.341	667.439	28.814	1010.324	243.946	629.144	795.821	223.218	465.695	534.482	360.850	512.293	1004.761	443.407	501.425
7	0.02000	1020.652	426.574	917.908	1175.267	600.455	559.658	1202.992	636.322	252.928	1073.181	667.453	28.852	1010.305	243.899	629.056	795.909	223.165	465.611	534.738	360.760	512.788	1004.627	443.633	501.598
8	0.02333	1020.387	426.384	917.793	1175.039	599.722	559.061	1202.947	636.269	253.042	1072.148	666.081	27.647	1010.280	243.915	628.875	795.545	223.550	465.186	534.556	360.747	513.160	1003.382	443.394	501.548
9	0.02667	1020.134	426.122	917.805	1174.834	599.772	558.943	1202.890	636.251	253.109	1072.214	666.618	28.127	1010.218	243.844	628.952	795.522	223.940	464.975	534.940	360.610	513.900	1003.360	443.523	501.446
10	0.03000	1020.317	426.152	917.937	1174.849	599.812	558.939	1202.818	636.312	253.058	1071.989	666.559	28.059	1010.369	243.769	629.053	795.701	223.934	464.980	535.394	360.596	514.578	1003.150	443.425	501.561
11	0.03333	1020.327	426.338	917.854	1175.120	600.089	559.551	1202.726	636.500	252.818	1071.771	666.527	28.063	1010.598	243.803	628.989	796.097	222.996	465.471	535.759	360.673	515.237	1003.731	443.507	502.686
12	0.03667	1020.308	426.337	917.851	1175.121	600.137	559.574	1202.653	636.568	252.788	1071.549	666.588	28.131	1010.678	243.788	628.968	796.493	222.660	465.387	536.138	360.257	515.466	1004.138	442.747	502.163
13	0.04000	1020.277	426.318	917.836	1175.120	600.152	559.559	1202.597	636.560	252.750	1071.352	666.649	28.176	1010.782	243.756	628.965	796.655	222.508	465.289	536.613	360.119	516.081	1004.154	442.733	502.180
14	0.04333	1020.240	426.309	917.812	1175.122	600.201	559.551	1202.511	636.656	252.776	1071.208	666.598	28.052	1010.881	243.713	628.970	796.832	222.346	465.212	537.079	360.053	516.697	1004.178	442.686	502.181
15	0.04667	1020.235	426.308	917.789	1175.116	600.231	559.554	1202.470	636.681	252.716	1071.039	666.555	27.996	1010.995	243.684	628.970	797.001	222.165	465.106	537.554	359.942	517.354	1004.186	442.657	502.175
16	0.05000	1020.228	426.298	917.784	1175.102	600.255	559.531	1202.447	636.692	252.677	1070.839	666.487	27.950	1011.106	243.636	628.976	797.168	221.960	464.976	538.083	359.813	518.008	1004.220	442.621	502.188
17	0.05333	1020.220	426.282	917.774	1175.082	600.287	559.528	1202.270	636.788	252.691	1070.667	666.504	28.048	1011.214	243.588	628.962	797.336	221.740	464.773	538.678	359.718	518.718	1004.234	442.574	502.229
18	0.05667	1020.218	426.276	917.757	1175.076	600.349	559.522	1202.227	636.797	252.606	1070.491	666.560	28.046	1011.336	243.542	628.941	797.547	221.486	464.605	539.237	359.631	519.375	1004.259	442.552	502.231
19	0.06000	1020.236	426.275	917.761	1175.030	600.386	559.515	1202.158	636.864	252.574	1070.286	666.478	27.981	1011.715	243.578	628.872	797.766	221.234	464.417	540.183	359.435	520.579	1004.268	442.524	502.233
20	0.06333	1020.231	426.289	917.745	1175.026	600.457	559.515	0.000	0.000	0.000	1070.033	666.634	28.257	1011.836	243.500	628.858	797.981	220.968	464.204	540.813	359.253	521.341	1004.271	442.487	502.273
21	0.06667	1020.251	426.309	917.740	1175.006	600.517	559.492	0.000	0.000	0.000	1069.855	666.558	28.203	1012.229	243.504	629.142	798.208	220.690	464.017	541.510	359.177	522.049	1004.282	442.457	502.288
22	0.07000	1020.282	426.313	917.720	1174.969	600.574	559.497	0.000	0.000	0.000	1069.648	666.785	28.472	1012.382	243.428	629.157	798.463	220.343	463.864	542.200	359.052	522.749	1004.299	442.426	502.316
23	0.07333	1020.289	426.327	917.713	1174.927	600.617	559.472	0.000	0.000	0.000	1069.509	666.899	28.554	1012.412	243.311	628.923	798.727	219.976	463.684	542.896	358.952	523.400	1004.312	442.372	502.296
24	0.07667	1020.314	426.323	917.709	1174.883	600.688	559.463	0.000	0.000	0.000	1069.315	666.884	28.585	1012.380	243.142	628.640	798.978	219.642	463.413	543.634	358.901	524.067	1004.309	442.328	502.314
25	0.08000	1020.347	426.340	917.698	1174.820	600.735	559.457	0.000	0.000	0.000	1069.215	666.693	28.326	1012.510	243.260	629.079	799.182	219.328	463.140	544.391	358.855	524.778	1004.316	442.268	502.340
26	0.08333	1020.388	426.344	917.703	1174.772	600.816	559.431	0.000	0.000	0.000	1069.083	666.633	28.295	1012.235	242.587	628.617	799.471	218.908	462.915	545.153	358.735	525.393	1004.337	442.219	502.346
27	0.08667	1020.419	426.343	917.692	1174.687	600.873	559.401	0.000	0.000	0.000	1068.943	666.668	28.305	1012.431	242.508	628.588	799.741	218.514	462.683	545.972	358.705	526.119	1004.326	442.164	502.353
28	0.09000	1020.453	426.372	917.696	1174.622	600.941	559.396	0.000	0.000	0.000	1068.821	666.540	28.238	1013.024	242.935	628.968	800.049	218.108	462.493	546.808	358.670	526.822	1004.352	442.082	502.336
29	0.09333	1020.494	426.369	917.672	1174.524	601.002	559.372	0.000	0.000	0.000	1068.610	666.680	28.354	1012.879	242.329	628.588	800.303	217.673	462.253	547.707	358.603	527.520	1004.334	442.011	502.337
30	0.09667	1020.527	426.371	917.657	1174.457	601.073	559.362	0.000	0.000	0.000	1068.455	666.640	28.262	1013.117	242.262	628.618	800.599	217.235	462.061	548.596	358.557	528.227	1004.339	441.975	502.360
31	0.10000	1020.579	426.395	917.657	1174.352	601.130	559.340	0.000	0.000	0.000	1068.261	666.562	28.189	1014.192	243.209	629.605	800.898	216.788	461.823	549.544	358.532	529.010	1004.337	441.893	502.358
32	0.10333	1020.615	426.408	917.645	1174.257	601.204	559.324	1200.686	637.790	252.080	1068.121	666.583	28.179	1013.476	241.938	628.495	801.192	216.331	461.669	550.488	358.505	529.690	1004.350	441.799	502.331
33	0.10667	1020.673	426.419	917.642	1174.160	601.276	559.321	1200.548	637.877	252.064	1067.966	666.673	28.228	1013.745	241.837	628.528	801.474	215.848	461.483	551.499	358.404	530.435	1004.336	441.739	502.355
34	0.11000	1020.733	426.457	917.653	1174.041	601.323	559.278	1200.519	637.902	251.991	1067.801	666.684	28.219	1013.975	241.717	628.544	801.736	215.409	461.209	552.484	358.458	531.180	1004.339	441.606	502.412
35	0.11333	1020.782	426.473	917.643	1173.935	601.414	559.257	1200.450	637.805	251.699	1067.687	666.686	28.197	1014.189	241.548	628.497	802.008	214.911	460.931	553.537	358.375	531.913	1004.332	441.519	502.423
36	0.11667	1020.821	426.502	917.639	1173.803	601.496	559.232	1200.340	637.843	251.711	1067.623	666.472	27.940	1014.488	241.448	628.499	802.302	214.392	460.673	554.569	358.367	532.564	1004.332	441.441	502.439
37	0.12000	1020.877	426.514	917.637	1173.677	601.568	559.200	1200.221	637.903	251.724	1067.500	666.504	27.904	1014.748	241.284	628.502	802.649	213.899	460.547	555.684	358.289	533.356	1004.336	441.347	502.460
38	0.12333	1020.918	426.538	917.634	1173.548	601.677	559.194	1200.001	638.012	251.808	1067.353	666.717	28.104	1015.050	241.212	628.517	802.981	213.393	460.378	556.731	358.332	534.048	1004.337	441.246	502.471
