NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	8
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 12:37:11	610290.77649088
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	L_Hand	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	L_Hand X	L_Hand Y	L_Hand Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1033.198	391.459	915.767	1183.637	602.715	569.325	0.000	0.000	0.000	1057.727	666.006	40.535	1025.407	239.640	626.290	809.486	228.958	469.986	545.436	358.995	508.106	1014.678	444.883	504.174
2	0.00333	1033.032	391.515	915.751	1183.613	602.764	569.374	0.000	0.000	0.000	1057.508	665.975	40.543	1025.550	239.704	626.376	809.623	228.778	470.109	545.611	358.772	508.758	1014.651	445.270	502.882
3	0.00667	1032.864	391.541	915.697	1183.587	602.811	569.392	0.000	0.000	0.000	1057.322	665.886	40.534	1025.741	239.647	626.547	809.730	228.621	470.198	545.841	358.436	509.531	1014.676	445.226	502.940
4	0.01000	1032.713	391.583	915.669	1183.560	602.846	569.410	0.000	0.000	0.000	1057.112	665.799	40.490	1025.853	239.711	626.423	809.898	228.453	470.366	545.928	358.108	510.179	1014.722	444.720	504.411
5	0.01333	1032.564	391.627	915.636	1183.550	602.888	569.442	0.000	0.000	0.000	1056.931	665.807	40.568	1025.982	239.687	626.450	810.071	228.184	470.450	546.421	357.772	511.164	1014.741	444.663	504.458
6	0.01667	1032.403	391.669	915.602	1183.519	602.913	569.455	0.000	0.000	0.000	1056.720	665.863	40.634	1026.160	239.698	626.492	810.239	227.890	470.478	546.731	357.425	512.060	1014.781	444.644	504.519
7	0.02000	1032.241	391.710	915.565	1183.502	602.961	569.488	0.000	0.000	0.000	1056.539	665.896	40.655	1026.405	239.765	626.582	810.451	227.612	470.522	547.109	356.995	512.959	1014.822	444.598	504.558
8	0.02333	1032.178	391.538	915.769	1183.920	602.234	569.248	0.000	0.000	0.000	1056.349	665.653	40.656	1025.977	240.063	626.314	810.031	227.750	470.092	547.341	356.595	514.046	1014.441	443.902	504.938
9	0.02667	1031.570	391.870	915.235	1182.929	602.506	568.629	0.000	0.000	0.000	1055.508	664.988	39.817	1026.079	239.552	626.522	810.232	227.458	470.046	547.668	356.184	514.909	1013.647	444.227	504.184
10	0.03000	1031.373	391.937	915.167	1182.907	602.547	568.622	0.000	0.000	0.000	1055.278	664.866	39.915	1026.229	239.507	626.511	810.444	227.061	469.996	548.327	355.623	516.317	1013.690	444.210	504.232
11	0.03333	1031.424	391.978	915.374	1183.197	602.834	569.518	0.000	0.000	0.000	1055.079	664.778	39.954	1026.749	239.519	626.495	811.144	226.150	470.486	549.011	354.975	517.461	1014.551	443.972	505.088
12	0.03667	1031.273	392.055	915.332	1183.179	602.881	569.533	0.000	0.000	0.000	1054.849	664.603	39.882	1026.947	239.454	626.511	811.431	225.717	470.475	549.570	354.453	518.622	1014.575	443.917	505.155
13	0.04000	1031.099	392.128	915.276	1183.141	602.942	569.565	0.000	0.000	0.000	1054.541	665.005	40.248	1027.140	239.396	626.536	811.740	225.261	470.475	550.167	353.905	519.855	1014.577	443.845	505.218
